First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
L0261,1789,L1231,1785,1660,123,0.00E+00,0.00E+00,Fuzzy match
L0277,1787,L2415,1719,1611,105,0.00E+00,0.00E+00,Fuzzy match
L0285,1791,L2563,1791,1719,72,0.00E+00,0.00E+00,Fuzzy match
L0291,1737,L2533,1745,1578,119,0.00E+00,0.00E+00,Fuzzy match
L0311,1789,L1766,1783,1682,101,0.00E+00,0.00E+00,Fuzzy match
L0315,1790,L2269,1756,1651,104,0.00E+00,0.00E+00,Fuzzy match
L0316,1781,L2434,1791,1699,82,0.00E+00,0.00E+00,Fuzzy match
L0327,1787,L2436,1789,1684,101,0.00E+00,0.00E+00,Fuzzy match
L0340,1791,L2437,1791,1719,72,0.00E+00,0.00E+00,Fuzzy match
L0341,1791,L2319,1790,1691,99,0.00E+00,0.00E+00,Fuzzy match
L0344,1791,L0691,1791,1665,126,0.00E+00,0.00E+00,Fuzzy match
L0346,1791,L2368,1791,1708,83,0.00E+00,0.00E+00,Fuzzy match
L0357,1785,L1721,1787,1716,65,0.00E+00,0.00E+00,Fuzzy match
L0372,1791,L2226,1754,1642,112,0.00E+00,0.00E+00,Fuzzy match
L0373,1790,L2481,1788,1702,86,0.00E+00,0.00E+00,Fuzzy match
L0379,1791,L2373,1778,1680,98,0.00E+00,0.00E+00,Fuzzy match
L0388,1791,L2372,1787,1678,109,0.00E+00,0.00E+00,Fuzzy match
L0390,1780,L2273,1684,1555,121,0.00E+00,0.00E+00,Fuzzy match
L0391,1791,L2375,1784,1701,83,0.00E+00,0.00E+00,Fuzzy match
L0395,1791,L2476,1791,1687,104,0.00E+00,0.00E+00,Fuzzy match
L0400,1738,L2410,1753,1589,114,0.00E+00,0.00E+00,Fuzzy match
L0410,1782,L2431,1791,1692,90,0.00E+00,0.00E+00,Fuzzy match
L0416,1789,L2569,1791,1713,76,0.00E+00,0.00E+00,Fuzzy match
L0417,1790,L2570,1791,1703,87,0.00E+00,0.00E+00,Fuzzy match
L0420,1767,L2571,1791,1671,96,0.00E+00,0.00E+00,Fuzzy match
L0423,1757,L1719,1779,1659,89,0.00E+00,0.00E+00,Fuzzy match
L0423,1757,L2231,1664,1495,138,0.00E+00,0.00E+00,Fuzzy match
L0424,1783,L0722,1791,1737,46,0.00E+00,0.00E+00,Fuzzy match
L0424,1783,L1738,1784,1656,120,0.00E+00,0.00E+00,Fuzzy match
L0432,1788,L1720,1787,1717,69,0.00E+00,0.00E+00,Fuzzy match
L0434,1791,L0947,1776,1688,88,0.00E+00,0.00E+00,Fuzzy match
L0434,1791,L1739,1779,1677,102,0.00E+00,0.00E+00,Fuzzy match
L0434,1791,L2676,1779,1688,91,0.00E+00,0.00E+00,Fuzzy match
L0443,1778,L0945,1777,1670,98,0.00E+00,0.00E+00,Fuzzy match
L0443,1778,L2815,1787,1662,116,0.00E+00,0.00E+00,Fuzzy match
L0444,1790,L1626,1790,1700,89,0.00E+00,0.00E+00,Fuzzy match
L0459,1617,L2344,1769,1452,148,0.00E+00,0.00E+00,Fuzzy match
L0464,1613,L2404,1791,1477,136,0.00E+00,0.00E+00,Fuzzy match
L0465,1696,L1733,1791,1568,128,0.00E+00,0.00E+00,Fuzzy match
L0485,1751,L0893,1789,1664,85,0.00E+00,0.00E+00,Fuzzy match
L0485,1751,L2292,1737,1583,114,0.00E+00,0.00E+00,Fuzzy match
L0593,1652,L2871,1738,1448,151,0.00E+00,0.00E+00,Fuzzy match
L0594,1641,L2952,1788,1502,136,0.00E+00,0.00E+00,Fuzzy match
L0597,1741,L1300,1791,1633,108,0.00E+00,0.00E+00,Fuzzy match
L0597,1741,L1748,1784,1655,86,0.00E+00,0.00E+00,Fuzzy match
L0601,1757,L2848,1790,1630,126,0.00E+00,0.00E+00,Fuzzy match
L0608,1682,L2905,1768,1513,146,0.00E+00,0.00E+00,Fuzzy match
L0631,1729,L2862,1791,1612,117,0.00E+00,0.00E+00,Fuzzy match
L0653,1787,L2752,1787,1680,103,0.00E+00,0.00E+00,Fuzzy match
L0655,1785,L2268,1756,1626,125,0.00E+00,0.00E+00,Fuzzy match
L0658,1788,L0923,1791,1742,46,0.00E+00,0.00E+00,Fuzzy match
L0670,1789,L0726,1791,1740,49,0.00E+00,0.00E+00,Fuzzy match
L0670,1789,L1735,1789,1702,85,0.00E+00,0.00E+00,Fuzzy match
L0670,1789,L1740,1790,1712,76,0.00E+00,0.00E+00,Fuzzy match
L0677,1790,L0730,1791,1725,65,0.00E+00,0.00E+00,Fuzzy match
L0677,1790,L1736,1787,1717,69,0.00E+00,0.00E+00,Fuzzy match
L0677,1790,L1741,1791,1662,128,0.00E+00,0.00E+00,Fuzzy match
L0677,1790,L2607,1760,1672,87,0.00E+00,0.00E+00,Fuzzy match
L0678,1791,L0737,1786,1726,60,0.00E+00,0.00E+00,Fuzzy match
L0678,1791,L1737,1790,1714,76,0.00E+00,0.00E+00,Fuzzy match
L0678,1791,L1742,1774,1683,91,0.00E+00,0.00E+00,Fuzzy match
L0683,1791,L1013,1789,1740,49,0.00E+00,0.00E+00,Fuzzy match
L0687,1789,L2695,1791,1623,166,0.00E+00,0.00E+00,Fuzzy match
L0690,1791,L2318,1787,1705,82,0.00E+00,0.00E+00,Fuzzy match
L0696,1791,L0712,1789,1732,57,0.00E+00,0.00E+00,Fuzzy match
L0700,1784,L2745,1769,1647,117,0.00E+00,0.00E+00,Fuzzy match
L0702,1787,L2779,1791,1704,83,0.00E+00,0.00E+00,Fuzzy match
