"","Second.SampleID","First.SampleID","First.ID","Loci.typed","Second.ID","Loci.typed.1","Matching.loci","Mismatching.loci","pID","pIDsib","Status","First.year","Second.year","First.Lat.x","First.Lon.x","First.Date.x","First.Size.x","First.Size_type.x","First.Tail_color.x","First.Age.x","First.Sex.x","First.Collector.x","First.Notes.x","First.mass_g.x","First.Extracted..x","First.Digested..x","First.Ligated..x","Second.Lat.x","Second.Lon.x","Second.Date.x","Second.Size.x","Second.Size_type.x","Second.Tail_color.x","Second.Age.x","Second.Sex.x","Second.Collector.x","Second.Notes.x","Second.mass_g.x","Second.Extracted..x","Second.Digested..x","Second.Ligated..x","distkm","First.SampleID_dd","Second.SampleID_dd","First.Lat.y","First.Lon.y","First.Date.y","First.Size.y","First.Size_type.y","First.Tail_color.y","First.Age.y","First.Sex.y","First.Collector.y","First.Notes.y","First.mass_g.y","First.Extracted..y","First.Digested..y","First.Ligated..y","Second.Lat.y","Second.Lon.y","Second.Date.y","Second.Size.y","Second.Size_type.y","Second.Tail_color.y","Second.Age.y","Second.Sex.y","Second.Collector.y","Second.Notes.y","Second.mass_g.y","Second.Extracted..y","Second.Digested..y","Second.Ligated..y","First.LigID","Second.LigID","Mismatch.prop"
"4","APCL13_101","APCL13_090","APCL_13090L0425",261,"APCL_13101L0427",261,261,0,1.44587271747654e-79,2.13248976450726e-36,"Exact match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.59376481329443,"APCL_13090","APCL_13101",10.7440008,124.7863023,"5/24/2013",10.3,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",10.809143,124.765432,"5/25/2013",6.1,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","N/A",NA,NA,0
"43","APCL14_255","APCL13_587","APCL_13587L0678",265,"APCL_14255L0737",265,260,5,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0186549672236793,"APCL_13587","APCL_14255",10.6340205,124.776657,"6/3/2013",9.1,"FL","O","A",NA,"MLP","dark fish, took photos",NA,"TRUE","TRUE","FALSE",10.634084,124.776499,"6/22/2014",8.2,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0192307692307692
"6","APCL13_131","APCL13_120","APCL_13120L1084",265,"APCL_13131L1092",265,259,6,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0315767987803688,"APCL_13120","APCL_13131",10.7991308,124.7685015,"5/25/2013",11.1,"FL","O","A",NA,"MLP","melanistic",NA,"TRUE","TRUE","N/A",10.7989108,124.7686843,"5/25/2013",10.7,"FL","O","A",NA,"MLP","Was this one already sampled? Looks cut, but hard to tell.",NA,"TRUE","TRUE","N/A",NA,NA,0.0231660231660232
"10","APCL13_334","APCL13_333","APCL_13333L0357",265,"APCL_13334L0358",233,227,6,0,0,"Fuzzy match",2013,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00617444464575997,"APCL_13333","APCL_13334",10.8553445,124.7268745,"5/29/2013",6.9,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.8553973,124.726892,"5/29/2013",8.9,"FL","O","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.026431718061674
"28","APCL14_049","APCL13_565","APCL_13565L0670",265,"APCL_14049L0726",265,257,8,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00361003875556023,"APCL_13565","APCL_14049",10.633602,124.7767905,"6/3/2013",9.6,"FL","YP","A",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.63357,124.776796,"6/12/2014",8.8,"FL","YR","L",NA,"MRS","multiple pieces",NA,"TRUE","TRUE","FALSE",NA,NA,0.0311284046692607
"34","APCL14_126","APCL14_126","APCL_14126L1321",250,"APCL_14126L1701",265,242,8,0,0,"Fuzzy match",2014,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"APCL_14126","APCL_14126",NA,NA,"6/16/2014",8.1,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,"6/16/2014",8.1,"FL","O","A",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0330578512396694
"24","APCL14_036","APCL13_145","APCL_13145L1098",265,"APCL_14036L0723",265,256,9,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0784140850053203,"APCL_13145","APCL_14036",10.652842,124.7837035,"5/26/2013",9.6,"FL","YP","A",NA,"MLP","anemone is embedded in branching coral",NA,"TRUE","TRUE","N/A",10.652146,124.783819,"6/12/2014",11.1,"FL","YR","L",NA,"MRS","multiple pieces , ",NA,"TRUE","TRUE","FALSE",NA,NA,0.03515625
"30","APCL14_060","APCL13_572","APCL_13572L0874",265,"APCL_14060L0921",265,256,9,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.029826307720131,"APCL_13572","APCL_14060",10.6336893,124.7767925,"6/3/2013",3,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.633935,124.776683,"6/12/2014",8.5,"FL","YR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.03515625
"32","APCL14_095","APCL13_485","APCL_13485L0658",262,"APCL_14095L0923",265,253,9,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0162394867750135,"APCL_13485","APCL_14095",10.8731143,124.7119573,"5/31/2013",2.7,"FL","YR","L",NA,"MLP",NA,NA,"TRUE","TRUE","FALSE",10.873067,124.712098,"6/13/2014",7.5,"FL","O","A",NA,"MLP","Seems unlikely that both of the large YPs are really from this anemone.",NA,"TRUE","TRUE","FALSE",NA,NA,0.0355731225296443
"61","APCL14_509","APCL13_587","APCL_13587L0678",265,"APCL_14509L1705",265,255,10,0,0,"Fuzzy match",2013,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.4500452245335,"APCL_13587","APCL_14509",10.6340205,124.776657,"6/3/2013",9.1,"FL","O","A",NA,"MLP","dark fish, took photos",NA,"TRUE","TRUE","FALSE",10.79974,124.76825,"6/29/2014",3.9,"FL","YR","L",NA,"MRS",NA,NA,"TRUE","TRUE","FALSE",NA,NA,0.0392156862745098
