Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
APCL_13001L0447,251,APCL_13402L1671,265,251,1,-4.79346551239050E+0000, 0.00000000000000E+0000,,APCL_13493L0474,234,225,2,-2.11932827794043E+0000,-2.11932827794043E+0000,-,251,13,-4.64815353374668E+0001,-4.64815353374668E+0001,-,
APCL_13002L0448,232,APCL_13177L1160,181,169,5,-1.67966755628529E+0001, 0.00000000000000E+0000,,APCL_13618L0886,265,232,3,-3.39460629560063E+0001, 0.00000000000000E+0000,,232,11,-5.26930465739683E+0001,-5.26930465739683E+0001,-,
APCL_13003L0449,191,APCL_13208L1175,165,128,2,-6.26437286160793E+0000, 0.00000000000000E+0000,,APCL_14044L0771,265,191,2,-8.90447363668652E+0000, 0.00000000000000E+0000,,191,6,-1.46758280565991E+0001,-1.46758280565991E+0001,-,
APCL_13003L1673,265,APCL_14006L1738,265,265,3,-1.66266660346769E+0001, 0.00000000000000E+0000,,APCL_14157L0715,265,265,2,-3.07564800252405E+0001, 0.00000000000000E+0000,,265,13,-7.08616354170758E+0001,-7.08616354170758E+0001,-,
APCL_13005L0455,197,APCL_13461L1676,265,197,1, 3.28126589885462E+0001, 3.28126589885462E+0001,*,APCL_12160L1778,265,197,1, 2.30159095211516E+0000, 2.30159095211516E+0000,*,197,6, 2.56298850276224E+0001, 2.56298850276224E+0001,-,
APCL_13005L1675,265,APCL_14126L1701,265,265,2,-1.46521428018341E+0001, 0.00000000000000E+0000,,APCL_14557L1350,178,178,5,-2.27140778373686E+0001, 0.00000000000000E+0000,,265,16,-7.43016420803785E+0001,-7.43016420803785E+0001,-,
APCL_13006L0456,256,APCL_12118L1774,264,255,2, 1.01875683488599E+0001, 1.01875683488599E+0001,*,APCL_13208L1175,165,161,4,-1.84133886518799E+0001,-1.84133886518799E+0001,-,256,15,-5.63796962624822E+0001,-5.63796962624822E+0001,-,
APCL_13010L0460,236,APCL_13207L1024,206,179,3,-2.13778551476836E+0001, 0.00000000000000E+0000,,APCL_13529L0488,241,220,3, 5.68038588487317E-0001, 5.68038588487317E-0001,+,236,9,-2.38906681531066E+0001,-2.38906681531066E+0001,-,
APCL_13014L0464,252,APCL_13196L1169,150,149,1, 1.60358286725442E+0000, 0.00000000000000E+0000,,APCL_13352L1659,189,177,0,-1.73307429194717E+0000, 0.00000000000000E+0000,,226,11,-4.75872294290370E+0001,-4.75872294290370E+0001,-,
APCL_13019L0480,264,APCL_13177L1160,181,181,3,-6.75091512637873E+0000,-6.75091512637873E+0000,-,APCL_13352L1659,189,189,3,-1.42113179711647E+0001, 0.00000000000000E+0000,,238,13,-5.17551240452668E+0001,-5.17551240452668E+0001,-,
APCL_13020L0481,262,APCL_13218L1180,168,168,3,-3.13656500062967E+0000, 0.00000000000000E+0000,,APCL_13466L0467,225,223,0, 2.70516995578288E+0000, 2.70516995578288E+0000,*,235,11,-3.42058005542652E+0001,-3.42058005542652E+0001,-,
APCL_13022L0482,247,APCL_13208L1175,165,159,4,-1.06091756516372E+0001,-1.06091756516372E+0001,-,APCL_13302L0333,265,247,2,-1.13085377354365E+0001, 0.00000000000000E+0000,,247,13,-4.80253479339973E+0001,-4.80253479339973E+0001,-,
APCL_13023L0483,243,APCL_13114L1081,265,243,3,-5.37326864108178E+0000,-5.37326864108178E+0000,-,APCL_13203L1173,205,192,5,-2.08217454867848E+0001, 0.00000000000000E+0000,,243,11,-2.48816532406578E+0001,-2.48816532406578E+0001,-,
APCL_13025L0484,261,APCL_13193L1212,245,241,5,-2.32453750703829E+0001, 0.00000000000000E+0000,,APCL_13196L1169,150,150,3,-4.79102628753961E+0000,-4.79102628753961E+0000,-,258,13,-4.23200253955999E+0001,-4.23200253955999E+0001,-,
