"lat","lon","notes","Date","Name","Municipality"
10.743843,124.78653,"HECR   776  w/ 4   APCL","5/28/15","Visca","BayBay"
10.74352,124.78659,"STME   1338  w/ 2   APCL","5/28/15","Visca","BayBay"
10.743679,124.78675,"HECR   1235  w/ 6   APCL","5/28/15","Visca","BayBay"
10.743416,124.78691,"HECR   801  w/ 4   APCL","5/28/15","Visca","BayBay"
10.742982,124.78717,"MADO   1284  w/ 2   APCL","5/28/15","Visca","BayBay"
10.728236,124.79337,"HECR   1287  w/ 3   APCL","5/28/15","Gabas","BayBay"
10.728179,124.79335,"HECR   NA","5/28/15","Gabas","BayBay"
10.728097,124.79339,"HECR   1339  w/ 2   APCL","5/28/15","Gabas","BayBay"
10.727701,124.79345,"HECR   1288  w/ 4   APCL","5/28/15","Gabas","BayBay"
10.727187,124.79336,"HECR   1340  w/ 7   APCL","5/28/15","Gabas","BayBay"
10.874664,124.71068,"HECR   2001  w/ 2   APCL","5/29/15","Palanas","Albuera"
10.874527,124.71059,"HECR   132  w/ 3   APCL","5/29/15","Palanas","Albuera"
10.8745,124.7106,"???   NA  w/ 1   APCL","5/29/15","Palanas","Albuera"
10.874501,124.7106,"EMPT   966","5/29/15","Palanas","Albuera"
10.874484,124.71058,"HECR   NA  w/ 2   APPE","5/29/15","Palanas","Albuera"
10.874484,124.71058,"HECR   NA  w/ 2   APPE","5/29/15","Palanas","Albuera"
10.874484,124.71058,"HECR   NA  w/ 2   APPE","5/29/15","Palanas","Albuera"
10.874399,124.71058,"HECR   2002  w/ 4   APCL","5/29/15","Palanas","Albuera"
10.8744,124.71057,"HECR   NA  w/ 1   APPE","5/29/15","Palanas","Albuera"
10.8744,124.71058,"HECR   NA  w/ 1   APPE","5/29/15","Palanas","Albuera"
10.874411,124.71059,"HECR   965","5/29/15","Palanas","Albuera"
10.874398,124.71055,"HECR   NA  w/ 1   APPE","5/29/15","Palanas","Albuera"
10.874398,124.71055,"HECR   NA  w/ 1   APPE","5/29/15","Palanas","Albuera"
10.874325,124.71065,"HECR   NA  w/ 1   APPE","5/29/15","Palanas","Albuera"
10.874306,124.71061,"HECR   1029  w/ 6   APCL","5/29/15","Palanas","Albuera"
10.874277,124.71066,"HECR   1028  w/ 2   APCL","5/29/15","Palanas","Albuera"
10.874267,124.71067,"HECR   1027  w/ 1   APCL","5/29/15","Palanas","Albuera"
10.874186,124.71069,"HECR   NA","5/29/15","Palanas","Albuera"
10.874186,124.71069,"HECR   NA","5/29/15","Palanas","Albuera"
10.87409,124.71069,"HECR   2003  w/ 3   APCL","5/29/15","Palanas","Albuera"
10.874099,124.7107,"HECR   492  w/ 1   APCL","5/29/15","Palanas","Albuera"
10.874106,124.71073,"HECR   2004  w/ 1   APCL","5/29/15","Palanas","Albuera"
10.87414,124.71074,"ENQD   493  w/ 2   APFR","5/29/15","Palanas","Albuera"
10.874119,124.71076,"HECR   1033  w/ 4   APCL","5/29/15","Palanas","Albuera"
10.874172,124.71074,"ENQD   2005  w/ 2   APCL","5/29/15","Palanas","Albuera"
10.874027,124.71065,"HECR   2006  w/ 3   APCL","5/29/15","Palanas","Albuera"
10.873901,124.71051,"HECR   487  w/ 2   APPE","5/29/15","Palanas","Albuera"
10.873899,124.71051,"HECR   946","5/29/15","Palanas","Albuera"
10.873824,124.71046,"????   2007  w/ 2   APCL","5/29/15","Palanas","Albuera"
10.873855,124.71058,"HECR   NA  w/ 1   APCL","5/29/15","Palanas","Albuera"
