"lat","lon","notes","Date","Name","Municipality"
10.744935,124.785972,"????  w/ 1   APCL","05/22/13","Visca","Bay Bay"
10.744929,124.785858,"ENQD  w/ 2   APCL","05/22/13","Visca","Bay Bay"
10.744831,124.78577,"MADO  w/ 1   APCL","05/22/13","Visca","Bay Bay"
10.744864,124.785801,"ENQD  w/ 1   APCL","05/22/13","Visca","Bay Bay"
10.744973,124.785786,"MADO","05/22/13","Visca","Bay Bay"
10.744983,124.785767,"MADO  w/ 1   APCL","05/22/13","Visca","Bay Bay"
10.744983,124.785767,"ENQD  w/ 2   PRBI","05/22/13","Visca","Bay Bay"
10.744375,124.78603,"HEMG  w/ 4   APOC","05/22/13","Visca","Bay Bay"
10.744342,124.786066,"ENQD  w/ 3   APFR","05/22/13","Visca","Bay Bay"
10.744196,124.786159,"HEMG  w/ 3   APOC","05/22/13","Visca","Bay Bay"
10.744034,124.786401,"HECR  w/ 3   APCL","05/22/13","Visca","Bay Bay"
10.744081,124.786424,"HECR  w/ 3   APCL","05/22/13","Visca","Bay Bay"
10.744481,124.785954,"HEMG  w/ 3   APOC","05/22/13","Visca","Bay Bay"
10.744039,124.786303,"HECR  w/ 2   APCL","05/22/13","Visca","Bay Bay"
10.743813,124.786508,"HECR  w/ 3   APCL","05/22/13","Visca","Bay Bay"
10.743781,124.786492,"HECR  w/ 2   APCL","05/22/13","Visca","Bay Bay"
10.743749,124.78645,"HECR  w/ 1   APCL","05/22/13","Visca","Bay Bay"
10.743786,124.786426,"MADO","05/22/13","Visca","Bay Bay"
10.743922,124.786333,"HECR  w/ 2   APCL","05/22/13","Visca","Bay Bay"
10.743544,124.786687,"ENQD","05/22/13","Visca","Bay Bay"
10.743501,124.786639,"STME  w/ 2   APCL","05/22/13","Visca","Bay Bay"
10.743501,124.786587,"ENQD  w/ 2   APFR","05/22/13","Visca","Bay Bay"
10.743619,124.786597,"ENQD  w/ 2   PRBI","05/22/13","Visca","Bay Bay"
10.74349,124.786678,"ENQD  w/ 2   APCL","05/22/13","Visca","Bay Bay"
10.7434,124.786748,"ENQD  w/ 2   APFR","05/22/13","Visca","Bay Bay"
10.743301,124.786839,"ENQD  w/ 2   APCL","05/22/13","Visca","Bay Bay"
10.743295,124.786915,"HECR  w/ 2   APCL","05/22/13","Visca","Bay Bay"
10.744075,124.786445,"HECR  w/ 2   APPE","05/22/13","Visca","Bay Bay"
10.764526,124.785386,"HECR  w/ 2   APPE","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764475,124.785415,"HECR  w/ 1   APCL","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764459,124.785415,"HECR  w/ 2   APCL","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764436,124.785386,"HECR  w/ 1   APPE","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764352,124.785362,"HECR  w/ 2   APCL","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764276,124.785345,"HECR  w/ 2   APCL","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764263,124.785335,"HECR  w/ 2   APPE","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764209,124.785343,"HECR  w/ 1   APCL","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764185,124.785353,"HECR  w/ 2   APCL","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764156,124.785349,"HECR  w/ 1   APPE","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.76416,124.785312,"HECR  w/ 1   APPE","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764201,124.785289,"HECR  w/ 1   APCL","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764201,124.785289,"HECR  w/ 1   APPE","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764199,124.785266,"HECR  w/ 3   APCL","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764199,124.785266,"HECR","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.764199,124.785241,"HECR","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.763917,124.785234,"HECR  w/ 2   APCL","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.763751,124.785178,"HECR  w/ 1   APPE","05/23/13","Poroc San Flower, Marcos","Bay Bay"
10.756609,124.785981,"HECR  w/ 1   APCL","05/23/13","Poroc Rose, Marcos","Bay Bay"
10.756597,124.78595,"HECR  w/ 2   APCL","05/23/13","Poroc Rose, Marcos","Bay Bay"
10.756554,124.785927,"HECR","05/23/13","Poroc Rose, Marcos","Bay Bay"
10.756516,124.785902,"HECR  w/ 1   APPE","05/23/13","Poroc Rose, Marcos","Bay Bay"
10.756494,124.78585,"HECR  w/ 1   APCL","05/23/13","Poroc Rose, Marcos","Bay Bay"
10.756494,124.78585,"HECR  w/ 2   APCL","05/23/13","Poroc Rose, Marcos","Bay Bay"
10.756332,124.785815,"HECR  w/ 1   APCL","05/23/13","Poroc Rose, Marcos","Bay Bay"
10.756284,124.785799,"HECR  w/ 1   APCL","05/23/13","Poroc Rose, Marcos","Bay Bay"
10.756207,124.78569,"HECR  w/ 1   APCL","05/23/13","Poroc Rose, Marcos","Bay Bay"
10.756221,124.785645,"HECR  w/ 4   APCL","05/23/13","Poroc Rose, Marcos","Bay Bay"
10.75622,124.785663,"HECR","05/23/13","Poroc Rose, Marcos","Bay Bay"
10.755895,124.785525,"HECR","05/23/13","Poroc Rose, Marcos","Bay Bay"
