"lat","lon","notes","Date","Name","Municipality"
10.7438503951,124.7865450382,"HECR#776 w/3 APCL","1/7/15","Visca","BayBay"
10.7436597068,124.7866829205,"???? w/1 APFR","1/7/15","Visca","BayBay"
10.7433618139,124.7868320346,"ENQD w/2 APFR","1/7/15","Visca","BayBay"
10.7433371712,124.7868633829,"???? w/1 APFR","1/7/15","Visca","BayBay"
10.7436113432,124.7866324615,"???? w/1 APFR","1/7/15","Visca","BayBay"
10.7434008736,124.7868864331,"HECR#801 w/6 APCL","1/7/15","Visca","BayBay"
10.7433623169,124.7868020274,"ENQD w/3 APFR","1/7/15","Visca","BayBay"
10.6328507792,124.7768608388,"HECR#735 w/1 APCL","1/8/15","Sitio Baybayon","BayBay"
10.6328368653,124.7769078612,"HECR#777 w/1 APCL","1/8/15","Sitio Baybayon","BayBay"
10.6328341831,124.7769283969,"HECR","1/8/15","Sitio Baybayon","BayBay"
10.6328072771,124.7768840566,"HECR#778 w/1 APCL","1/8/15","Sitio Baybayon","BayBay"
10.6328019127,124.7769287322,"MADO","1/8/15","Sitio Baybayon","BayBay"
10.6328181736,124.7769618407,"HECR w/1 APPE","1/8/15","Sitio Baybayon","BayBay"
10.6328320876,124.7769282293,"HECR#737 w/2 APCL","1/8/15","Sitio Baybayon","BayBay"
10.6328571495,124.7769687138,"ENQD#468 w/2 APCL","1/8/15","Sitio Baybayon","BayBay"
10.6328765117,124.7770189214,"HECR#738 w/1 APCL","1/8/15","Sitio Baybayon","BayBay"
10.6329162419,124.7769984696,"ENQD w/2 APOC","1/8/15","Sitio Baybayon","BayBay"
10.6328798644,124.7770359367,"HECR","1/8/15","Sitio Baybayon","BayBay"
10.6328926887,124.7770491801,"HECR#739 w/3 APCL","1/8/15","Sitio Baybayon","BayBay"
10.6328651961,124.7770317458,"HECR","1/8/15","Sitio Baybayon","BayBay"
10.6328702252,124.7770624235,"ENQD#779 w/1 APFR","1/8/15","Sitio Baybayon","BayBay"
10.6328968797,124.7770704702,"HECR#740 w/1 APCL","1/8/15","Sitio Baybayon","BayBay"
10.6328879949,124.7770744935,"STGI w/3 APOC","1/8/15","Sitio Baybayon","BayBay"
10.6329530384,124.7770809475,"HECR","1/8/15","Sitio Baybayon","BayBay"
10.632987069,124.7769634333,"HECR","1/8/15","Sitio Baybayon","BayBay"
10.6329717301,124.7769824602,"HECR w/1 APPE","1/8/15","Sitio Baybayon","BayBay"
10.6329922657,124.776970474,"HECR#741 w/1 APCL","1/8/15","Sitio Baybayon","BayBay"
10.6329746637,124.7769889981,"HECR w/1 APPE","1/8/15","Sitio Baybayon","BayBay"
10.6329693832,124.7769652773,"HECR#780 w/1 APCL","1/8/15","Sitio Baybayon","BayBay"
10.6329985522,124.7769824602,"ENQD w/1 APFR","1/8/15","Sitio Baybayon","BayBay"
10.6329781003,124.7769345995,"HECR","1/8/15","Sitio Baybayon","BayBay"
10.6329470035,124.7769291513,"HECR#466 w/2 APCL","1/8/15","Sitio Baybayon","BayBay"
