lat,long,notes
10.87356325,124.7119983,MADO  w/ 1   APCL
10.8735405,124.712009,HECR  w/ 1   APCL
10.8735405,124.712009,HECR  w/ 2   APPE
10.87353275,124.7120143,HECR  w/ 0   APCL
10.8735295,124.7120425,HECR
10.87352025,124.7120845,HECR  w/ 1   APCL
10.87352025,124.7120845,HECR
10.87350525,124.7121148,HECR
10.873442,124.7121743,HECR
10.8733805,124.7122043,HECR
10.8733805,124.7122043,HECR  w/ 1   APPE
10.8733805,124.7122043,HECR  w/ 1   APPE
10.8733745,124.7122045,HECR
10.8733745,124.7122045,HECR
10.8733315,124.7121955,HECR  w/ 1   APPE
10.8733195,124.712191,HECR  w/ 3   APCL
10.873284,124.7121188,HECR  w/ 1   APPE
10.8718035,124.7138435,HECR
10.8718035,124.7138435,HECR  w/ 1   APPE
10.8718035,124.7138435,HECR
10.8718035,124.7138435,HECR
10.8718035,124.7138435,HECR
10.8718035,124.7138435,HECR
10.8718205,124.7138268,HECR  w/ 1   APPE
10.8718205,124.7138268,HECR  w/ 1   APPE
10.8718205,124.7138268,HECR  w/ 2   APCL
10.8718205,124.7138268,HECR
10.8718205,124.7138268,HECR
10.8718405,124.713801,HECR
10.8718405,124.713801,HECR  w/ 1   APPE
10.8718405,124.713801,HECR
10.8718405,124.713801,HECR
10.8718405,124.713801,HECR  w/ 3   APPE
10.8718405,124.713801,HECR
10.8718405,124.713801,HECR
10.8718435,124.7137965,HECR
10.8718435,124.7137965,HECR  w/ 1   APCL
10.8718435,124.7137965,HECR
10.8718435,124.7137965,HECR
10.8718435,124.7137965,HECR
10.8718435,124.7137965,HECR
10.8718435,124.7137965,HECR
10.8718435,124.7137965,HECR
10.871862,124.713804,HECR
10.871862,124.713804,HECR
10.871862,124.713804,HECR
10.871862,124.713804,HECR
10.871862,124.713804,HECR
10.871862,124.713804,HECR  w/ 2   APCL
10.871862,124.713804,HECR
10.871862,124.713804,HEAR  w/ 1   APPE
10.8718585,124.7138175,HECR
10.8718585,124.7138175,HECR
10.871857,124.7138193,HECR
10.87185575,124.713827,HECR  w/ 2   APCL
10.87185575,124.713827,HECR
10.87185575,124.713827,HECR
10.87185575,124.713827,HECR  w/ 1   APCL
10.87185575,124.713827,HECR
10.87185575,124.713827,HECR
10.87185575,124.713827,HEAR
10.87184425,124.7138663,HECR
10.87184425,124.7138663,HECR  w/ 1   APCL
10.871839,124.713874,HECR  w/ 1   APPE
10.871839,124.713874,HECR  w/ 1   APCL
10.871839,124.713874,HECR  w/ 2   APPE
10.87182475,124.7138855,HECR  w/ 1   APCL
10.87181725,124.7138978,HECR
10.87181725,124.7138978,HECR  w/ 1   APCL
10.87181725,124.7138978,HECR  w/ 2   APPE
10.871794,124.7139325,HECR  w/ 1   APCL
10.87177175,124.7139475,HECR  w/ 3   APPE
10.87177175,124.7139475,HECR
10.871762,124.7139495,HECR  w/ 1   APCL
10.871762,124.7139495,HECR
10.87172975,124.7139693,HECR
10.87172975,124.7139693,HECR
10.87172975,124.7139693,HECR
10.87172975,124.7139693,HECR  w/ 1   APCL
10.87172975,124.7139693,HEAR
10.871685,124.7139978,HECR
10.871685,124.7139978,HECR
10.871685,124.7139978,HECR  w/ 1   APCL
10.87166225,124.7140278,HECR
10.87166225,124.7140278,HECR
10.871661,124.7140425,HECR  w/ 2   APCL
10.87165125,124.7140663,HECR
10.87165125,124.7140663,HECR
10.871653,124.714077,HECR  w/ 2   APCL
10.8716745,124.714132,HECR  w/ 1   APCL
10.871664,124.7141705,HECR
10.871664,124.7141705,HECR
10.871664,124.7141705,HECR  w/ 1   APCL
10.871664,124.7141705,HECR
