"lat","lon","notes","Date","Name","Municipality"
10.743506,124.78666,"ENQD  # NA  w/ 2   APFR",2016-05-11,"Visca","BayBay"
10.743368,124.78684,"????  # NA  w/ 1   APFR",2016-05-11,"Visca","BayBay"
10.742957,124.78712,"HECR  # NA  w/ 2   APCL",2016-05-11,"Visca","BayBay"
10.633298,124.77677,"HECR  # 2173  w/ 2   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633268,124.77686,"????  # NA  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633294,124.77689,"HECR  # 2174  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633294,124.77689,"HECR  # NA  w/ 4   APPE",2016-05-12,"Sitio Baybayon","BayBay"
10.633294,124.77689,"HECR   NA",2016-05-12,"Sitio Baybayon","BayBay"
10.633308,124.77687,"EMPT   1016",2016-05-12,"Sitio Baybayon","BayBay"
10.633351,124.77685,"ENQD  # 2175  w/ 2   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633378,124.77682,"HECR  # 798  w/ 2   APPE",2016-05-12,"Sitio Baybayon","BayBay"
10.633363,124.77684,"HECR  # 799  w/ 1   APPE",2016-05-12,"Sitio Baybayon","BayBay"
10.633382,124.77686,"HECR  # 2176  w/ 2   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633388,124.77685,"HECR  # 830  w/ 2   APPE",2016-05-12,"Sitio Baybayon","BayBay"
10.633426,124.77683,"HECR   NA",2016-05-12,"Sitio Baybayon","BayBay"
10.633515,124.77681,"ENQD  # NA  w/ 2   APFR",2016-05-12,"Sitio Baybayon","BayBay"
10.633549,124.7768,"HECR  # 2177  w/ 3   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633563,124.7768,"HECR  # NA  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633581,124.7768,"HECR  # NA  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633616,124.7768,"HECR  # 2178  w/ 4   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633693,124.7768,"ENQD  # 2179  w/ 2   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633733,124.77678,"HECR  # 2180  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633828,124.77677,"ENQD  # NA  w/ 2   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633867,124.77673,"????  # NA  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633871,124.77671,"HECR  # 532  w/ 2   APPE",2016-05-12,"Sitio Baybayon","BayBay"
10.633868,124.77675,"HECR  # 530  w/ 1   APPE",2016-05-12,"Sitio Baybayon","BayBay"
10.633871,124.77671,"HECR  # 2162  w/ 1   APPE",2016-05-12,"Sitio Baybayon","BayBay"
10.633855,124.77664,"HECR  # 1002  w/ 2   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633827,124.77661,"HECR  # 762  w/ 2   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.63289,124.7771,"STME  # NA  w/ 2   APOC",2016-05-12,"Sitio Baybayon","BayBay"
10.632915,124.77708,"HECR   740",2016-05-12,"Sitio Baybayon","BayBay"
10.6329,124.77706,"HECR  # 738  w/ 2   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.632987,124.77711,"EMPT   743",2016-05-12,"Sitio Baybayon","BayBay"
10.633094,124.77711,"HECR  # 2161  w/ 2   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.63309,124.77711,"HECR  # NA  w/ 3   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633093,124.77706,"HECR  # 2182  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633088,124.77707,"HECR  # NA  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633164,124.77711,"HECR  # NA  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633217,124.77707,"HECR  # 765  w/ 1   APPE",2016-05-12,"Sitio Baybayon","BayBay"
10.633183,124.77706,"HECR  # NA  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633248,124.7771,"HECR  # 747  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633248,124.7771,"HECR  # 2183  w/ 4   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633231,124.77709,"MADO  # NA  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633134,124.77705,"HECR  # 2160  w/ 2   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633143,124.77697,"HECR  # 2184  w/ 2   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633339,124.77706,"HEMG  # NA  w/ 3   APOC",2016-05-12,"Sitio Baybayon","BayBay"
10.633341,124.77704,"HECR  # NA  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633343,124.77704,"HECR  # 2185  w/ 11   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633359,124.77703,"HEAR   750",2016-05-12,"Sitio Baybayon","BayBay"
10.633386,124.77704,"HECR   459",2016-05-12,"Sitio Baybayon","BayBay"
10.633428,124.77696,"HECR  # NA  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.63344,124.77695,"HECR  # 2186  w/ 1   APCL",2016-05-12,"Sitio Baybayon","BayBay"
10.633452,124.77696,"HECR  # 457  w/ 3   APCL",2016-05-12,"Sitio Baybayon","BayBay"
