Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
L2564,809,L0994,809,809,9,-4.99419961870732E+0001,-4.99419961870732E+0001,*,L1607,809,809,25,-1.28963299162243E+0002,-1.28963299162243E+0002,*,809,35,-1.85725447442368E+0002,-1.85725447442368E+0002,-,
L2564,809,L0984,807,807,30,-1.59804347842191E+0002, 0.00000000000000E+0000,,L0994,809,809,9,-4.99419961870732E+0001,-4.99419961870732E+0001,*,809,41,-2.19562828504719E+0002, 0.00000000000000E+0000,,
L2364,0
L2565,808,L0994,809,808,10,-5.90568189477044E+0001,-5.90568189477044E+0001,*,L2500,710,709,32,-1.75601963492214E+0002,-1.75601963492214E+0002,-,808,44,-2.45407705476418E+0002,-2.45407705476418E+0002,-,
L2565,808,L0886,809,808,34,-1.95650933549269E+0002, 0.00000000000000E+0000,,L0994,809,808,10,-5.90568189477044E+0001,-5.90568189477044E+0001,*,808,44,-2.54651430537085E+0002, 0.00000000000000E+0000,,
L2420,0
L2207,808,L0913,809,808,26,-1.37249045073273E+0002, 0.00000000000000E+0000,,L0994,809,808,12,-6.81586169435590E+0001,-6.81586169435590E+0001,*,808,36,-1.96361996277373E+0002,-1.96361996277373E+0002,-,
L2207,808,L0886,809,808,25,-1.32419706615041E+0002,-1.32419706615041E+0002,*,L0994,809,808,12,-6.81586169435590E+0001,-6.81586169435590E+0001,*,808,41,-2.25598812670177E+0002, 0.00000000000000E+0000,,
L2208,682,L0886,809,682,26,-1.45618616873301E+0002, 0.00000000000000E+0000,,L0994,809,682,10,-6.09163966808461E+0001,-6.09163966808461E+0001,*,682,35,-2.03700644717282E+0002,-2.03700644717282E+0002,-,
L2208,682,L0913,809,682,25,-1.40212761630031E+0002,-1.40212761630031E+0002,*,L0994,809,682,10,-6.09163966808461E+0001,-6.09163966808461E+0001,*,682,37,-2.15247268384365E+0002, 0.00000000000000E+0000,,
L2266,714,L0816,809,714,24,-1.24961889221543E+0002,-1.24961889221543E+0002,*,L0994,809,714,11,-6.92752812607042E+0001,-6.92752812607042E+0001,*,714,36,-1.99765745099311E+0002,-1.99765745099311E+0002,-,
L2266,714,L0994,809,714,11,-6.92752812607042E+0001,-6.92752812607042E+0001,*,L1607,809,714,25,-1.36675491868962E+0002, 0.00000000000000E+0000,,714,38,-2.17371731892143E+0002, 0.00000000000000E+0000,,
L2210,736,L0994,809,736,16,-9.80435353500215E+0001,-9.80435353500215E+0001,*,L1215,753,687,2, 2.02750799259659E+0002, 2.02750799259659E+0002,*,736,20, 8.50658289243285E+0001, 8.50658289243285E+0001,*,
L2210,736,L0886,809,736,22,-1.27893015508071E+0002, 0.00000000000000E+0000,,L1215,753,687,2, 2.02750799259659E+0002, 2.02750799259659E+0002,*,736,24, 6.85271324952215E+0001, 0.00000000000000E+0000,,
L2211,794,L0913,809,794,30,-1.73691287178475E+0002, 0.00000000000000E+0000,,L0994,809,794,15,-8.99600861910232E+0001,-8.99600861910232E+0001,*,794,45,-2.64426713279833E+0002,-2.64426713279833E+0002,-,
L2211,794,L0994,809,794,15,-8.99600861910232E+0001,-8.99600861910232E+0001,*,L1671,789,775,32,-1.71473482824357E+0002,-1.71473482824357E+0002,-,794,48,-2.66787732798348E+0002, 0.00000000000000E+0000,,
L2212,767,L0913,809,767,27,-1.52765333603879E+0002,-1.52765333603879E+0002,-,L0994,809,767,11,-6.66077752273222E+0001,-6.66077752273222E+0001,*,767,39,-2.25571519823161E+0002,-2.25571519823161E+0002,-,
L2212,767,L0994,809,767,11,-6.66077752273222E+0001,-6.66077752273222E+0001,*,L1607,809,767,31,-1.70981395625317E+0002, 0.00000000000000E+0000,,767,42,-2.39660210073370E+0002, 0.00000000000000E+0000,,
L2269,0
L2214,794,L0994,809,794,19,-1.16906139885568E+0002,-1.16906139885568E+0002,*,L1607,809,794,21,-1.03684235116358E+0002,-1.03684235116358E+0002,*,794,42,-2.31685506004028E+0002,-2.31685506004028E+0002,-,
L2214,794,L0913,809,794,26,-1.32331843667898E+0002, 0.00000000000000E+0000,,L1607,809,794,21,-1.03684235116358E+0002,-1.03684235116358E+0002,*,794,51,-2.58831452908975E+0002, 0.00000000000000E+0000,,
L2270,750,L0886,809,750,30,-1.77731511565119E+0002, 0.00000000000000E+0000,,L0994,809,750,14,-8.62340492265785E+0001,-8.62340492265785E+0001,*,750,41,-2.49566965752807E+0002,-2.49566965752807E+0002,-,
L2270,750,L0994,809,750,14,-8.62340492265785E+0001,-8.62340492265785E+0001,*,L1607,809,750,28,-1.62079597709076E+0002,-1.62079597709076E+0002,-,750,43,-2.52748687380285E+0002, 0.00000000000000E+0000,,
L2368,0
L1772,776,L0984,807,774,31,-1.64044089348040E+0002,-1.64044089348040E+0002,-,L0994,809,776,9,-5.70700697557459E+0001,-5.70700697557459E+0001,*,776,40,-2.18034152674869E+0002,-2.18034152674869E+0002,-,
L1772,776,L0994,809,776,9,-5.70700697557459E+0001,-5.70700697557459E+0001,*,L1607,809,776,36,-2.08274575711458E+0002, 0.00000000000000E+0000,,776,42,-2.47737412335696E+0002, 0.00000000000000E+0000,,
L2271,702,L0994,809,702,9,-4.44892059128480E+0001,-4.44892059128480E+0001,*,L1607,809,702,29,-1.59114222699537E+0002,-1.59114222699537E+0002,-,702,40,-2.18474323247890E+0002,-2.18474323247890E+0002,-,
L2271,702,L0886,809,702,33,-1.80841784052979E+0002, 0.00000000000000E+0000,,L0994,809,702,9,-4.44892059128480E+0001,-4.44892059128480E+0001,*,702,43,-2.30350113726468E+0002, 0.00000000000000E+0000,,
L2216,789,L0994,809,789,10,-6.47320148736297E+0001,-6.47320148736297E+0001,*,L1607,809,789,24,-1.35248535473684E+0002,-1.35248535473684E+0002,*,789,31,-1.82952960952044E+0002,-1.82952960952044E+0002,-,
L2216,789,L0886,809,789,29,-1.62996897800793E+0002, 0.00000000000000E+0000,,L0994,809,789,10,-6.47320148736297E+0001,-6.47320148736297E+0001,*,789,39,-2.27644968641522E+0002, 0.00000000000000E+0000,,
L1773,797,L0663,809,797,32,-6.06278197244441E+0001,-6.06278197244441E+0001,*,L0994,809,797,11,-5.51044144147506E+0001,-5.51044144147506E+0001,*,797,45,-1.26627960049464E+0002,-1.26627960049464E+0002,+,
L1773,797,L0913,809,797,19,-9.96851750005929E+0001, 0.00000000000000E+0000,,L0994,809,797,11,-5.51044144147506E+0001,-5.51044144147506E+0001,*,797,32,-1.64820073158130E+0002, 0.00000000000000E+0000,,
L2218,780,L0816,809,780,26,-1.32149408066767E+0002,-1.32149408066767E+0002,*,L0994,809,780,12,-6.93971084034801E+0001,-6.93971084034801E+0001,*,780,40,-2.15009722291756E+0002,-2.15009722291756E+0002,-,
L2218,780,L0994,809,780,12,-6.93971084034801E+0001,-6.93971084034801E+0001,*,L2500,710,683,30,-1.62207769736572E+0002, 0.00000000000000E+0000,,780,41,-2.26405059259420E+0002, 0.00000000000000E+0000,,
L1775,809,L0731,768,768,31,-1.49468206756894E+0002,-1.49468206756894E+0002,-,L0994,809,809,12,-7.22104620657609E+0001,-7.22104620657609E+0001,*,809,46,-2.39735350387321E+0002,-2.39735350387321E+0002,-,
L1775,809,L0913,809,809,29,-1.65313873336737E+0002, 0.00000000000000E+0000,,L0994,809,809,12,-7.22104620657609E+0001,-7.22104620657609E+0001,*,809,43,-2.49172002415334E+0002, 0.00000000000000E+0000,,
L2220,782,L0886,809,782,23,-1.18705647246388E+0002,-1.18705647246388E+0002,*,L0994,809,782,12,-6.62814607485088E+0001,-6.62814607485088E+0001,*,782,37,-1.95667676523500E+0002,-1.95667676523500E+0002,-,
L2220,782,L0994,809,782,12,-6.62814607485088E+0001,-6.62814607485088E+0001,*,L2500,710,684,29,-1.52277055759635E+0002, 0.00000000000000E+0000,,782,43,-2.26809824480595E+0002, 0.00000000000000E+0000,,
L2221,731,L0886,809,731,27,-1.59325511484298E+0002,-1.59325511484298E+0002,-,L0994,809,731,5,-2.69675396120683E+0001,-2.69675396120683E+0001,*,731,32,-1.84626481391138E+0002,-1.84626481391138E+0002,-,
L2221,731,L0913,809,731,30,-1.66031900946568E+0002, 0.00000000000000E+0000,,L0994,809,731,5,-2.69675396120683E+0001,-2.69675396120683E+0001,*,731,36,-2.01158059694085E+0002, 0.00000000000000E+0000,,
L2346,802,L0886,809,802,21,-1.15928255096213E+0002,-1.15928255096213E+0002,*,L0994,809,802,8,-4.26440111472377E+0001,-4.26440111472377E+0001,*,802,33,-1.77939519443736E+0002,-1.77939519443736E+0002,-,
L2346,802,L0913,809,802,33,-1.82180721553695E+0002, 0.00000000000000E+0000,,L0994,809,802,8,-4.26440111472377E+0001,-4.26440111472377E+0001,*,802,43,-2.40451608008183E+0002, 0.00000000000000E+0000,,
L2369,800,L0816,809,800,24,-1.19706017185295E+0002,-1.19706017185295E+0002,*,L0994,809,800,12,-7.48345917984515E+0001,-7.48345917984515E+0001,*,800,38,-2.07237382292684E+0002,-2.07237382292684E+0002,-,
L2369,800,L0994,809,800,12,-7.48345917984515E+0001,-7.48345917984515E+0001,*,L1607,809,800,25,-1.37860850214384E+0002, 0.00000000000000E+0000,,800,39,-2.23943608262438E+0002, 0.00000000000000E+0000,,
L2370,786,L0816,809,786,23,-1.11092831581223E+0002,-1.11092831581223E+0002,*,L0994,809,786,11,-6.22205986283973E+0001,-6.22205986283973E+0001,*,786,35,-1.81924997644374E+0002,-1.81924997644374E+0002,-,
L2370,786,L0913,809,786,27,-1.51485648553741E+0002, 0.00000000000000E+0000,,L0994,809,786,11,-6.22205986283973E+0001,-6.22205986283973E+0001,*,786,37,-2.08411991575570E+0002, 0.00000000000000E+0000,,
L2421,0
L2371,806,L0994,809,806,10,-5.39332419394124E+0001,-5.39332419394124E+0001,*,L2512,809,806,32,-1.53176257467117E+0002,-1.53176257467117E+0002,-,806,43,-2.14931572195790E+0002,-2.14931572195790E+0002,-,
L2371,806,L0913,809,806,28,-1.55226210184689E+0002, 0.00000000000000E+0000,,L0994,809,806,10,-5.39332419394124E+0001,-5.39332419394124E+0001,*,806,40,-2.22709440239415E+0002, 0.00000000000000E+0000,,
L2373,0
L2566,809,L0984,807,807,22,-1.01311724091520E+0002,-1.01311724091520E+0002,*,L0994,809,809,10,-5.93384271084053E+0001,-5.93384271084053E+0001,*,809,35,-1.75193700008528E+0002,-1.75193700008528E+0002,-,
