Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
2:16:34 PM,2014-01-30 2:16:34 PM,15.5,ng/ml,1.55,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,1591.41,
2:16:22 PM,2014-01-30 2:16:22 PM,11.1,ng/ml,1.11,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,1155.11,
2:16:11 PM,2014-01-30 2:16:11 PM,9.79,ng/ml,0.979,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,1028.52,
2:15:56 PM,2014-01-30 2:15:56 PM,10.6,ng/ml,1.06,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,1105.41,
