Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
4:43:55 PM,2014-01-30 4:43:55 PM,1.88,ng/ml,0.188,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,264.30,
4:43:45 PM,2014-01-30 4:43:45 PM,2.20,ng/ml,0.220,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,295.10,
4:43:34 PM,2014-01-30 4:43:34 PM,1.79,ng/ml,0.179,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,255.92,
4:43:09 PM,2014-01-30 4:43:09 PM,1.21,ng/ml,0.121,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,201.67,
