Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
6:14:23 PM,2014-01-30 6:14:23 PM,144,ng/ml,14.4,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,14343.26,
6:14:13 PM,2014-01-30 6:14:13 PM,111,ng/ml,11.1,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,11046.18,
6:14:03 PM,2014-01-30 6:14:03 PM,109,ng/ml,10.9,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,10865.12,
6:13:54 PM,2014-01-30 6:13:54 PM,101,ng/ml,10.1,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,10098.25,
6:13:42 PM,2014-01-30 6:13:42 PM,105,ng/ml,10.5,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,10444.89,
6:13:27 PM,2014-01-30 6:13:27 PM,98.8,ng/ml,9.88,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,9869.55,
6:13:17 PM,2014-01-30 6:13:17 PM,0.74,ng/ml,0.0740,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,157.97,
6:13:07 PM,2014-01-30 6:13:07 PM,111,ng/ml,11.1,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,11088.14,
6:12:56 PM,2014-01-30 6:12:56 PM,104,ng/ml,10.4,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,10358.79,
6:12:46 PM,2014-01-30 6:12:46 PM,97.7,ng/ml,9.77,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,9759.98,
4:43:55 PM,2014-01-30 4:43:55 PM,1.88,ng/ml,0.188,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,264.30,
4:43:45 PM,2014-01-30 4:43:45 PM,2.20,ng/ml,0.220,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,295.10,
4:43:34 PM,2014-01-30 4:43:34 PM,1.79,ng/ml,0.179,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,255.92,
4:43:09 PM,2014-01-30 4:43:09 PM,1.21,ng/ml,0.121,ng/킠,dsDNA HS,2,100.00,90.28,48332.46,,BLUE,201.67,
