Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
12:08:25 PM,2014-01-15 12:08:25 PM,84.0,ng/ml,,,dsDNA HS,,,77.48,48382.49,,BLUE,8400.82,
12:08:18 PM,2014-01-15 12:08:18 PM,36.5,ng/ml,,,dsDNA HS,,,77.48,48382.49,,BLUE,3654.58,
12:08:09 PM,2014-01-15 12:08:09 PM,158,ng/ml,,,dsDNA HS,,,77.48,48382.49,,BLUE,15743.85,
12:07:59 PM,2014-01-15 12:07:59 PM,74.9,ng/ml,,,dsDNA HS,,,77.48,48382.49,,BLUE,7492.61,
12:07:23 PM,2014-01-15 12:07:23 PM,42.5,ng/ml,4.25E+03,ng/mL,dsDNA HS,2,100.00,77.48,48382.49,,BLUE,4257.87,
