Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
1:45:56 PM,2014-02-28 1:45:56 PM,132,ng/ml,13.2,ng/킠,dsDNA HS,2,100.00,82.63,50498.06,,BLUE,13766.11,
1:45:46 PM,2014-02-28 1:45:46 PM,157,ng/ml,15.7,ng/킠,dsDNA HS,2,100.00,82.63,50498.06,,BLUE,16366.78,
1:45:36 PM,2014-02-28 1:45:36 PM,148,ng/ml,14.8,ng/킠,dsDNA HS,2,100.00,82.63,50498.06,,BLUE,15415.72,
1:45:26 PM,2014-02-28 1:45:26 PM,177,ng/ml,17.7,ng/킠,dsDNA HS,2,100.00,82.63,50498.06,,BLUE,18435.84,
1:45:15 PM,2014-02-28 1:45:15 PM,17.2,ng/ml,1.72,ng/킠,dsDNA HS,2,100.00,82.63,50498.06,,BLUE,1817.92,
