First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_13485L0658,262,APCL_14095L0923,265,253,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13557L1218,264,APCL_14291L1206,250,226,24, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13565L0670,265,APCL_13565L1735,265,252,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13565L0670,265,APCL_14049L0726,265,257,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13565L0670,265,APCL_14049L1740,265,254,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13565L1735,265,APCL_14049L0726,265,251,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13565L1735,265,APCL_14049L1740,265,253,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13572L0874,265,APCL_14060L0921,265,256,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13584L0677,265,APCL_13584L1736,263,250,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13584L0677,265,APCL_14155L0730,265,249,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13584L0677,265,APCL_14155L1741,265,241,24, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13584L1736,263,APCL_14155L0730,265,242,21, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13584L1736,263,APCL_14155L1741,265,245,18, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13587L0678,265,APCL_13587L1737,265,245,20, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13587L0678,265,APCL_14255L0737,265,260,5, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13587L0678,265,APCL_14255L1742,262,247,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13587L0678,265,APCL_14509L1705,265,255,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13587L1737,265,APCL_14255L0737,265,244,21, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13587L1737,265,APCL_14255L1742,262,247,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13587L1737,265,APCL_14509L1705,265,247,18, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13601L0683,265,APCL_14270L1013,265,247,18, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13615L0884,265,APCL_14XXXL1282,265,245,20, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13639L0979,265,APCL_13651L0980,265,251,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13639L0979,265,APCL_13651L1725,265,253,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13651L0980,265,APCL_13651L1725,265,249,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13653L0696,265,APCL_14246L0712,265,251,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13654L0697,264,APCL_14088L0922,265,252,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14006L0722,265,APCL_14006L1738,265,240,25, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14032L0947,263,APCL_14032L1739,263,236,25, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14049L0726,265,APCL_14049L1740,265,252,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14126L1321,250,APCL_14126L1701,265,242,8, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14255L0737,265,APCL_14255L1742,262,248,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14255L0737,265,APCL_14509L1705,265,252,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14255L1742,262,APCL_14509L1705,265,249,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_14309L1018,265,APCL_14317L0806,265,243,22, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
