Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
11:48:21 AM,2014-03-07 11:48:21 AM,1.05,ng/ml,0.105,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,180.29,
11:48:12 AM,2014-03-07 11:48:12 AM,35.3,ng/ml,3.53,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,3619.65,
11:48:01 AM,2014-03-07 11:48:01 AM,53.9,ng/ml,5.39,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,5510.02,
11:47:52 AM,2014-03-07 11:47:52 AM,130,ng/ml,13.0,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,13277.28,
11:47:42 AM,2014-03-07 11:47:42 AM,27.4,ng/ml,2.74,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,2814.20,
11:47:33 AM,2014-03-07 11:47:33 AM,31.7,ng/ml,3.17,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,3254.04,
11:47:23 AM,2014-03-07 11:47:23 AM,306,ng/ml,30.6,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,30833.43,
11:47:13 AM,2014-03-07 11:47:13 AM,254,ng/ml,25.4,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,25684.48,
11:47:04 AM,2014-03-07 11:47:04 AM,335,ng/ml,33.5,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,33713.54,
11:46:54 AM,2014-03-07 11:46:54 AM,174,ng/ml,17.4,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,17736.14,
11:46:42 AM,2014-03-07 11:46:42 AM,354,ng/ml,35.4,ng/킠,dsDNA HS,2,100.00,81.24,49466.10,,BLUE,35561.76,
