fish_id,color,fin_id,recap,size,tag_id,dive_num,obs_time,collector,gps,depth_m,depth_ft,anemspp,anemdia,oldanemid,anem_id,anemsampleid,spp,notes,anem_table_id,dive_table_id
55.3,NA,NA,NA,9,NA,4,10:32:00,MRS,3,3.1,NA,HECR,20,NA,2002,NA,APCL,One large fish swam away,6859,288
61.1,NA,NA,NA,10,NA,4,10:38:00,MRS,3,3.2,NA,HECR,40,NA,1029,NA,APCL,NA,6865,288
61.2,YR,NA,NA,2,NA,4,10:38:00,MRS,3,3.2,NA,HECR,40,NA,1029,NA,APCL,NA,6865,288
63.1,NA,NA,NA,7,NA,4,10:41:00,MRS,3,3.3,NA,HECR,25,NA,967,NA,APPE,NA,6867,288
63.2,NA,NA,NA,5,NA,4,10:41:00,MRS,3,3.3,NA,HECR,25,NA,967,NA,APPE,NA,6867,288
67.1,YP,36,NA,9.7,NA,4,10:50:00,MRS,3,3.6,NA,HECR,NA,NA,1027,NA,APCL,"Time highly uncertain: visited sometime between 10:32 and 11:07. Michelle was too busy processing fish and didn't visit this anemone (or didn't record the time when she did). Reconstructed the time based on location of #1027 in January 2015, and then matching that (especially latitude) to the GPS track from this year. Depth guessed based on time.",6871,288
67.2,O,37,NA,9.3,NA,4,10:50:00,MRS,3,3.6,NA,HECR,NA,NA,1027,NA,APCL,"Time highly uncertain: visited sometime between 10:32 and 11:07. Michelle was too busy processing fish and didn't visit this anemone (or didn't record the time when she did). Reconstructed the time based on location of #1027 in January 2015, and then matching that (especially latitude) to the GPS track from this year. Depth guessed based on time.",6871,288
69.1,NA,NA,NA,7,NA,4,10:55:00,MRS,3,3.5,NA,HECR,25,NA,492,NA,APPE,NA,6873,288
70.1,O,40,NA,10.1,NA,4,11:06:00,MRS,3,3.4,NA,HECR,25,NA,1033,NA,APCL,NA,6874,288
70.2,O,41,NA,9.6,NA,4,11:06:00,MRS,3,3.4,NA,HECR,25,NA,1033,NA,APCL,NA,6874,288
70.3,YR,42,NA,3.5,NA,4,11:06:00,MRS,3,3.4,NA,HECR,25,NA,1033,NA,APCL,NA,6874,288
71.1,O,38,NA,10.2,NA,4,11:07:00,MRS,3,3.7,NA,ENQD,30,NA,2005,NA,APCL,"The 6.5 YR was noted as ""2005?"" because anemone was uncertain.",6875,288
71.2,YP,39,NA,11.1,NA,4,11:07:00,MRS,3,3.7,NA,ENQD,30,NA,2005,NA,APCL,"The 6.5 YR was noted as ""2005?"" because anemone was uncertain.",6875,288
71.3,YR,43,NA,6.5,NA,4,11:07:00,MRS,3,3.7,NA,ENQD,30,NA,2005,NA,APCL,"The 6.5 YR was noted as ""2005?"" because anemone was uncertain.",6875,288
73.1,NA,NA,NA,4,NA,4,11:17:00,MRS,3,3.7,NA,ENQD,30,NA,498,NA,APCL,NA,6877,288
74.1,YP,44,NA,10.7,NA,4,11:19:00,MRS,3,3.8,NA,HECR,30,NA,2003,NA,APCL,Also two small ones,6878,288
74.2,O,45,NA,9.8,NA,4,11:19:00,MRS,3,3.8,NA,HECR,30,NA,2003,NA,APCL,Also two small ones,6878,288
74.3,NA,NA,NA,3,NA,4,11:19:00,MRS,3,3.8,NA,HECR,30,NA,2003,NA,APCL,Also two small ones,6878,288
74.4,NA,NA,NA,3,NA,4,11:19:00,MRS,3,3.8,NA,HECR,30,NA,2003,NA,APCL,Also two small ones,6878,288
75.1,YR,46,NA,3.5,NA,4,11:25:00,MRS,3,3.8,NA,HECR,20,NA,2192,NA,APCL,NA,6879,288
75.2,YR,47,NA,6.1,NA,4,11:25:00,MRS,3,3.8,NA,HECR,20,NA,2192,NA,APCL,NA,6879,288
76.1,YR,NA,NA,3.3,NA,4,11:28:00,MRS,3,3.9,NA,HECR,20,NA,2006,NA,APCL,One large one swam away,6880,288
76.2,NA,NA,NA,9,NA,4,11:28:00,MRS,3,3.9,NA,HECR,20,NA,2006,NA,APCL,One large one swam away,6880,288
