fish_table_id,anem_table_id,fish_spp,size,fin_id,sample_id,color,gen_id,recap,tag_id,fish_obs_time,notes,collector,correction,corr_date,corr_editor,corr_message
7856,7672,APCL,4.1,454,APCL16_454,W,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7845,7663,APCL,7.3,452,APCL16_452,O,NA,N,985153000355893,NA,NA,MRS,NA,NA,NA,NA
7844,7662,APCL,3.9,451,APCL16_451,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7842,7662,APCL,5.4,449,APCL16_449,YR,NA,N,985153000406269,NA,NA,MRS,NA,NA,NA,NA
7840,7662,APCL,7.8,447,APCL16_447,O,NA,N,985153000402078,NA,NA,MRS,NA,NA,NA,NA
7837,7660,APCL,7.2,446,APCL16_446,YP,NA,N,985153000401033,NA,NA,MRS,NA,NA,NA,NA
7832,7657,APCL,8.8,445,APCL16_445,O,NA,N,985153000369575,NA,NA,MRS,NA,NA,NA,NA
7831,7657,APCL,8.5,444,APCL16_444,YP,NA,N,985153000368531,NA,NA,MRS,NA,NA,NA,NA
7823,7649,APCL,9.7,442,APCL16_442,O,NA,N,985153000371755,NA,NA,MRS,NA,NA,NA,NA
7820,7645,APCL,5.9,440,APCL16_440,YR,NA,N,985153000372474,NA,NA,MRS,NA,NA,NA,NA
7818,7645,APCL,9,438,APCL16_438,O,NA,N,985153000355812,NA,NA,MRS,NA,NA,NA,NA
7808,7603,APCL,9.6,437,APCL16_437,O,NA,N,985153000354346,NA,Fish 433 had very long pectorial fins,MRS,NA,NA,NA,NA
7800,7592,APCL,8.2,429,APCL16_429,O,NA,N,985153000371009,NA,NA,MRS,NA,NA,NA,NA
7792,7576,APCL,8.5,425,APCL16_425,O,NA,N,985153000355520,NA,NA,MRS,NA,NA,NA,NA
7788,7575,APCL,8.1,NA,NA,O,NA,Y,985153000404937,NA,NA,MRS,NA,NA,NA,NA
7782,7532,APCL,6.5,418,APCL16_418,YP,NA,N,985153000404421,NA,NA,MRS,NA,NA,NA,NA
7780,7532,APCL,3.7,416,APCL16_416,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7778,7531,APCL,5.6,415,APCL16_415,YR,NA,N,985153000355759,NA,NA,MRS,NA,NA,NA,NA
7776,7531,APCL,4.7,413,APCL16_413,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7772,7492,APCL,7.5,409,APCL16_409,O,NA,N,NA,NA,Fish 409 was tagged but escaped before it could be scanned,MRS,NA,NA,NA,NA
7770,7492,APCL,7.6,407,APCL16_407,YP,NA,N,985153000369402,NA,,MRS,NA,NA,NA,NA
7764,7491,APCL,8,403,APCL16_403,O,NA,N,985153000369173,NA,NA,MRS,NA,NA,NA,NA
7762,7491,APCL,8.8,401,APCL16_401,YP,NA,N,985153000355653,NA,NA,MRS,NA,NA,NA,NA
7760,7471,APCL,NA,NA,NA,NA,NA,N,985153000368613,NA,NA,MRS,NA,NA,NA,NA
7756,7471,APCL,6.5,396,APCL16_396,Y,NA,N,985153000368743,NA,NA,MRS,NA,NA,NA,NA
7752,7451,APCL,9.0,393,APCL16_393,YP,NA,Y,985153000404510,NA,NA,MRS,Y,2017-08-15,MRS,"This sample_id was not on the excel sheet or database but the tube exists.  MRS guesses that a fin clip was collected from the recaptured fish between fish 392 and 394 on the data sheet, which is the 9.0 YP fish tag id 404510.  Comparing DNA to the first capture of this fish should reveal whether or not this guess is correct."
7750,7451,APCL,6.4,391,APCL16_391,O,NA,N,985153000355674,NA,NA,MRS,NA,NA,NA,NA
7748,7451,APCL,8.6,389,APCL16_389,O,NA,N,985153000368655,NA,NA,MRS,NA,NA,NA,NA
7744,7446,APCL,5.2,386,APCL16_386,YR,NA,N,985153000353924,NA,NA,MRS,NA,NA,NA,NA
7740,7438,APCL,9.5,382,APCL16_382,O,NA,N,985153000354119,NA,NA,MRS,NA,NA,NA,NA
7738,7437,APCL,7.2,380,APCL16_380,O,NA,N,985153000368228,NA,NA,MRS,NA,NA,NA,NA
7736,7437,APCL,9.4,378,APCL16_378,YP,NA,N,985153000370945,NA,NA,MRS,NA,NA,NA,NA
7732,7415,APCL,7.3,376,APCL16_376,O,NA,N,985153000356639,NA,NA,MRS,NA,NA,NA,NA
7728,7412,APCL,8.1,373,APCL16_373,YP,NA,N,985153000355917,NA,NA,MRS,NA,NA,NA,NA
7726,7410,APCL,6.6,371,APCL16_371,Y,NA,N,985153000354678,NA,NA,MRS,NA,NA,NA,NA
7724,7403,APCL,4.3,369,APCL16_369,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7722,7402,APCL,7.1,367,APCL16_367,O,NA,N,985153000368530,NA,NA,MRS,NA,NA,NA,NA
7720,7402,APCL,8.1,365,APCL16_365,YP,NA,N,985153000372650,NA,NA,MRS,NA,NA,NA,NA
7716,7401,APCL,7.3,355,APCL16_355,O,NA,N,985153000353954,NA,NA,MRS,NA,NA,NA,NA
7712,7401,APCL,5.6,351,APCL16_351,YR,NA,N,985153000370445,NA,NA,MRS,NA,NA,NA,NA
7711,7400,APCL,5.4,362,APCL16_362,YR,NA,N,985153000355953,NA,NA,MRS,NA,NA,NA,NA
7710,7400,APCL,4.6,361,APCL16_361,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7708,7400,APCL,7.8,359,APCL16_359,O,NA,N,985153000367901,NA,NA,MRS,NA,NA,NA,NA
7706,7400,APCL,7.6,357,APCL16_357,YP,NA,N,985153000364372,NA,NA,MRS,NA,NA,NA,NA
7692,7389,APCL,8.2,344,APCL16_344,YP,NA,N,985153000406518,NA,NA,MRS,NA,NA,NA,NA
7690,7388,APCL,5.6,342,APCL16_342,YP,NA,N,985153000403068,NA,NA,MRS,NA,NA,NA,NA
7688,7387,APCL,8.9,340,APCL16_340,O,NA,N,985153000403514,NA,NA,MRS,NA,NA,NA,NA
7680,7384,APCL,6.7,334,APCL16_334,O,NA,N,985153000401554,NA,NA,MRS,NA,NA,NA,NA
7672,7378,APCL,9,332,APCL16_332,YP,NA,N,985153000402712,NA,NA,MRS,NA,NA,NA,NA
7670,7368,APCL,4.1,331,APCL16_331,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7668,7368,APCL,6.6,329,APCL16_329,O,NA,N,985153000403144,NA,NA,MRS,NA,NA,NA,NA
7664,7358,APCL,7.2,320,APCL16_320,O,NA,N,985153000406941,NA,NA,MRS,NA,NA,NA,NA
7660,7357,APCL,NA,NA,NA,NA,NA,N,985153000400004,NA,NA,MRS,NA,NA,NA,NA
7658,7357,APCL,9.9,327,APCL16_327,YR,NA,N,985153000353755,NA,NA,MRS,NA,NA,NA,NA
7656,7357,APCL,7.6,325,APCL16_325,O,NA,N,985153000401757,NA,NA,MRS,NA,NA,NA,NA
7648,7353,APCL,5.5,316,APCL16_316,O,NA,N,985153000404621,NA,NA,MRS,NA,NA,NA,NA
7647,7353,APCL,7.5,315,APCL16_315,YP,NA,N,985153000400354,NA,NA,MRS,NA,NA,NA,NA
7644,7351,APCL,8.6,313,APCL16_313,YP,NA,N,985153000401581,NA,NA,MRS,NA,NA,NA,NA
7640,7348,APCL,8.2,311,APCL16_311,O,NA,N,985153000403414,NA,NA,MRS,NA,NA,NA,NA
7638,7346,APCL,8.4,309,APCL16_309,YP,NA,N,985153000401758,NA,Changed the anem_id from 51 to 31 because anem 51 is at Visca.,MRS,NA,NA,NA,NA
7628,7342,APCL,3.5,305,APCL16_305,YR,NA,N,NA,NA,Unreadable old anemone tag,MRS,NA,NA,NA,NA
7622,7335,APCL,5.2,302,APCL16_302,W,NA,N,985153000404810,NA,NA,MRS,NA,NA,NA,NA
7616,7333,APCL,4.9,300,APCL16_300,YR,NA,N,NA,NA,NA,MRS,NA,NA,NA,NA
7615,7331,APCL,10.8,NA,NA,YP,NA,Y,985153000371477,NA,NA,MRS,NA,NA,NA,NA
7606,7324,APCL,6.6,293,APCL16_293,YP,NA,N,985153000403302,NA,NA,MRS,NA,NA,NA,NA
7604,7323,APCL,5.9,292,APCL16_292,YR,NA,Y,985153000373270,NA,Old tag is unreadable,MRS,NA,NA,NA,NA
