Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
APCL_12104L1765,1012,APCL_14158L0909_APCL14_156,1012,1012,2,-5.90705434409622E+0001, 0.00000000000000E+0000,,APCL_14450L0936,1008,1008,6, 1.15310906240868E+0002, 1.15310906240868E+0002,*,1012,19,-1.57316483262832E+0000,-1.57316483262832E+0000,*,
APCL_12104L1765,1012,APCL_14157L0715_APCL14_155,1012,1012,5,-5.71610522685582E+0001,-5.71610522685582E+0001,*,APCL_14450L0936,1008,1008,6, 1.15310906240868E+0002, 1.15310906240868E+0002,*,1012,29,-3.99474839066527E+0001, 0.00000000000000E+0000,,
APCL_12107L1767,1009,APCL_14158L0909_APCL14_156,1012,1009,6,-5.33940781477844E+0001,-5.33940781477844E+0001,*,APCL_14169L0716_APCL14_167,1007,1004,10,-7.52183970856630E+0001, 0.00000000000000E+0000,,1009,20,-1.57592509965653E+0002,-1.57592509965653E+0002,-,
APCL_12107L1767,1009,APCL_14158L0909_APCL14_156,1012,1009,6,-5.33940781477844E+0001,-5.33940781477844E+0001,*,APCL_14204L0994_APCL14_202,1012,1009,11,-7.58657021253922E+0001, 0.00000000000000E+0000,,1009,22,-1.82337637223068E+0002, 0.00000000000000E+0000,,
APCL_12108L1768,1012,APCL_14158L0909_APCL14_156,1012,1012,2,-5.84995763902555E+0001,-5.84995763902555E+0001,*,APCL_14168L0912_APCL14_166,1012,1012,7,-6.74490206527067E+0001,-6.74490206527067E+0001,*,1012,16,-1.85145278754694E+0002,-1.85145278754694E+0002,-,
APCL_12108L1768,1012,APCL_14163L1292_APCL14_161,1012,1012,8,-8.82663018412243E+0001, 0.00000000000000E+0000,,APCL_14168L0912_APCL14_166,1012,1012,7,-6.74490206527067E+0001,-6.74490206527067E+0001,*,1012,22,-2.03620055497288E+0002, 0.00000000000000E+0000,,
APCL_12109L1769,1004,APCL_13489L0660,1009,1001,5, 1.05850849086169E+0002, 1.05850849086169E+0002,*,APCL_14158L0909_APCL14_156,1012,1004,1,-2.83047588394673E+0001,-2.83047588394673E+0001,*,1004,28,-4.00838299783266E+0001,-4.00838299783266E+0001,*,
APCL_12109L1769,1004,APCL_14158L0909_APCL14_156,1012,1004,1,-2.83047588394673E+0001,-2.83047588394673E+0001,*,APCL_14168L0912_APCL14_166,1012,1004,4,-5.22310969615119E+0001, 0.00000000000000E+0000,,1004,17,-1.60219030207279E+0002, 0.00000000000000E+0000,,
APCL_12110L1770,997,APCL_13489L0660,1009,994,6, 1.07390025535918E+0002, 1.07390025535918E+0002,*,APCL_14185L0914_APCL14_183,1012,997,9,-7.29099659928852E+0001, 0.00000000000000E+0000,,997,30,-3.69932171869083E+0001,-3.69932171869083E+0001,*,
APCL_12110L1770,997,APCL_13489L0660,1009,994,6, 1.07390025535918E+0002, 1.07390025535918E+0002,*,APCL_14163L1292_APCL14_161,1012,997,7,-7.06935038372241E+0001, 0.00000000000000E+0000,,997,33,-6.54789197999000E+0001, 0.00000000000000E+0000,,
