Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
3:20:00 PM,2014-04-03 3:20:00 PM,0.0733,µg/ml,,,dsDNA BR,,,383.93,46804.86,,BLUE,1266.22,
3:19:53 PM,2014-04-03 3:19:53 PM,0.335,µg/ml,,,dsDNA BR,,,383.93,46804.86,,BLUE,4358.52,
3:19:47 PM,2014-04-03 3:19:47 PM,0.167,µg/ml,,,dsDNA BR,,,383.93,46804.86,,BLUE,2380.86,
3:19:40 PM,2014-04-03 3:19:40 PM,0.625,µg/ml,,,dsDNA BR,,,383.93,46804.86,,BLUE,7668.58,
3:19:13 PM,2014-04-03 3:19:13 PM,0.221,µg/ml,22.1,ng/µL,dsDNA BR,2,100.00,383.93,46804.86,,BLUE,3019.67,
