Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
12:59:41 PM,2016-04-20 12:59:41 PM,17.5,ng/ml,3.50E+03,ng/mL,dsDNA HS,1,200.00,107.71,39144.43,,BLUE,1475.40,
12:59:32 PM,2016-04-20 12:59:32 PM,152,ng/ml,,,dsDNA HS,,,107.71,39144.43,,BLUE,12262.49,
12:59:25 PM,2016-04-20 12:59:25 PM,195,ng/ml,,,dsDNA HS,,,107.71,39144.43,,BLUE,15697.40,
12:59:17 PM,2016-04-20 12:59:17 PM,204,ng/ml,,,dsDNA HS,,,107.71,39144.43,,BLUE,16435.13,
12:59:05 PM,2016-04-20 12:59:05 PM,193,ng/ml,,,dsDNA HS,,,107.71,39144.43,,BLUE,15574.03,
