Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
2:23:12 PM,2016-04-29 2:23:12 PM,12.2,ng/ml,1.22,ng/µL,dsDNA HS,2,100.00,95.67,44993.55,,BLUE,1187.26,
2:23:02 PM,2016-04-29 2:23:02 PM,105,ng/ml,,,dsDNA HS,,,95.67,44993.55,,BLUE,9810.99,
2:22:54 PM,2016-04-29 2:22:54 PM,128,ng/ml,,,dsDNA HS,,,95.67,44993.55,,BLUE,11931.28,
2:22:46 PM,2016-04-29 2:22:46 PM,136,ng/ml,,,dsDNA HS,,,95.67,44993.55,,BLUE,12671.63,
2:22:29 PM,2016-04-29 2:22:29 PM,140,ng/ml,14.0,ng/µL,dsDNA HS,2,100.00,95.67,44993.55,,BLUE,12976.77,
1:56:46 PM,2016-04-26 1:56:46 PM,7.36,ng/ml,,,dsDNA HS,,,137.42,41406.76,,BLUE,737.15,
1:56:20 PM,2016-04-26 1:56:20 PM,21.7,ng/ml,,,dsDNA HS,,,137.42,41406.76,,BLUE,1937.48,
1:55:57 PM,2016-04-26 1:55:57 PM,8.03,ng/ml,,,dsDNA HS,,,137.42,41406.76,,BLUE,793.13,
1:55:15 PM,2016-04-26 1:55:15 PM,8.45,ng/ml,,,dsDNA HS,,,137.42,41406.76,,BLUE,828.17,
1:55:00 PM,2016-04-26 1:55:00 PM,488,ng/ml,,,dsDNA HS,,,137.42,41406.76,,BLUE,40480.64,
1:54:51 PM,2016-04-26 1:54:51 PM,489,ng/ml,,,dsDNA HS,,,137.42,41406.76,,BLUE,40544.64,
1:54:37 PM,2016-04-26 1:54:37 PM,7.90,ng/ml,,,dsDNA HS,,,137.42,41406.76,,BLUE,782.29,
1:54:20 PM,2016-04-26 1:54:20 PM,21.6,ng/ml,,,dsDNA HS,,,137.42,41406.76,,BLUE,1933.69,
1:54:02 PM,2016-04-26 1:54:02 PM,7.74,ng/ml,,,dsDNA HS,,,137.42,41406.76,,BLUE,769.13,
1:53:32 PM,2016-04-26 1:53:32 PM,8.73,ng/ml,,,dsDNA HS,,,137.42,41406.76,,BLUE,850.94,
