First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
APCL_12029L2554,1033,APCL_13510L2238,1021,957,64, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12080L2420,1038,APCL_12128L2421,1001,947,54, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_12203L2385,1036,APCL_L3116,1021,965,56, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13027L0485,999,APCL_14017L0893,1038,935,64, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13089L0424,1037,APCL_14006L0722,1036,988,47, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13090L0425,1038,APCL_13101L0427,1038,1038,0, 2.42462773806329E-0393, 3.88774757072713E-0204,Exact match
APCL_13120L1084,1030,APCL_13131L1092,1036,971,59, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13130L0432,1035,APCL_13130L1720,1034,959,73, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13145L1098,1038,APCL_14036L0723,1035,964,71, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13150L1101,1038,APCL_14126L1701,1035,1005,30, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13207L0444,1038,APCL_13207L1024,762,702,60, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13266L0299,887,APCL_14433L1283,1033,805,80, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13333L0357,1036,APCL_13334L0358,832,763,68, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13351L0370,1036,APCL_14445L0742,1036,981,55, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13362L0377,1036,APCL_14553L0974,1025,945,78, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13447L0846,1037,APCL_14447L1238,1038,981,56, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13453L2490,966,APCL_15598L2909,1035,898,68, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13461L0466,764,APCL_14489L1677,1037,685,79, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
APCL_13485L0658,1036,APCL_14095L0923,1038,987,49, 0.00000000000000E+0000, 0.00000000000000E+0000,Fuzzy match
