Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
2:53:04 PM,2015-04-24 2:53:04 PM,76.9,ng/ml,,,dsDNA HS,,,88.40,49888.36,,BLUE,7934.75,
2:52:54 PM,2015-04-24 2:52:54 PM,5.22,ng/ml,,,dsDNA HS,,,88.40,49888.36,,BLUE,598.14,
2:52:46 PM,2015-04-24 2:52:46 PM,6.05,ng/ml,,,dsDNA HS,,,88.40,49888.36,,BLUE,680.87,
2:52:38 PM,2015-04-24 2:52:38 PM,114,ng/ml,,,dsDNA HS,,,88.40,49888.36,,BLUE,11723.48,
2:52:14 PM,2015-04-24 2:52:14 PM,21.2,ng/ml,,,dsDNA HS,,,88.40,49888.36,,BLUE,2212.75,
2:51:59 PM,2015-04-24 2:51:59 PM,21.4,ng/ml,,,dsDNA HS,,,88.40,49888.36,,BLUE,2231.01,
2:51:51 PM,2015-04-24 2:51:51 PM,114,ng/ml,,,dsDNA HS,,,88.40,49888.36,,BLUE,11740.63,
2:51:43 PM,2015-04-24 2:51:43 PM,150,ng/ml,,,dsDNA HS,,,88.40,49888.36,,BLUE,15472.12,
2:51:34 PM,2015-04-24 2:51:34 PM,135,ng/ml,,,dsDNA HS,,,88.40,49888.36,,BLUE,13933.95,
2:51:13 PM,2015-04-24 2:51:13 PM,117,ng/ml,23.4,ng/킠,dsDNA HS,1,200.00,88.40,49888.36,,BLUE,12068.46,
4:18:04 PM,2015-04-06 4:18:04 PM,42.7,ng/ml,,,dsDNA HS,,,90.46,46194.20,,BLUE,4095.59,
4:17:50 PM,2015-04-06 4:17:50 PM,127,ng/ml,,,dsDNA HS,,,90.46,46194.20,,BLUE,12083.99,
4:17:26 PM,2015-04-06 4:17:26 PM,142,ng/ml,,,dsDNA HS,,,90.46,46194.20,,BLUE,13586.68,
4:16:54 PM,2015-04-06 4:16:54 PM,154,ng/ml,30.8,ng/킠,dsDNA HS,1,200.00,90.46,46194.20,,BLUE,14657.79,
5:09:38 PM,2014-12-11 5:09:38 PM,258,ng/ml,,,dsDNA HS,,,63.27,45014.97,,BLUE,23759.18,
5:08:37 PM,2014-12-11 5:08:37 PM,278,ng/ml,27.8,ng/킠,dsDNA HS,2,100.00,63.27,45014.97,,BLUE,25553.56,
