Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (킠),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
1,8/6/14 10:49,363,ng/ml,72.6,ng/킠,dsDNA HS,1,200,98.98,45982.51,,BLUE,33824.36,
2,8/6/14 10:49,169,ng/ml,33.8,ng/킠,dsDNA HS,1,200,98.98,45982.51,,BLUE,15981.56,
3,8/6/14 10:50,108,ng/ml,21.6,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,10242.18,
2,8/6/14 10:50,469,ng/ml,93.8,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,43266.02,
4,8/6/14 10:50,335,ng/ml,67,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,31364.78,
5,8/6/14 10:50,210,ng/ml,42,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,19809.04,
3,8/6/14 10:50,110,ng/ml,22,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,10508.05,
6,8/6/14 10:50,107,ng/ml,21.4,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,10205.37,
7,8/6/14 10:50,499,ng/ml,99.8,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,45870.63,
4,8/6/14 10:50,62.5,ng/ml,12.5,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,5959.59,
8,8/6/14 10:50,389,ng/ml,77.8,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,36162.24,
9,8/6/14 10:51,364,ng/ml,72.8,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,33905.76,
5,8/6/14 10:51,263,ng/ml,52.6,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,24765.36,
10,8/6/14 10:51,204,ng/ml,40.8,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,19322.35,
11,8/6/14 10:51,17.2,ng/ml,3.44,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,1677.55,
6,8/6/14 10:51,21.5,ng/ml,4.3,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,2089.16,
12,8/6/14 10:51,1.13,ng/ml,0.226,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,197.42,
13,8/6/14 10:51,428,ng/ml,85.6,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,39664.27,
7,8/6/14 10:51,210,ng/ml,42,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,19819.93,
14,8/6/14 10:51,452,ng/ml,90.4,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,41817.36,
15,8/6/14 10:51,125,ng/ml,25,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,11855.73,
8,8/6/14 10:52,402,ng/ml,80.4,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,37338.65,
16,8/6/14 10:52,422,ng/ml,84.4,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,39168.26,
17,8/6/14 10:52,240,ng/ml,48,ng/킠,dsDNA HS,,,98.98,45982.51,,BLUE,22681.61,
