Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
APCL12_113L1772,994,APCL14_159L0781_APCL14_157,1012,994,12,-9.51738860510132E+0001,-9.51738860510132E+0001,*,APCL14_204L0994_APCL14_202,1012,994,18,-1.33032877159720E+0002,-1.33032877159720E+0002,*,994,45,-3.26719580460898E+0002,-3.26719580460898E+0002,-,
APCL12_116L1773,1010,APCL13_277L0310,662,662,2, 1.77437727184568E+0002, 1.77437727184568E+0002,*,APCL13_517L0663,1012,1010,16, 2.33714084005199E+0001, 2.33714084005199E+0001,*,1010,35, 1.07233920934461E+0002, 1.07233920934461E+0002,*,
APCL12_120L1775,1012,APCL14_159L0781_APCL14_157,1012,1012,12,-8.73396952361708E+0001,-8.73396952361708E+0001,*,APCL14_204L0994_APCL14_202,1012,1012,20,-1.42695544176279E+0002,-1.42695544176279E+0002,*,1012,43,-3.02246324448335E+0002,-3.02246324448335E+0002,-,
APCL13_002L0448,760,APCL14_159L0781_APCL14_157,1012,760,19,-1.32396202163532E+0002,-1.32396202163532E+0002,*,APCL14_204L0994_APCL14_202,1012,760,20,-1.30285530742493E+0002,-1.30285530742493E+0002,*,760,47,-3.19029260337840E+0002,-3.19029260337840E+0002,-,
APCL13_007L0457,820,APCL14_159L0781_APCL14_157,1012,820,14,-7.83310990129051E+0001,-7.83310990129051E+0001,*,APCL14_204L0994_APCL14_202,1012,820,16,-9.61965238844335E+0001,-9.61965238844335E+0001,*,820,37,-2.21060177750872E+0002,-2.21060177750872E+0002,-,
APCL13_008L0458,865,APCL14_159L0781_APCL14_157,1012,865,12,-9.62840745344162E+0001,-9.62840745344162E+0001,*,APCL14_204L0994_APCL14_202,1012,865,5,-4.67791588648433E+0001,-4.67791588648433E+0001,*,865,26,-1.99071410720832E+0002,-1.99071410720832E+0002,-,
APCL13_010L0460,887,APCL14_159L0781_APCL14_157,1012,887,17,-1.24194856083190E+0002,-1.24194856083190E+0002,*,APCL14_204L0994_APCL14_202,1012,887,10,-7.44957493085225E+0001,-7.44957493085225E+0001,*,887,37,-2.67047388757672E+0002,-2.67047388757672E+0002,-,
APCL13_019L0480,1005,APCL14_159L0781_APCL14_157,1012,1005,13,-1.07152177007782E+0002,-1.07152177007782E+0002,*,APCL14_204L0994_APCL14_202,1012,1005,20,-1.41833083859075E+0002,-1.41833083859075E+0002,*,1005,42,-3.18309725882801E+0002,-3.18309725882801E+0002,-,
APCL13_025L0484,978,APCL14_159L0781_APCL14_157,1012,978,12,-9.66197383978123E+0001,-9.66197383978123E+0001,*,APCL14_204L0994_APCL14_202,1012,978,9,-7.73389522505560E+0001,-7.73389522505560E+0001,*,978,36,-2.66739540400930E+0002,-2.66739540400930E+0002,-,
APCL13_032L1025,784,APCL14_159L0781_APCL14_157,1012,784,16,-1.27323010402643E+0002,-1.27323010402643E+0002,*,APCL14_204L0994_APCL14_202,1012,784,12,-9.15731030304042E+0001,-9.15731030304042E+0001,*,784,42,-2.99461081412309E+0002,-2.99461081412309E+0002,-,
