"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4115","18_b","P9","C3","P11","A1","P8","P10",7.591,"H1","D4108-D4203",19.8,2.4,150,"P13","P119"
"2","D4127","18_b","P9","D3","P11","A1","P8","P10",7.783,"D3","D4108-D4203",19.3,2.9,150,"P13","P119"
"3","D4137","18_b","P9","E3","P11","A1","P8","P10",8.17,"F4","D4108-D4203",18.4,3.8,150,"P13","P119"
"4","D4186","18_b","P9","F3","P11","A1","P8","P10",7.1,"G10","D4108-D4203",21.1,1.1,150,"P13","P119"
"5","D4193","18_b","P9","G3","P11","A1","P8","P10",6.961,"F11","D4108-D4203",21.5,0.7,150,"P13","P119"
"6","D4201","18_b","P9","H3","P11","A1","P8","P10",6.938,"F12","D4108-D4203",21.6,0.6,150,"P13","P119"
"7","D4202","18_b","P9","A4","P11","A1","P8","P10",8.87,"G12","D4108-D4203",16.9,5.3,150,"P13","P119"
"8","D4219","18_b","P9","B4","P11","A1","P8","P10",8.895,"H2","D4204-D4299",16.9,5.3,150,"P5","P119"
"9","D4278","18_b","P9","C4","P11","A1","P8","P10",7.958,"C10","D4204-D4299",18.8,3.4,150,"P5","P119"
"10","D4279","18_b","P9","D4","P11","A1","P8","P10",7.82,"D10","D4204-D4299",19.2,3,150,"P5","P119"
"11","D4342","18_b","P9","E4","P11","A1","P8","P10",8.755,"C6","D4300-D4395",17.1,5.1,150,"P6","P119"
"12","D4350","18_b","P9","F4","P11","A1","P8","P10",8.881,"C7","D4300-D4395",16.9,5.3,150,"P6","P119"
"13","D4351","18_b","P9","G4","P11","A1","P8","P10",8.155,"D7","D4300-D4395",18.4,3.8,150,"P6","P119"
"14","D4362","18_b","P9","H4","P11","A1","P8","P10",6.876,"G8","D4300-D4395",21.8,0.4,150,"P6","P119"
"15","D4381","18_b","P9","A5","P11","A1","P8","P10",7.35,"B11","D4300-D4395",20.4,1.8,150,"P6","P119"
"16","D4419","18_b","P9","B5","P11","A1","P8","P10",7.684,"H3","D4396-D4491",19.5,2.7,150,"P7","P119"
"17","D4481","18_b","P9","C5","P11","A1","P8","P10",7.773,"F11","D4396-D4491",19.3,2.9,150,"P7","P119"
"18","D4486","18_b","P9","D5","P11","A1","P8","P10",8.305,"C12","D4396-D4491",18.1,4.1,150,"P7","P119"
"19","D4487","18_b","P9","E5","P11","A1","P8","P10",6.889,"D12","D4396-D4491",21.8,0.4,150,"P7","P119"
"20","D4488","18_b","P9","F5","P11","A1","P8","P10",6.887,"E12","D4396-D4491",21.8,0.4,150,"P7","P119"
