"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4610","9_a","P9","A1","P11","A1","P8","P10",43.07,"D3","D4588-D4613",4.6,17.6,200,"P5","P101"
"2","D4325","9_a","P9","B1","P11","A1","P8","P10",86.619,"B4","D4300-D4395",2.3,19.9,200,"P6","P101"
"3","D4326","9_a","P9","C1","P11","A1","P8","P10",21.027,"C4","D4300-D4395",9.5,12.7,200,"P6","P101"
"4","D4327","9_a","P9","D1","P11","A1","P8","P10",65.687,"D4","D4300-D4395",3,19.2,200,"P6","P101"
"5","D4328","9_a","P9","E1","P11","A1","P8","P10",10.678,"E4","D4300-D4395",18.7,3.5,200,"P6","P101"
"6","D4330","9_a","P9","F1","P11","A1","P8","P10",31.906,"G4","D4300-D4395",6.3,15.9,200,"P6","P101"
"7","D4331","9_a","P9","G1","P11","A1","P8","P10",10.673,"H4","D4300-D4395",18.7,3.5,200,"P6","P101"
"8","D4332","9_a","P9","H1","P11","A1","P8","P10",18.19,"A5","D4300-D4395",11,11.2,200,"P6","P101"
"9","D4333","9_a","P9","A2","P11","A1","P8","P10",23.718,"B5","D4300-D4395",8.4,13.8,200,"P6","P101"
"10","D4334","9_a","P9","B2","P11","A1","P8","P10",25.519,"C5","D4300-D4395",7.8,14.4,200,"P6","P101"
"11","D4335","9_a","P9","C2","P11","A1","P8","P10",46.057,"D5","D4300-D4395",4.3,17.9,200,"P6","P101"
"12","D4336","9_a","P9","D2","P11","A1","P8","P10",37.303,"E5","D4300-D4395",5.4,16.8,200,"P6","P101"
"13","D4337","9_a","P9","E2","P11","A1","P8","P10",60.875,"F5","D4300-D4395",3.3,18.9,200,"P6","P101"
"14","D4338","9_a","P9","F2","P11","A1","P8","P10",37.948,"G5","D4300-D4395",5.3,16.9,200,"P6","P101"
"15","D4339","9_a","P9","G2","P11","A1","P8","P10",18.244,"H5","D4300-D4395",11,11.2,200,"P6","P101"
"16","D4340","9_a","P9","H2","P11","A1","P8","P10",42.147,"A6","D4300-D4395",4.7,17.5,200,"P6","P101"
"17","D4341","9_a","P9","A3","P11","A1","P8","P10",30.168,"B6","D4300-D4395",6.6,15.6,200,"P6","P101"
"18","D4344","9_a","P9","B3","P11","A1","P8","P10",23.098,"E6","D4300-D4395",8.7,13.5,200,"P6","P101"
"19","D4347","9_a","P9","C3","P11","A1","P8","P10",34.758,"H6","D4300-D4395",5.8,16.4,200,"P6","P101"
"20","D4348","9_a","P9","D3","P11","A1","P8","P10",31.863,"A7","D4300-D4395",6.3,15.9,200,"P6","P101"
"21","D4349","9_a","P9","E3","P11","A1","P8","P10",38.648,"B7","D4300-D4395",5.2,17,200,"P6","P101"
"22","D4352","9_a","P9","F3","P11","A1","P8","P10",20.549,"E7","D4300-D4395",9.7,12.5,200,"P6","P101"
"23","D4353","9_a","P9","G3","P11","A1","P8","P10",20.634,"F7","D4300-D4395",9.7,12.5,200,"P6","P101"
"24","D4354","9_a","P9","H3","P11","A1","P8","P10",50.731,"G7","D4300-D4395",3.9,18.3,200,"P6","P101"
"25","D4355","9_a","P9","A4","P11","A1","P8","P10",20.774,"H7","D4300-D4395",9.6,12.6,200,"P6","P101"
"26","D4356","9_a","P9","B4","P11","A1","P8","P10",58.203,"A8","D4300-D4395",3.4,18.8,200,"P6","P101"
"27","D4357","9_a","P9","C4","P11","A1","P8","P10",12.454,"B8","D4300-D4395",16.1,6.1,200,"P6","P101"
