"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D5522","18_d","P9","G7","P11","A1","P8","P10",8.15,"C4","D5501-D5580",18.4,3.8,150,"P7","P120"
"2","D5533","18_d","P9","H7","P11","A1","P8","P10",8.659,"B6","D5501-D5580",17.3,4.9,150,"P7","P120"
"3","D5537","18_d","P9","A8","P11","A1","P8","P10",8.507,"F6","D5501-D5580",17.6,4.6,150,"P7","P120"
"4","D5580","18_d","P9","B8","P11","A1","P8","P10",8.443,"G8","D5501-D5580",17.8,4.4,150,"P7","P120"
"5","D5606","18_d","P9","C8","P11","A1","P8","P10",6.983,"B4","D5581-D5675",21.5,0.7,150,"P12","P120"
"6","D5621","18_d","P9","D8","P11","A1","P8","P10",8.098,"A6","D5581-D5675",18.5,3.7,150,"P12","P120"
"7","D5632","18_d","P9","E8","P11","A1","P8","P10",8.873,"D7","D5581-D5675",16.9,5.3,150,"P12","P120"
"8","D5677","18_d","P9","F8","P11","A1","P8","P10",7.726,"B1","D5676-D5771",19.4,2.8,150,"P13","P120"
"9","D5685","18_d","P9","G8","P11","A1","P8","P10",8.336,"B2","D5676-D5771",18,4.2,150,"P13","P120"
"10","D5694","18_d","P9","H8","P11","A1","P8","P10",7.497,"C3","D5676-D5771",20,2.2,150,"P13","P120"
"11","D5703","18_d","P9","A9","P11","A1","P8","P10",7.261,"D4","D5676-D5771",20.7,1.5,150,"P13","P120"
"12","D5718","18_d","P9","B9","P11","A1","P8","P10",6.809,"C6","D5676-D5771",22,0.2,150,"P13","P120"
"13","D5726","18_d","P9","C9","P11","A1","P8","P10",7.026,"C7","D5676-D5771",21.3,0.9,150,"P13","P120"
"14","D5729","18_d","P9","D9","P11","A1","P8","P10",6.89,"F7","D5676-D5771",21.8,0.4,150,"P13","P120"
"15","D5730","18_d","P9","E9","P11","A1","P8","P10",6.835,"G7","D5676-D5771",21.9,0.3,150,"P13","P120"
"16","D5731","18_d","P9","F9","P11","A1","P8","P10",7.774,"H7","D5676-D5771",19.3,2.9,150,"P13","P120"
"17","D5733","18_d","P9","G9","P11","A1","P8","P10",8.498,"B8","D5676-D5771",17.7,4.5,150,"P13","P120"
"18","D5734","18_d","P9","H9","P11","A1","P8","P10",6.996,"C8","D5676-D5771",21.4,0.8,150,"P13","P120"
"19","D5749","18_d","P9","A10","P11","A1","P8","P10",8.224,"B10","D5676-D5771",18.2,4,150,"P13","P120"
"20","D5764","18_d","P9","B10","P11","A1","P8","P10",7.135,"A12","D5676-D5771",21,1.2,150,"P13","P120"
"21","D5768","18_d","P9","C10","P11","A1","P8","P10",9.014,"E12","D5676-D5771",16.6,5.6,150,"P13","P120"
"22","D5769","18_d","P9","D10","P11","A1","P8","P10",8.961,"F12","D5676-D5771",16.7,5.5,150,"P13","P120"
"23","D5770","18_d","P9","E10","P11","A1","P8","P10",7.604,"G12","D5676-D5771",19.7,2.5,150,"P13","P120"
"24","D5771","18_d","P9","F10","P11","A1","P8","P10",7.512,"H12","D5676-D5771",20,2.2,150,"P13","P120"
"25","D5782","18_d","P9","G10","P11","A1","P8","P10",7.82,"C2","D5772-D5867",19.2,3,150,"P5","P120"
"26","D5786","18_d","P9","H10","P11","A1","P8","P10",7.86,"G2","D5772-D5867",19.1,3.1,150,"P5","P120"
"27","D5800","18_d","P9","A11","P11","A1","P8","P10",6.984,"E4","D5772-D5867",21.5,0.7,150,"P5","P120"
"28","D5801","18_d","P9","B11","P11","A1","P8","P10",7.603,"F4","D5772-D5867",19.7,2.5,150,"P5","P120"
"29","D5806","18_d","P9","C11","P11","A1","P8","P10",8.167,"C5","D5772-D5867",18.4,3.8,150,"P5","P120"
"30","D5807","18_d","P9","D11","P11","A1","P8","P10",8.084,"D5","D5772-D5867",18.6,3.6,150,"P5","P120"
"31","D5808","18_d","P9","E11","P11","A1","P8","P10",7.889,"E5","D5772-D5867",19,3.2,150,"P5","P120"
"32","D5811","18_d","P9","F11","P11","A1","P8","P10",8.797,"H5","D5772-D5867",17.1,5.1,150,"P5","P120"
"33","D5813","18_d","P9","G11","P11","A1","P8","P10",8.481,"B6","D5772-D5867",17.7,4.5,150,"P5","P120"
"34","D5815","18_d","P9","H11","P11","A1","P8","P10",7.503,"D6","D5772-D5867",20,2.2,150,"P5","P120"
"35","D5818","18_d","P9","A12","P11","A1","P8","P10",7.411,"G6","D5772-D5867",20.2,2,150,"P5","P120"
"36","D5825","18_d","P9","B12","P11","A1","P8","P10",8.301,"F7","D5772-D5867",18.1,4.1,150,"P5","P120"
"37","D5842","18_d","P9","C12","P11","A1","P8","P10",6.924,"G9","D5772-D5867",21.7,0.5,150,"P5","P120"
"38","D5846","18_d","P9","D12","P11","A1","P8","P10",8.06,"C10","D5772-D5867",18.6,3.6,150,"P5","P120"
"39","D5847","18_d","P9","E12","P11","A1","P8","P10",7.657,"D10","D5772-D5867",19.6,2.6,150,"P5","P120"
"40","D5848","18_d","P9","F12","P11","A1","P8","P10",7.708,"E10","D5772-D5867",19.5,2.7,150,"P5","P120"
"41","D5851","18_d","P9","G12","P11","A1","P8","P10",8.845,"H10","D5772-D5867",17,5.2,150,"P5","P120"
"42","D5852","18_d","P9","H12","P11","A1","P8","P10",8.653,"A11","D5772-D5867",17.3,4.9,150,"P5","P120"
