"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D6058","15_a","P9","A1","P11","A1","P8","P10",32.194,"G12","D5964-D6059",6.2,16,200,"P5","P113"
"2","D6059","15_a","P9","B1","P11","A1","P8","P10",13.891,"H12","D5964-D6059",14.4,7.8,200,"P5","P113"
"3","D6064","15_a","P9","C1","P11","A1","P8","P10",10.247,"E1","D6060-D6155",19.5,2.7,200,"P6","P113"
"4","D6067","15_a","P9","D1","P11","A1","P8","P10",10.056,"H1","D6060-D6155",19.9,2.3,200,"P6","P113"
"5","D6068","15_a","P9","E1","P11","A1","P8","P10",30.489,"A2","D6060-D6155",6.6,15.6,200,"P6","P113"
"6","D6069","15_a","P9","F1","P11","A1","P8","P10",35.864,"B2","D6060-D6155",5.6,16.6,200,"P6","P113"
"7","D6070","15_a","P9","G1","P11","A1","P8","P10",35.759,"C2","D6060-D6155",5.6,16.6,200,"P6","P113"
"8","D6074","15_a","P9","H1","P11","A1","P8","P10",23.943,"G2","D6060-D6155",8.4,13.8,200,"P6","P113"
"9","D6075","15_a","P9","A2","P11","A1","P8","P10",12.827,"H2","D6060-D6155",15.6,6.6,200,"P6","P113"
"10","D6076","15_a","P9","B2","P11","A1","P8","P10",17.764,"A3","D6060-D6155",11.3,10.9,200,"P6","P113"
"11","D6077","15_a","P9","C2","P11","A1","P8","P10",15.543,"B3","D6060-D6155",12.9,9.3,200,"P6","P113"
"12","D6081","15_a","P9","D2","P11","A1","P8","P10",11.488,"F3","D6060-D6155",17.4,4.8,200,"P6","P113"
"13","D6082","15_a","P9","E2","P11","A1","P8","P10",18.996,"G3","D6060-D6155",10.5,11.7,200,"P6","P113"
"14","D6083","15_a","P9","F2","P11","A1","P8","P10",12.639,"H3","D6060-D6155",15.8,6.4,200,"P6","P113"
"15","D6085","15_a","P9","G2","P11","A1","P8","P10",10.323,"B4","D6060-D6155",19.4,2.8,200,"P6","P113"
"16","D6092","15_a","P9","H2","P11","A1","P8","P10",15.149,"A5","D6060-D6155",13.2,9,200,"P6","P113"
"17","D6093","15_a","P9","A3","P11","A1","P8","P10",20.881,"B5","D6060-D6155",9.6,12.6,200,"P6","P113"
"18","D6094","15_a","P9","B3","P11","A1","P8","P10",14.634,"C5","D6060-D6155",13.7,8.5,200,"P6","P113"
"19","D6095","15_a","P9","C3","P11","A1","P8","P10",18.139,"D5","D6060-D6155",11,11.2,200,"P6","P113"
"20","D6096","15_a","P9","D3","P11","A1","P8","P10",39.159,"E5","D6060-D6155",5.1,17.1,200,"P6","P113"
"21","D6097","15_a","P9","E3","P11","A1","P8","P10",24.66,"F5","D6060-D6155",8.1,14.1,200,"P6","P113"
"22","D6098","15_a","P9","F3","P11","A1","P8","P10",27.582,"G5","D6060-D6155",7.3,14.9,200,"P6","P113"
"23","D6099","15_a","P9","G3","P11","A1","P8","P10",31.159,"H5","D6060-D6155",6.4,15.8,200,"P6","P113"
"24","D6100","15_a","P9","H3","P11","A1","P8","P10",11.939,"A6","D6060-D6155",16.8,5.4,200,"P6","P113"
"25","D6101","15_a","P9","A4","P11","A1","P8","P10",16.889,"B6","D6060-D6155",11.8,10.4,200,"P6","P113"
"26","D6109","15_a","P9","B4","P11","A1","P8","P10",10.189,"B7","D6060-D6155",19.6,2.6,200,"P6","P113"
"27","D6112","15_a","P9","C4","P11","A1","P8","P10",9.126,"E7","D6060-D6155",21.9,0.3,200,"P6","P113"
"28","D6113","15_a","P9","D4","P11","A1","P8","P10",21.658,"F7","D6060-D6155",9.2,13,200,"P6","P113"
"29","D6114","15_a","P9","E4","P11","A1","P8","P10",17.635,"G7","D6060-D6155",11.3,10.9,200,"P6","P113"
"30","D6115","15_a","P9","F4","P11","A1","P8","P10",21.577,"H7","D6060-D6155",9.3,12.9,200,"P6","P113"
"31","D6116","15_a","P9","G4","P11","A1","P8","P10",12.512,"A8","D6060-D6155",16,6.2,200,"P6","P113"
"32","D6117","15_a","P9","H4","P11","A1","P8","P10",19.571,"B8","D6060-D6155",10.2,12,200,"P6","P113"
"33","D6118","15_a","P9","A5","P11","A1","P8","P10",14.878,"C8","D6060-D6155",13.4,8.8,200,"P6","P113"
"34","D6121","15_a","P9","B5","P11","A1","P8","P10",13.986,"F8","D6060-D6155",14.3,7.9,200,"P6","P113"
"35","D6122","15_a","P9","C5","P11","A1","P8","P10",17.413,"G8","D6060-D6155",11.5,10.7,200,"P6","P113"
"36","D6123","15_a","P9","D5","P11","A1","P8","P10",9.661,"H8","D6060-D6155",20.7,1.5,200,"P6","P113"
"37","D6132","15_a","P9","E5","P11","A1","P8","P10",15.595,"A10","D6060-D6155",12.8,9.4,200,"P6","P113"
"38","D6135","15_a","P9","F5","P11","A1","P8","P10",11.831,"D10","D6060-D6155",16.9,5.3,200,"P6","P113"
"39","D6136","15_a","P9","G5","P11","A1","P8","P10",12.936,"E10","D6060-D6155",15.5,6.7,200,"P6","P113"
"40","D6139","15_a","P9","H5","P11","A1","P8","P10",10.562,"H10","D6060-D6155",18.9,3.3,200,"P6","P113"
"41","D6140","15_a","P9","A6","P11","A1","P8","P10",28.61,"A11","D6060-D6155",7,15.2,200,"P6","P113"
"42","D6141","15_a","P9","B6","P11","A1","P8","P10",18.734,"B11","D6060-D6155",10.7,11.5,200,"P6","P113"
"43","D6142","15_a","P9","C6","P11","A1","P8","P10",28.299,"C11","D6060-D6155",7.1,15.1,200,"P6","P113"
"44","D6143","15_a","P9","D6","P11","A1","P8","P10",19.183,"D11","D6060-D6155",10.4,11.8,200,"P6","P113"
"45","D6144","15_a","P9","E6","P11","A1","P8","P10",18.556,"E11","D6060-D6155",10.8,11.4,200,"P6","P113"
"46","D6145","15_a","P9","F6","P11","A1","P8","P10",17.847,"F11","D6060-D6155",11.2,11,200,"P6","P113"
"47","D6146","15_a","P9","G6","P11","A1","P8","P10",16.33,"G11","D6060-D6155",12.2,10,200,"P6","P113"
"48","D6147","15_a","P9","H6","P11","A1","P8","P10",36.886,"H11","D6060-D6155",5.4,16.8,200,"P6","P113"
"49","D6148","15_a","P9","A7","P11","A1","P8","P10",10.903,"A12","D6060-D6155",18.3,3.9,200,"P6","P114"
"50","D6149","15_a","P9","B7","P11","A1","P8","P10",20.078,"B12","D6060-D6155",10,12.2,200,"P6","P114"
"51","D6150","15_a","P9","C7","P11","A1","P8","P10",9.855,"C12","D6060-D6155",20.3,1.9,200,"P6","P114"
"52","D6151","15_a","P9","D7","P11","A1","P8","P10",14.498,"D12","D6060-D6155",13.8,8.4,200,"P6","P114"
"53","D6156","15_a","P9","E7","P11","A1","P8","P10",18.497,"A1","D6156-D6251",10.8,11.4,200,"P7","P114"
"54","D6157","15_a","P9","F7","P11","A1","P8","P10",18.392,"B1","D6156-D6251",10.9,11.3,200,"P7","P114"
"55","D6158","15_a","P9","G7","P11","A1","P8","P10",17.383,"C1","D6156-D6251",11.5,10.7,200,"P7","P114"
"56","D6160","15_a","P9","H7","P11","A1","P8","P10",10.595,"E1","D6156-D6251",18.9,3.3,200,"P7","P114"
"57","D6161","15_a","P9","A8","P11","A1","P8","P10",9.876,"F1","D6156-D6251",20.3,1.9,200,"P7","P114"
"58","D6162","15_a","P9","B8","P11","A1","P8","P10",16.721,"G1","D6156-D6251",12,10.2,200,"P7","P114"
"59","D6163","15_a","P9","C8","P11","A1","P8","P10",18.367,"H1","D6156-D6251",10.9,11.3,200,"P7","P114"
"60","D6164","15_a","P9","D8","P11","A1","P8","P10",20.332,"A2","D6156-D6251",9.8,12.4,200,"P7","P114"
"61","D6165","15_a","P9","E8","P11","A1","P8","P10",9.624,"B2","D6156-D6251",20.8,1.4,200,"P7","P114"
"62","D6168","15_a","P9","F8","P11","A1","P8","P10",23.495,"E2","D6156-D6251",8.5,13.7,200,"P7","P114"
"63","D6169","15_a","P9","G8","P11","A1","P8","P10",30.734,"F2","D6156-D6251",6.5,15.7,200,"P7","P114"
"64","D6170","15_a","P9","H8","P11","A1","P8","P10",19.094,"G2","D6156-D6251",10.5,11.7,200,"P7","P114"
"65","D6171","15_a","P9","A9","P11","A1","P8","P10",28.76,"H2","D6156-D6251",7,15.2,200,"P7","P114"
