"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D3649","2_c","P12","D8","P11","A1","P8","P10",17.884,"F3","D3628-D3723",8.4,2.7,150,"P9","P78"
"2","D3657","2_c","P12","E8","P11","A1","P8","P10",17.372,"F4","D3628-D3723",8.6,2.5,150,"P9","P78"
"3","D3665","2_c","P12","F8","P11","A1","P8","P10",14.34,"F5","D3628-D3723",10.5,0.6,150,"P9","P78"
"4","D3668","2_c","P12","G8","P11","A1","P8","P10",17.039,"A6","D3628-D3723",8.8,2.3,150,"P9","P78"
"5","D3669","2_c","P12","H8","P11","A1","P8","P10",14.22,"B6","D3628-D3723",10.5,0.6,150,"P9","P78"
"6","D3675","2_c","P12","A9","P11","A1","P8","P10",15.679,"H6","D3628-D3723",9.6,1.5,150,"P9","P78"
"7","D3703","2_c","P12","B9","P11","A1","P8","P10",15.63,"D10","D3628-D3723",9.6,1.5,150,"P9","P78"
"8","D3709","2_c","P12","C9","P11","A1","P8","P10",15.745,"B11","D3628-D3723",9.5,1.6,150,"P9","P78"
"9","D3712","2_c","P12","D9","P11","A1","P8","P10",14.621,"E11","D3628-D3723",10.3,0.8,150,"P9","P78"
"10","D3714","2_c","P12","E9","P11","A1","P8","P10",15.604,"G11","D3628-D3723",9.6,1.5,150,"P9","P78"
"11","D4914","2_c","P12","A10","P11","A1","P8","P10",15.791,"B12","D4888-D4946",9.5,1.6,150,"P13","P78"
"12","D6411","2_c","P12","E11","P11","A1","P8","P10",112.4,"H8","D6348-D6431",1.3,9.8,150,"P5","P78"
"13","D6412","2_c","P12","F11","P11","A1","P8","P10",33.2,"A9","D6348-D6431",4.5,6.6,150,"P5","P78"
"14","D6413","2_c","P12","G11","P11","A1","P8","P10",102,"B9","D6348-D6431",1.5,9.6,150,"P5","P78"
"15","D6414","2_c","P12","H11","P11","A1","P8","P10",118,"C9","D6348-D6431",1.3,9.8,150,"P5","P78"
"16","D6415","2_c","P12","A12","P11","A1","P8","P10",27.4,"D9","D6348-D6431",5.5,5.6,150,"P5","P78"
"17","D6416","2_c","P12","B12","P11","A1","P8","P10",39.8,"E9","D6348-D6431",3.8,7.3,150,"P5","P78"
"18","D6417","2_c","P12","C12","P11","A1","P8","P10",24.6,"F9","D6348-D6431",6.1,5,150,"P5","P78"
"19","D6418","2_c","P12","D12","P11","A1","P8","P10",21.6,"G9","D6348-D6431",6.9,4.2,150,"P5","P78"
"20","D6419","2_c","P12","E12","P11","A1","P8","P10",70.8,"H9","D6348-D6431",2.1,9,150,"P5","P78"
"21","D6444","2_c","P12","F12","P11","A1","P8","P10",27.798,"D2","D6432-D6496",5.4,5.7,150,"P6","P78"
"22","D6475","2_c","P12","G12","P11","A1","P8","P10",21.215,"D6","D6432-D6496",7.1,4,150,"P6","P78"
"23","D6476","2_c","P12","H12","P11","A1","P8","P10",15.622,"E6","D6432-D6496",9.6,1.5,150,"P6","P78"
