"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4594","3_a","P9","A1","P11","A1","P8","P10",11.974,"C1","D4588-D4613",16.7,5.5,200,"P5","P89"
"2","D3602","3_a","P9","B1","P11","A1","P8","P10",47.65,"G9","D3532-D3627",4.2,18,200,"P6","P89"
"3","D3603","3_a","P9","C1","P11","A1","P8","P10",22.852,"H9","D3532-D3627",8.8,13.4,200,"P6","P89"
"4","D3604","3_a","P9","D1","P11","A1","P8","P10",24.413,"A10","D3532-D3627",8.2,14,200,"P6","P89"
"5","D3605","3_a","P9","E1","P11","A1","P8","P10",36.713,"B10","D3532-D3627",5.4,16.8,200,"P6","P89"
"6","D3606","3_a","P9","F1","P11","A1","P8","P10",10.188,"C10","D3532-D3627",19.6,2.6,200,"P6","P89"
"7","D3607","3_a","P9","G1","P11","A1","P8","P10",19.804,"D10","D3532-D3627",10.1,12.1,200,"P6","P89"
"8","D3608","3_a","P9","H1","P11","A1","P8","P10",17,"E10","D3532-D3627",11.8,10.4,200,"P6","P89"
"9","D3609","3_a","P9","A2","P11","A1","P8","P10",11.649,"F10","D3532-D3627",17.2,5,200,"P6","P89"
"10","D3610","3_a","P9","B2","P11","A1","P8","P10",26.269,"G10","D3532-D3627",7.6,14.6,200,"P6","P89"
"11","D3611","3_a","P9","C2","P11","A1","P8","P10",13.571,"H10","D3532-D3627",14.7,7.5,200,"P6","P89"
"12","D3612","3_a","P9","D2","P11","A1","P8","P10",50.413,"A11","D3532-D3627",4,18.2,200,"P6","P89"
"13","D3613","3_a","P9","E2","P11","A1","P8","P10",60.053,"B11","D3532-D3627",3.3,18.9,200,"P6","P89"
"14","D3614","3_a","P9","F2","P11","A1","P8","P10",31.595,"C11","D3532-D3627",6.3,15.9,200,"P6","P89"
"15","D3615","3_a","P9","G2","P11","A1","P8","P10",42.504,"D11","D3532-D3627",4.7,17.5,200,"P6","P89"
"16","D3616","3_a","P9","H2","P11","A1","P8","P10",17.235,"E11","D3532-D3627",11.6,10.6,200,"P6","P89"
"17","D3617","3_a","P9","A3","P11","A1","P8","P10",38.376,"F11","D3532-D3627",5.2,17,200,"P6","P89"
"18","D3620","3_a","P9","B3","P11","A1","P8","P10",22.996,"A12","D3532-D3627",8.7,13.5,200,"P6","P89"
"19","D3621","3_a","P9","C3","P11","A1","P8","P10",15.349,"B12","D3532-D3627",13,9.2,200,"P6","P89"
"20","D3623","3_a","P9","D3","P11","A1","P8","P10",17.768,"D12","D3532-D3627",11.3,10.9,200,"P6","P89"
"21","D3624","3_a","P9","E3","P11","A1","P8","P10",15.176,"E12","D3532-D3627",13.2,9,200,"P6","P89"
"22","D3625","3_a","P9","F3","P11","A1","P8","P10",12.076,"F12","D3532-D3627",16.6,5.6,200,"P6","P89"
"23","D3627","3_a","P9","G3","P11","A1","P8","P10",26.381,"H12","D3532-D3627",7.6,14.6,200,"P6","P89"
"24","D3628","3_a","P9","H3","P11","A1","P8","P10",29.849,"A1","D3628-D3723",6.7,15.5,200,"P7","P89"
"25","D3630","3_a","P9","A4","P11","A1","P8","P10",44.79,"C1","D3628-D3723",4.5,17.7,200,"P7","P89"
"26","D3631","3_a","P9","B4","P11","A1","P8","P10",30.799,"D1","D3628-D3723",6.5,15.7,200,"P7","P89"
"27","D3632","3_a","P9","C4","P11","A1","P8","P10",26.82,"E1","D3628-D3723",7.5,14.7,200,"P7","P89"
"28","D3633","3_a","P9","D4","P11","A1","P8","P10",11.24,"F1","D3628-D3723",17.8,4.4,200,"P7","P89"
"29","D3634","3_a","P9","E4","P11","A1","P8","P10",10.573,"G1","D3628-D3723",18.9,3.3,200,"P7","P89"
"30","D3636","3_a","P9","F4","P11","A1","P8","P10",19.965,"A2","D3628-D3723",10,12.2,200,"P7","P89"
"31","D3638","3_a","P9","G4","P11","A1","P8","P10",25.003,"C2","D3628-D3723",8,14.2,200,"P7","P89"
"32","D3640","3_a","P9","H4","P11","A1","P8","P10",11.287,"E2","D3628-D3723",17.7,4.5,200,"P7","P89"
"33","D3641","3_a","P9","A5","P11","A1","P8","P10",20.399,"F2","D3628-D3723",9.8,12.4,200,"P7","P89"
"34","D3642","3_a","P9","B5","P11","A1","P8","P10",33.69,"G2","D3628-D3723",5.9,16.3,200,"P7","P89"
"35","D3643","3_a","P9","C5","P11","A1","P8","P10",25.526,"H2","D3628-D3723",7.8,14.4,200,"P7","P89"
"36","D3644","3_a","P9","D5","P11","A1","P8","P10",37.11,"A3","D3628-D3723",5.4,16.8,200,"P7","P89"
"37","D3645","3_a","P9","E5","P11","A1","P8","P10",78.542,"B3","D3628-D3723",2.5,19.7,200,"P7","P89"
"38","D3646","3_a","P9","F5","P11","A1","P8","P10",51.965,"C3","D3628-D3723",3.8,18.4,200,"P7","P89"
"39","D3647","3_a","P9","G5","P11","A1","P8","P10",30.038,"D3","D3628-D3723",6.7,15.5,200,"P7","P89"
"40","D3648","3_a","P9","H5","P11","A1","P8","P10",13.364,"E3","D3628-D3723",15,7.2,200,"P7","P89"
"41","D3649","3_a","P9","A6","P11","A1","P8","P10",17.884,"F3","D3628-D3723",11.2,11,200,"P7","P89"
"42","D3650","3_a","P9","B6","P11","A1","P8","P10",44.736,"G3","D3628-D3723",4.5,17.7,200,"P7","P89"
"43","D3651","3_a","P9","C6","P11","A1","P8","P10",44.445,"H3","D3628-D3723",4.5,17.7,200,"P7","P89"
"44","D3652","3_a","P9","D6","P11","A1","P8","P10",40.894,"A4","D3628-D3723",4.9,17.3,200,"P7","P89"
"45","D3653","3_a","P9","E6","P11","A1","P8","P10",10.932,"B4","D3628-D3723",18.3,3.9,200,"P7","P89"
"46","D3654","3_a","P9","F6","P11","A1","P8","P10",35.458,"C4","D3628-D3723",5.6,16.6,200,"P7","P89"
"47","D3656","3_a","P9","G6","P11","A1","P8","P10",26.81,"E4","D3628-D3723",7.5,14.7,200,"P7","P89"
"48","D3657","3_a","P9","H6","P11","A1","P8","P10",17.372,"F4","D3628-D3723",11.5,10.7,200,"P7","P89"
"49","D4591","3_a","P9","A7","P11","A1","P8","P10",12.05,"G1","D4588-D4613",16.6,5.6,200,"P5","P90"
"50","D3658","3_a","P9","B7","P11","A1","P8","P10",19.179,"G4","D3628-D3723",10.4,11.8,200,"P7","P90"
"51","D3659","3_a","P9","C7","P11","A1","P8","P10",9.847,"H4","D3628-D3723",20.3,1.9,200,"P7","P90"
"52","D3660","3_a","P9","D7","P11","A1","P8","P10",57.014,"A5","D3628-D3723",3.5,18.7,200,"P7","P90"
"53","D3661","3_a","P9","E7","P11","A1","P8","P10",43.593,"B5","D3628-D3723",4.6,17.6,200,"P7","P90"
"54","D3662","3_a","P9","F7","P11","A1","P8","P10",12.323,"C5","D3628-D3723",16.2,6,200,"P7","P90"
"55","D3664","3_a","P9","G7","P11","A1","P8","P10",32.741,"E5","D3628-D3723",6.1,16.1,200,"P7","P90"
"56","D3665","3_a","P9","H7","P11","A1","P8","P10",14.34,"F5","D3628-D3723",13.9,8.3,200,"P7","P90"
"57","D3666","3_a","P9","A8","P11","A1","P8","P10",31.327,"G5","D3628-D3723",6.4,15.8,200,"P7","P90"
"58","D3667","3_a","P9","B8","P11","A1","P8","P10",35.406,"H5","D3628-D3723",5.6,16.6,200,"P7","P90"
"59","D3668","3_a","P9","C8","P11","A1","P8","P10",17.039,"A6","D3628-D3723",11.7,10.5,200,"P7","P90"
"60","D3669","3_a","P9","D8","P11","A1","P8","P10",14.22,"B6","D3628-D3723",14.1,8.1,200,"P7","P90"
"61","D3670","3_a","P9","E8","P11","A1","P8","P10",19.804,"C6","D3628-D3723",10.1,12.1,200,"P7","P90"
"62","D3675","3_a","P9","F8","P11","A1","P8","P10",15.679,"H6","D3628-D3723",12.8,9.4,200,"P7","P90"
"63","D3676","3_a","P9","G8","P11","A1","P8","P10",19.337,"A7","D3628-D3723",10.3,11.9,200,"P7","P90"
"64","D3677","3_a","P9","H8","P11","A1","P8","P10",21.281,"B7","D3628-D3723",9.4,12.8,200,"P7","P90"
"65","D3678","3_a","P9","A9","P11","A1","P8","P10",13.371,"C7","D3628-D3723",15,7.2,200,"P7","P90"
