"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","notes","uL_in","water","DNA","source_loc","pool"
"31","D6456","2_b","P12","E11","P11","A1","P8","P10",11.787,"A4","D6432-D6496",NA,4.2,6.9,50,"P5","P78"
"32","D6470","2_b","P12","F11","P11","A1","P8","P10",12.726,"G5","D6432-D6496",NA,3.9,7.2,50,"P5","P78"
"33","D6471","2_b","P12","G11","P11","A1","P8","P10",6.565,"H5","D6432-D6496",NA,7.6,3.5,50,"P5","P78"
"34","D6472","2_b","P12","H11","P11","A1","P8","P10",4.896,"A6","D6432-D6496",NA,10.2,0.9,50,"P5","P78"
"35","D6473","2_b","P12","A12","P11","A1","P8","P10",12.793,"B6","D6432-D6496",NA,3.9,7.2,50,"P5","P78"
"36","D6474","2_b","P12","B12","P11","A1","P8","P10",11.934,"C6","D6432-D6496",NA,4.2,6.9,50,"P5","P78"
"37","D6477","2_b","P12","C12","P11","A1","P8","P10",6.874,"F6","D6432-D6496",NA,7.3,3.8,50,"P5","P78"
"38","D6487","2_b","P12","D12","P11","A1","P8","P10",37.469,"H7","D6432-D6496",NA,1.3,9.8,50,"P5","P78"
"39","D6488","2_b","P12","E12","P11","A1","P8","P10",57.952,"A8","D6432-D6496",NA,0.9,10.2,50,"P5","P78"
"40","D6489","2_b","P12","F12","P11","A1","P8","P10",19.145,"B8","D6432-D6496",NA,2.6,8.5,50,"P5","P78"
"41","D6491","2_b","P12","G12","P11","A1","P8","P10",23.637,"D8","D6432-D6496",NA,2.1,9,50,"P5","P78"
"42","D6493","2_b","P12","H12","P11","A1","P8","P10",10.321,"F8","D6432-D6496",NA,4.8,6.3,50,"P5","P78"
