"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","notes","uL_in","water","DNA","source_loc","pool"
"1","D6411","2_b","P12","D4","P11","A1","P8","P10",112.4,"H8","D6348-D6431",NA,1.3,9.8,150,"P13","P77"
"2","D6412","2_b","P12","E4","P11","A1","P8","P10",33.2,"A9","D6348-D6431",NA,4.5,6.6,150,"P13","P77"
"3","D6413","2_b","P12","F4","P11","A1","P8","P10",102,"B9","D6348-D6431",NA,1.5,9.6,150,"P13","P77"
"4","D6414","2_b","P12","G4","P11","A1","P8","P10",118,"C9","D6348-D6431",NA,1.3,9.8,150,"P13","P77"
"5","D6415","2_b","P12","H4","P11","A1","P8","P10",27.4,"D9","D6348-D6431",NA,5.5,5.6,150,"P13","P77"
"6","D6416","2_b","P12","A5","P11","A1","P8","P10",39.8,"E9","D6348-D6431",NA,3.8,7.3,150,"P13","P77"
"7","D6417","2_b","P12","B5","P11","A1","P8","P10",24.6,"F9","D6348-D6431",NA,6.1,5,150,"P13","P77"
"8","D6418","2_b","P12","C5","P11","A1","P8","P10",21.6,"G9","D6348-D6431",NA,6.9,4.2,150,"P13","P77"
"9","D6419","2_b","P12","D5","P11","A1","P8","P10",70.8,"H9","D6348-D6431",NA,2.1,9,150,"P13","P77"
"10","D6444","2_b","P12","E5","P11","A1","P8","P10",27.798,"D2","D6432-D6496",NA,5.4,5.7,150,"P5","P77"
"11","D6475","2_b","P12","F5","P11","A1","P8","P10",21.215,"D6","D6432-D6496",NA,7.1,4,150,"P5","P77"
"12","D6476","2_b","P12","G5","P11","A1","P8","P10",15.622,"E6","D6432-D6496",NA,9.6,1.5,150,"P5","P77"
"13","D6478","2_b","P12","H5","P11","A1","P8","P10",16.856,"G6","D6432-D6496",NA,8.9,2.2,150,"P5","P77"
"14","D6479","2_b","P12","A6","P11","A1","P8","P10",15.355,"H6","D6432-D6496",NA,9.8,1.3,150,"P5","P77"
"15","D6480","2_b","P12","B6","P11","A1","P8","P10",47.882,"A7","D6432-D6496",NA,3.1,8,150,"P5","P77"
"16","D6481","2_b","P12","C6","P11","A1","P8","P10",33.746,"B7","D6432-D6496",NA,4.4,6.7,150,"P5","P77"
"17","D6482","2_b","P12","D6","P11","A1","P8","P10",23.785,"C7","D6432-D6496",NA,6.3,4.8,150,"P5","P77"
"18","D6483","2_b","P12","E6","P11","A1","P8","P10",30.951,"D7","D6432-D6496",NA,4.8,6.3,150,"P5","P77"
"19","D6484","2_b","P12","F6","P11","A1","P8","P10",21.546,"E7","D6432-D6496",NA,7,4.1,150,"P5","P77"
"20","D6485","2_b","P12","G6","P11","A1","P8","P10",65.237,"F7","D6432-D6496",NA,2.3,8.8,150,"P5","P77"
"21","D6486","2_b","P12","H6","P11","A1","P8","P10",27.885,"G7","D6432-D6496",NA,5.4,5.7,150,"P5","P77"
"22","D4968","2_b","P12","D9","P11","A1","P8","P10",9.112,"C8","D4947-D5028",NA,5.5,5.6,50,"P6","P78"
"23","D5051","2_b","P12","E9","P11","A1","P8","P10",10.907,"G11","D5029-D5113",NA,4.6,6.5,50,"P7","P78"
"24","D6410","2_b","P12","F10","P11","A1","P8","P10",8.9,"G8","D6348-D6431",NA,5.6,5.5,50,"P13","P78"
"25","D6420","2_b","P12","G10","P11","A1","P8","P10",7.504,"A10","D6348-D6431",NA,6.7,4.4,50,"P13","P78"
"26","D6421","2_b","P12","H10","P11","A1","P8","P10",10.818,"B10","D6348-D6431",NA,4.6,6.5,50,"P13","P78"
"27","D6422","2_b","P12","A11","P11","A1","P8","P10",9.737,"C10","D6348-D6431",NA,5.1,6,50,"P13","P78"
"28","D6423","2_b","P12","B11","P11","A1","P8","P10",6.969,"D10","D6348-D6431",NA,7.2,3.9,50,"P13","P78"
"29","D6435","2_b","P12","C11","P11","A1","P8","P10",4.98,"D1","D6432-D6496",NA,10,1.1,50,"P5","P78"
"30","D6449","2_b","P12","D11","P11","A1","P8","P10",10.01,"A3","D6432-D6496",NA,5,6.1,50,"P5","P78"
