"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D3539","17_b","P9","D9","P11","A1","P8","P10",7.617,"H1","D3532-D3627",19.7,2.5,150,"P5","P118"
"2","D3566","17_b","P9","E9","P11","A1","P8","P10",8.037,"C5","D3532-D3627",18.7,3.5,150,"P5","P118"
"3","D3568","17_b","P9","F9","P11","A1","P8","P10",8.44,"E5","D3532-D3627",17.8,4.4,150,"P5","P118"
"4","D3618","17_b","P9","G9","P11","A1","P8","P10",6.783,"G11","D3532-D3627",22.1,0.1,150,"P5","P118"
"5","D3635","17_b","P9","H9","P11","A1","P8","P10",7.791,"H1","D3628-D3723",19.3,2.9,150,"P6","P118"
"6","D3637","17_b","P9","A10","P11","A1","P8","P10",7.489,"B2","D3628-D3723",20,2.2,150,"P6","P118"
"7","D3663","17_b","P9","B10","P11","A1","P8","P10",8.111,"D5","D3628-D3723",18.5,3.7,150,"P6","P118"
"8","D3671","17_b","P9","C10","P11","A1","P8","P10",7.902,"D6","D3628-D3723",19,3.2,150,"P6","P118"
"9","D3674","17_b","P9","D10","P11","A1","P8","P10",8.538,"G6","D3628-D3723",17.6,4.6,150,"P6","P118"
"10","D3687","17_b","P9","E10","P11","A1","P8","P10",8.233,"D8","D3628-D3723",18.2,4,150,"P6","P118"
"11","D3689","17_b","P9","F10","P11","A1","P8","P10",7.482,"F8","D3628-D3723",20,2.2,150,"P6","P118"
"12","D3697","17_b","P9","G10","P11","A1","P8","P10",7.339,"F9","D3628-D3723",20.4,1.8,150,"P6","P118"
"13","D3698","17_b","P9","H10","P11","A1","P8","P10",7.412,"G9","D3628-D3723",20.2,2,150,"P6","P118"
"14","D3705","17_b","P9","A11","P11","A1","P8","P10",7.306,"F10","D3628-D3723",20.5,1.7,150,"P6","P118"
"15","D3723","17_b","P9","B11","P11","A1","P8","P10",8.747,"H12","D3628-D3723",17.1,5.1,150,"P6","P118"
"16","D3726","17_b","P9","C11","P11","A1","P8","P10",6.826,"C1","D3724-D3819",22,0.2,150,"P7","P118"
"17","D3733","17_b","P9","D11","P11","A1","P8","P10",7.489,"B2","D3724-D3819",20,2.2,150,"P7","P118"
"18","D3759","17_b","P9","E11","P11","A1","P8","P10",8.111,"D5","D3724-D3819",18.5,3.7,150,"P7","P118"
"19","D3767","17_b","P9","F11","P11","A1","P8","P10",7.902,"D6","D3724-D3819",19,3.2,150,"P7","P118"
"20","D3770","17_b","P9","G11","P11","A1","P8","P10",8.538,"G6","D3724-D3819",17.6,4.6,150,"P7","P118"
"21","D3783","17_b","P9","H11","P11","A1","P8","P10",8.233,"D8","D3724-D3819",18.2,4,150,"P7","P118"
"22","D3785","17_b","P9","A12","P11","A1","P8","P10",7.482,"F8","D3724-D3819",20,2.2,150,"P7","P118"
"23","D3793","17_b","P9","B12","P11","A1","P8","P10",7.339,"F9","D3724-D3819",20.4,1.8,150,"P7","P118"
"24","D3794","17_b","P9","C12","P11","A1","P8","P10",7.412,"G9","D3724-D3819",20.2,2,150,"P7","P118"
"25","D3801","17_b","P9","D12","P11","A1","P8","P10",7.306,"F10","D3724-D3819",20.5,1.7,150,"P7","P118"
"26","D3807","17_b","P9","E12","P11","A1","P8","P10",7.347,"D11","D3724-D3819",20.4,1.8,150,"P7","P118"
"27","D3819","17_b","P9","F12","P11","A1","P8","P10",8.747,"H12","D3724-D3819",17.1,5.1,150,"P7","P118"
"28","D3838","17_b","P9","G12","P11","A1","P8","P10",7.442,"C3","D3820-D3915",20.2,2,150,"P12","P118"
"29","D3847","17_b","P9","H12","P11","A1","P8","P10",7.043,"D4","D3820-D3915",21.3,0.9,150,"P12","P118"
