"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D5676","20_c","P9","D7","P11","A1","P8","P10",6.572,"A1","D5676-D5771",15.2,7,100,"P5","P124"
"2","D5683","20_c","P9","E7","P11","A1","P8","P10",5.149,"H1","D5676-D5771",19.4,2.8,100,"P5","P124"
"3","D5695","20_c","P9","F7","P11","A1","P8","P10",6.377,"D3","D5676-D5771",15.7,6.5,100,"P5","P124"
"4","D5699","20_c","P9","G7","P11","A1","P8","P10",6.087,"H3","D5676-D5771",16.4,5.8,100,"P5","P124"
"5","D5701","20_c","P9","H7","P11","A1","P8","P10",5.289,"B4","D5676-D5771",18.9,3.3,100,"P5","P124"
"6","D5704","20_c","P9","A8","P11","A1","P8","P10",6.703,"E4","D5676-D5771",14.9,7.3,100,"P5","P124"
"7","D5706","20_c","P9","B8","P11","A1","P8","P10",5.879,"G4","D5676-D5771",17,5.2,100,"P5","P124"
"8","D5707","20_c","P9","C8","P11","A1","P8","P10",5.201,"H4","D5676-D5771",19.2,3,100,"P5","P124"
"9","D5710","20_c","P9","D8","P11","A1","P8","P10",6.612,"C5","D5676-D5771",15.1,7.1,100,"P5","P124"
"10","D5727","20_c","P9","E8","P11","A1","P8","P10",5.89,"D7","D5676-D5771",17,5.2,100,"P5","P124"
"11","D5728","20_c","P9","F8","P11","A1","P8","P10",5.521,"E7","D5676-D5771",18.1,4.1,100,"P5","P124"
"12","D5738","20_c","P9","G8","P11","A1","P8","P10",6.107,"G8","D5676-D5771",16.4,5.8,100,"P5","P124"
"13","D5748","20_c","P9","H8","P11","A1","P8","P10",6.511,"A10","D5676-D5771",15.4,6.8,100,"P5","P124"
"14","D5754","20_c","P9","A9","P11","A1","P8","P10",4.845,"G10","D5676-D5771",20.6,1.6,100,"P5","P124"
"15","D5767","20_c","P9","B9","P11","A1","P8","P10",5.16,"D12","D5676-D5771",19.4,2.8,100,"P5","P124"
"16","D5796","20_c","P9","C9","P11","A1","P8","P10",6.355,"A4","D5772-D5867",15.7,6.5,100,"P6","P124"
"17","D5799","20_c","P9","D9","P11","A1","P8","P10",6.656,"D4","D5772-D5867",15,7.2,100,"P6","P124"
"18","D5802","20_c","P9","E9","P11","A1","P8","P10",6.424,"G4","D5772-D5867",15.6,6.6,100,"P6","P124"
"19","D5804","20_c","P9","F9","P11","A1","P8","P10",5.125,"A5","D5772-D5867",19.5,2.7,100,"P6","P124"
"20","D5805","20_c","P9","G9","P11","A1","P8","P10",5.286,"B5","D5772-D5867",18.9,3.3,100,"P6","P124"
"21","D5812","20_c","P9","H9","P11","A1","P8","P10",5.174,"A6","D5772-D5867",19.3,2.9,100,"P6","P124"
