"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D5854","19_a","P9","A1","P11","A1","P8","P10",8.815,"C11","D5772-D5867",17,5.2,150,"P5","P121"
"2","D5858","19_a","P9","B1","P11","A1","P8","P10",8.492,"G11","D5772-D5867",17.7,4.5,150,"P5","P121"
"3","D5860","19_a","P9","C1","P11","A1","P8","P10",7.085,"A12","D5772-D5867",21.2,1,150,"P5","P121"
"4","D5864","19_a","P9","D1","P11","A1","P8","P10",7.628,"E12","D5772-D5867",19.7,2.5,150,"P5","P121"
"5","D5867","19_a","P9","E1","P11","A1","P8","P10",7.095,"H12","D5772-D5867",21.1,1.1,150,"P5","P121"
"6","D5880","19_a","P9","F1","P11","A1","P8","P10",8.641,"E2","D5868-D5963",17.4,4.8,150,"P6","P121"
"7","D5883","19_a","P9","G1","P11","A1","P8","P10",7.645,"H2","D5868-D5963",19.6,2.6,150,"P6","P121"
"8","D5916","19_a","P9","H1","P11","A1","P8","P10",8.083,"A7","D5868-D5963",18.6,3.6,150,"P6","P121"
"9","D5938","19_a","P9","A2","P11","A1","P8","P10",8.67,"G9","D5868-D5963",17.3,4.9,150,"P6","P121"
"10","D5944","19_a","P9","B2","P11","A1","P8","P10",8.007,"E10","D5868-D5963",18.7,3.5,150,"P6","P121"
"11","D5947","19_a","P9","C2","P11","A1","P8","P10",8.711,"H10","D5868-D5963",17.2,5,150,"P6","P121"
"12","D5950","19_a","P9","D2","P11","A1","P8","P10",8.98,"C11","D5868-D5963",16.7,5.5,150,"P6","P121"
"13","D5951","19_a","P9","E2","P11","A1","P8","P10",8.372,"D11","D5868-D5963",17.9,4.3,150,"P6","P121"
"14","D5955","19_a","P9","F2","P11","A1","P8","P10",7.181,"H11","D5868-D5963",20.9,1.3,150,"P6","P121"
"15","D5964","19_a","P9","G2","P11","A1","P8","P10",7.077,"A1","D5964-D6059",21.2,1,150,"P7","P121"
"16","D5965","19_a","P9","H2","P11","A1","P8","P10",7.462,"B1","D5964-D6059",20.1,2.1,150,"P7","P121"
"17","D5966","19_a","P9","A3","P11","A1","P8","P10",8.004,"C1","D5964-D6059",18.7,3.5,150,"P7","P121"
"18","D5969","19_a","P9","B3","P11","A1","P8","P10",8.537,"F1","D5964-D6059",17.6,4.6,150,"P7","P121"
"19","D5996","19_a","P9","C3","P11","A1","P8","P10",8.285,"A5","D5964-D6059",18.1,4.1,150,"P7","P121"
"20","D6045","19_a","P9","D3","P11","A1","P8","P10",8.9,"B11","D5964-D6059",16.9,5.3,150,"P7","P121"
"21","D6046","19_a","P9","E3","P11","A1","P8","P10",7.516,"C11","D5964-D6059",20,2.2,150,"P7","P121"
"22","D6048","19_a","P9","F3","P11","A1","P8","P10",7.267,"E11","D5964-D6059",20.6,1.6,150,"P7","P121"
"23","D6049","19_a","P9","G3","P11","A1","P8","P10",6.888,"F11","D5964-D6059",21.8,0.4,150,"P7","P121"
