"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D6066","21_a","P9","A1","P11","A1","P8","P10",5.777,"G1","D6060-D6155",17.3,4.9,100,"P5","P125"
"2","D6072","21_a","P9","B1","P11","A1","P8","P10",5.905,"E2","D6060-D6155",16.9,5.3,100,"P5","P125"
"3","D6080","21_a","P9","C1","P11","A1","P8","P10",5.933,"E3","D6060-D6155",16.9,5.3,100,"P5","P125"
"4","D6084","21_a","P9","D1","P11","A1","P8","P10",6.662,"A4","D6060-D6155",15,7.2,100,"P5","P125"
"5","D6086","21_a","P9","E1","P11","A1","P8","P10",4.896,"C4","D6060-D6155",20.4,1.8,100,"P5","P125"
"6","D6090","21_a","P9","F1","P11","A1","P8","P10",4.857,"G4","D6060-D6155",20.6,1.6,100,"P5","P125"
"7","D6110","21_a","P9","G1","P11","A1","P8","P10",5.22,"C7","D6060-D6155",19.2,3,100,"P5","P125"
"8","D6119","21_a","P9","H1","P11","A1","P8","P10",4.904,"D8","D6060-D6155",20.4,1.8,100,"P5","P125"
"9","D6124","21_a","P9","A2","P11","A1","P8","P10",6.293,"A9","D6060-D6155",15.9,6.3,100,"P5","P125"
"10","D6127","21_a","P9","B2","P11","A1","P8","P10",5.377,"D9","D6060-D6155",18.6,3.6,100,"P5","P125"
"11","D6129","21_a","P9","C2","P11","A1","P8","P10",5.398,"F9","D6060-D6155",18.5,3.7,100,"P5","P125"
"12","D6155","21_a","P9","D2","P11","A1","P8","P10",6.504,"H12","D6060-D6155",15.4,6.8,100,"P5","P125"
"13","D6184","21_a","P9","E2","P11","A1","P8","P10",4.552,"E4","D6156-D6251",22,0.2,100,"P6","P125"
"14","D6207","21_a","P9","F2","P11","A1","P8","P10",6.267,"D7","D6156-D6251",16,6.2,100,"P6","P125"
"15","D6251","21_a","P9","G2","P11","A1","P8","P10",5.915,"H12","D6156-D6251",16.9,5.3,100,"P6","P125"
"16","D6279","21_a","P9","H2","P11","A1","P8","P10",5.09,"D4","D6252-D6347",19.6,2.6,100,"P7","P125"
"17","D6284","21_a","P9","A3","P11","A1","P8","P10",6.527,"A5","D6252-D6347",15.3,6.9,100,"P7","P125"
"18","D6295","21_a","P9","B3","P11","A1","P8","P10",5.341,"D6","D6252-D6347",18.7,3.5,100,"P7","P125"
"19","D6309","21_a","P9","C3","P11","A1","P8","P10",6.292,"B8","D6252-D6347",15.9,6.3,100,"P7","P125"
"20","D6316","21_a","P9","D3","P11","A1","P8","P10",4.968,"A9","D6252-D6347",20.1,2.1,100,"P7","P125"
"21","D6319","21_a","P9","E3","P11","A1","P8","P10",7.381,"D9","D6252-D6347",13.5,8.7,100,"P7","P125"
"22","D6326","21_a","P9","F3","P11","A1","P8","P10",9.007,"C10","D6252-D6347",11.1,11.1,100,"P7","P125"
"23","D6328","21_a","P9","G3","P11","A1","P8","P10",8.835,"E10","D6252-D6347",11.3,10.9,100,"P7","P125"
"24","D6352","21_a","P9","H3","P11","A1","P8","P10",5.118,"E1","D6348-D6431",19.5,2.7,100,"P12","P125"
"25","D6357","21_a","P9","A4","P11","A1","P8","P10",5.488,"B2","D6348-D6431",18.2,4,100,"P12","P125"
"26","D6365","21_a","P9","B4","P11","A1","P8","P10",7.429,"B3","D6348-D6431",13.5,8.7,100,"P12","P125"
"27","D6368","21_a","P9","C4","P11","A1","P8","P10",6.59,"E3","D6348-D6431",15.2,7,100,"P12","P125"
"28","D6376","21_a","P9","D4","P11","A1","P8","P10",8.806,"E4","D6348-D6431",11.4,10.8,100,"P12","P125"
"29","D6380","21_a","P9","E4","P11","A1","P8","P10",5.61,"A5","D6348-D6431",17.8,4.4,100,"P12","P125"
"30","D6387","21_a","P9","F4","P11","A1","P8","P10",62.268,"H5","D6348-D6431",1.6,20.6,100,"P12","P125"
"31","D6388","21_a","P9","G4","P11","A1","P8","P10",8.192,"A6","D6348-D6431",12.2,10,100,"P12","P125"
"32","D6389","21_a","P9","H4","P11","A1","P8","P10",12.801,"B6","D6348-D6431",7.8,14.4,100,"P12","P125"
"33","D6390","21_a","P9","A5","P11","A1","P8","P10",25.529,"C6","D6348-D6431",3.9,18.3,100,"P12","P125"
"34","D6391","21_a","P9","B5","P11","A1","P8","P10",30.81,"D6","D6348-D6431",3.2,19,100,"P12","P125"
"35","D6392","21_a","P9","C5","P11","A1","P8","P10",5.049,"E6","D6348-D6431",19.8,2.4,100,"P12","P125"
"36","D6395","21_a","P9","D5","P11","A1","P8","P10",6.879,"H6","D6348-D6431",14.5,7.7,100,"P12","P125"
"37","D6396","21_a","P9","E5","P11","A1","P8","P10",41.927,"A7","D6348-D6431",2.4,19.8,100,"P12","P125"
"38","D6397","21_a","P9","F5","P11","A1","P8","P10",30.279,"B7","D6348-D6431",3.3,18.9,100,"P12","P125"
"39","D6398","21_a","P9","G5","P11","A1","P8","P10",39.212,"C7","D6348-D6431",2.6,19.6,100,"P12","P125"
"40","D6399","21_a","P9","H5","P11","A1","P8","P10",11.17,"D7","D6348-D6431",9,13.2,100,"P12","P125"
"41","D6400","21_a","P9","A6","P11","A1","P8","P10",54.545,"E7","D6348-D6431",1.8,20.4,100,"P12","P125"
"42","D6401","21_a","P9","B6","P11","A1","P8","P10",15.504,"F7","D6348-D6431",6.4,15.8,100,"P12","P125"
"43","D6402","21_a","P9","C6","P11","A1","P8","P10",32.034,"G7","D6348-D6431",3.1,19.1,100,"P12","P125"
"44","D6403","21_a","P9","D6","P11","A1","P8","P10",14.064,"H7","D6348-D6431",7.1,15.1,100,"P12","P125"
"45","D6404","21_a","P9","E6","P11","A1","P8","P10",20.131,"A8","D6348-D6431",5,17.2,100,"P12","P125"
"46","D6405","21_a","P9","F6","P11","A1","P8","P10",4.825,"B8","D6348-D6431",20.7,1.5,100,"P12","P125"
"47","D6407","21_a","P9","G6","P11","A1","P8","P10",110,"D8","D6348-D6431",0.9,21.3,100,"P12","P125"
"48","D6409","21_a","P9","H6","P11","A1","P8","P10",78.6,"F8","D6348-D6431",1.3,20.9,100,"P12","P125"
