"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4117","22_d","P9","B10","P11","A1","P8","P10",2.802,"B2","D4108-D4203",17.8,4.4,50,"P13","P128"
"2","D4121","22_d","P9","C10","P11","A1","P8","P10",2.547,"F2","D4108-D4203",19.6,2.6,50,"P13","P128"
"3","D4131","22_d","P9","D10","P11","A1","P8","P10",2.953,"H3","D4108-D4203",16.9,5.3,50,"P13","P128"
"4","D4135","22_d","P9","E10","P11","A1","P8","P10",2.845,"D4","D4108-D4203",17.6,4.6,50,"P13","P128"
"5","D4143","22_d","P9","F10","P11","A1","P8","P10",2.977,"D5","D4108-D4203",16.8,5.4,50,"P13","P128"
"6","D4191","22_d","P9","G10","P11","A1","P8","P10",2.771,"D11","D4108-D4203",18,4.2,50,"P13","P128"
"7","D4194","22_d","P9","H10","P11","A1","P8","P10",3.362,"G11","D4108-D4203",14.9,7.3,50,"P13","P128"
"8","D4200","22_d","P9","A11","P11","A1","P8","P10",3.351,"E12","D4108-D4203",14.9,7.3,50,"P13","P128"
"9","D4203","22_d","P9","B11","P11","A1","P8","P10",2.912,"H12","D4108-D4203",17.2,5,50,"P13","P128"
"10","D4209","22_d","P9","C11","P11","A1","P8","P10",3.278,"F1","D4204-D4299",15.3,6.9,50,"P5","P128"
"11","D4284","22_d","P9","D11","P11","A1","P8","P10",3.122,"A11","D4204-D4299",16,6.2,50,"P5","P128"
"12","D4345","22_d","P9","E11","P11","A1","P8","P10",3.376,"F6","D4300-D4395",14.8,7.4,50,"P6","P128"
"13","D4477","22_d","P9","F11","P11","A1","P8","P10",3.205,"B11","D4396-D4491",15.6,6.6,50,"P7","P128"
