"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D6265","19_b","P9","F6","P11","A1","P8","P10",7.236,"F2","D6252-D6347",20.7,1.5,150,"P5","P121"
"2","D6280","19_b","P9","G6","P11","A1","P8","P10",7.069,"E4","D6252-D6347",21.2,1,150,"P5","P121"
"3","D6300","19_b","P9","H6","P11","A1","P8","P10",8.68,"A7","D6252-D6347",17.3,4.9,150,"P5","P121"
"4","D4595","19_b","P9","A7","P11","A1","P8","P10",6.647,"D1","D4588-D4613",15,7.2,100,"P6","P122"
"5","D3358","19_b","P9","B7","P11","A1","P8","P10",5.023,"C3","D3340-D3435",19.9,2.3,100,"P7","P122"
"6","D3369","19_b","P9","C7","P11","A1","P8","P10",4.963,"F4","D3340-D3435",20.1,2.1,100,"P7","P122"
"7","D3388","19_b","P9","D7","P11","A1","P8","P10",6.686,"A7","D3340-D3435",15,7.2,100,"P7","P122"
"8","D3394","19_b","P9","E7","P11","A1","P8","P10",5.19,"G7","D3340-D3435",19.3,2.9,100,"P7","P122"
"9","D3407","19_b","P9","F7","P11","A1","P8","P10",4.743,"D9","D3340-D3435",21.1,1.1,100,"P7","P122"
"10","D3417","19_b","P9","G7","P11","A1","P8","P10",5.028,"F10","D3340-D3435",19.9,2.3,100,"P7","P122"
"11","D3427","19_b","P9","H7","P11","A1","P8","P10",4.944,"H11","D3340-D3435",20.2,2,100,"P7","P122"
"12","D3428","19_b","P9","A8","P11","A1","P8","P10",5.089,"A12","D3340-D3435",19.7,2.5,100,"P7","P122"
"13","D3436","19_b","P9","B8","P11","A1","P8","P10",6.208,"A1","D3436-D3531",16.1,6.1,100,"P12","P122"
"14","D3451","19_b","P9","C8","P11","A1","P8","P10",6.616,"H2","D3436-D3531",15.1,7.1,100,"P12","P122"
"15","D3453","19_b","P9","D8","P11","A1","P8","P10",4.673,"B3","D3436-D3531",21.4,0.8,100,"P12","P122"
"16","D3454","19_b","P9","E8","P11","A1","P8","P10",6.068,"C3","D3436-D3531",16.5,5.7,100,"P12","P122"
"17","D3462","19_b","P9","F8","P11","A1","P8","P10",5.874,"C4","D3436-D3531",17,5.2,100,"P12","P122"
"18","D3471","19_b","P9","G8","P11","A1","P8","P10",5.733,"D5","D3436-D3531",17.4,4.8,100,"P12","P122"
"19","D3480","19_b","P9","H8","P11","A1","P8","P10",6.388,"E6","D3436-D3531",15.7,6.5,100,"P12","P122"
"20","D3492","19_b","P9","A9","P11","A1","P8","P10",5.718,"A8","D3436-D3531",17.5,4.7,100,"P12","P122"
"21","D3506","19_b","P9","B9","P11","A1","P8","P10",4.991,"G9","D3436-D3531",20,2.2,100,"P12","P122"
"22","D3511","19_b","P9","C9","P11","A1","P8","P10",5.843,"D10","D3436-D3531",17.1,5.1,100,"P12","P122"
"23","D3525","19_b","P9","D9","P11","A1","P8","P10",5.807,"B12","D3436-D3531",17.2,5,100,"P12","P122"
"24","D3527","19_b","P9","E9","P11","A1","P8","P10",4.676,"D12","D3436-D3531",21.4,0.8,100,"P12","P122"
"25","D3548","19_b","P9","F9","P11","A1","P8","P10",6.695,"A3","D3532-D3627",14.9,7.3,100,"P13","P122"
"26","D3551","19_b","P9","G9","P11","A1","P8","P10",5.814,"D3","D3532-D3627",17.2,5,100,"P13","P122"
"27","D3559","19_b","P9","H9","P11","A1","P8","P10",6.337,"D4","D3532-D3627",15.8,6.4,100,"P13","P122"
"28","D3619","19_b","P9","A10","P11","A1","P8","P10",5.728,"H11","D3532-D3627",17.5,4.7,100,"P13","P122"
