"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4415","20_b","P9","D3","P11","A1","P8","P10",5.972,"D3","D4396-D4491",16.7,5.5,100,"P5","P123"
"2","D4494","20_b","P9","E3","P11","A1","P8","P10",5,"C1","D4492-D4587",20,2.2,100,"P6","P123"
"3","D4522","20_b","P9","F3","P11","A1","P8","P10",4.677,"G4","D4492-D4587",21.4,0.8,100,"P6","P123"
"4","D4527","20_b","P9","G3","P11","A1","P8","P10",5.582,"D5","D4492-D4587",17.9,4.3,100,"P6","P123"
"5","D4537","20_b","P9","H3","P11","A1","P8","P10",5.45,"F6","D4492-D4587",18.3,3.9,100,"P6","P123"
"6","D4540","20_b","P9","A4","P11","A1","P8","P10",6.47,"A7","D4492-D4587",15.5,6.7,100,"P6","P123"
"7","D4547","20_b","P9","B4","P11","A1","P8","P10",5.758,"H7","D4492-D4587",17.4,4.8,100,"P6","P123"
"8","D4548","20_b","P9","C4","P11","A1","P8","P10",4.65,"A8","D4492-D4587",21.5,0.7,100,"P6","P123"
"9","D4555","20_b","P9","D4","P11","A1","P8","P10",5.28,"H8","D4492-D4587",18.9,3.3,100,"P6","P123"
"10","D4576","20_b","P9","E4","P11","A1","P8","P10",4.96,"E11","D4492-D4587",20.2,2,100,"P6","P123"
"11","D4583","20_b","P9","F4","P11","A1","P8","P10",6.735,"D12","D4492-D4587",14.8,7.4,100,"P6","P123"
"12","D4585","20_b","P9","G4","P11","A1","P8","P10",6.254,"F12","D4492-D4587",16,6.2,100,"P6","P123"
"13","D5290","20_b","P9","H4","P11","A1","P8","P10",5.16,"G9","D5220-D5308",19.4,2.8,100,"P7","P123"
"14","D5501","20_b","P9","A5","P11","A1","P8","P10",5.342,"A1","D5501-D5580",18.7,3.5,100,"P12","P123"
"15","D5503","20_b","P9","B5","P11","A1","P8","P10",5.754,"C1","D5501-D5580",17.4,4.8,100,"P12","P123"
"16","D5506","20_b","P9","C5","P11","A1","P8","P10",6.645,"F1","D5501-D5580",15,7.2,100,"P12","P123"
"17","D5507","20_b","P9","D5","P11","A1","P8","P10",5.689,"G1","D5501-D5580",17.6,4.6,100,"P12","P123"
"18","D5524","20_b","P9","E5","P11","A1","P8","P10",6.128,"E4","D5501-D5580",16.3,5.9,100,"P12","P123"
"19","D5529","20_b","P9","F5","P11","A1","P8","P10",6.755,"D5","D5501-D5580",14.8,7.4,100,"P12","P123"
"20","D5532","20_b","P9","G5","P11","A1","P8","P10",5.343,"A6","D5501-D5580",18.7,3.5,100,"P12","P123"
"21","D5539","20_b","P9","H5","P11","A1","P8","P10",6.437,"B7","D5501-D5580",15.5,6.7,100,"P12","P123"
"22","D5562","20_b","P9","A6","P11","A1","P8","P10",4.813,"A11","D5501-D5580",20.8,1.4,100,"P12","P123"
"23","D5565","20_b","P9","B6","P11","A1","P8","P10",5.787,"D11","D5501-D5580",17.3,4.9,100,"P12","P123"
"24","D5576","20_b","P9","C6","P11","A1","P8","P10",4.993,"G4","D5501-D5580",20,2.2,100,"P12","P123"
"25","D5581","20_b","P9","D6","P11","A1","P8","P10",6.097,"A1","D5581-D5675",16.4,5.8,100,"P13","P123"
"26","D5595","20_b","P9","E6","P11","A1","P8","P10",5.369,"G2","D5581-D5675",18.6,3.6,100,"P13","P123"
"27","D5599","20_b","P9","F6","P11","A1","P8","P10",6.717,"C3","D5581-D5675",14.9,7.3,100,"P13","P123"
"28","D5603","20_b","P9","G6","P11","A1","P8","P10",6.177,"G3","D5581-D5675",16.2,6,100,"P13","P123"
"29","D5618","20_b","P9","H6","P11","A1","P8","P10",5.763,"F5","D5581-D5675",17.4,4.8,100,"P13","P123"
"30","D5622","20_b","P9","A7","P11","A1","P8","P10",6.178,"B6","D5581-D5675",16.2,6,100,"P13","P124"
"31","D5665","20_b","P9","B7","P11","A1","P8","P10",6.354,"E11","D5581-D5675",15.7,6.5,100,"P13","P124"
"32","D5670","20_b","P9","C7","P11","A1","P8","P10",6.071,"B12","D5581-D5675",16.5,5.7,100,"P13","P124"
