"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4611","6_a","P9","A1","P11","A1","P8","P10",23.005,"C3","D4588-D4613",8.7,13.5,200,"P5","P95"
"2","D3966","6_a","P9","B1","P11","A1","P8","P10",65.604,"C7","D3916-D4011",3,19.2,200,"P6","P95"
"3","D3967","6_a","P9","C1","P11","A1","P8","P10",36.778,"D7","D3916-D4011",5.4,16.8,200,"P6","P95"
"4","D3969","6_a","P9","D1","P11","A1","P8","P10",11.37,"F7","D3916-D4011",17.6,4.6,200,"P6","P95"
"5","D3970","6_a","P9","E1","P11","A1","P8","P10",12.643,"G7","D3916-D4011",15.8,6.4,200,"P6","P95"
"6","D3972","6_a","P9","F1","P11","A1","P8","P10",30.031,"A8","D3916-D4011",6.7,15.5,200,"P6","P95"
"7","D3973","6_a","P9","G1","P11","A1","P8","P10",25.607,"B8","D3916-D4011",7.8,14.4,200,"P6","P95"
"8","D3974","6_a","P9","H1","P11","A1","P8","P10",53.133,"C8","D3916-D4011",3.8,18.4,200,"P6","P95"
"9","D3977","6_a","P9","A2","P11","A1","P8","P10",11.336,"F8","D3916-D4011",17.6,4.6,200,"P6","P95"
"10","D3978","6_a","P9","B2","P11","A1","P8","P10",33.376,"G8","D3916-D4011",6,16.2,200,"P6","P95"
"11","D3979","6_a","P9","C2","P11","A1","P8","P10",16.625,"H8","D3916-D4011",12,10.2,200,"P6","P95"
"12","D3980","6_a","P9","D2","P11","A1","P8","P10",17.46,"A9","D3916-D4011",11.5,10.7,200,"P6","P95"
"13","D3982","6_a","P9","E2","P11","A1","P8","P10",62.277,"C9","D3916-D4011",3.2,19,200,"P6","P95"
"14","D3983","6_a","P9","F2","P11","A1","P8","P10",48.436,"D9","D3916-D4011",4.1,18.1,200,"P6","P95"
"15","D3985","6_a","P9","G2","P11","A1","P8","P10",20.247,"F9","D3916-D4011",9.9,12.3,200,"P6","P95"
"16","D3986","6_a","P9","H2","P11","A1","P8","P10",9.161,"G9","D3916-D4011",21.8,0.4,200,"P6","P95"
"17","D3987","6_a","P9","A3","P11","A1","P8","P10",32.062,"H9","D3916-D4011",6.2,16,200,"P6","P95"
"18","D3988","6_a","P9","B3","P11","A1","P8","P10",54.051,"A10","D3916-D4011",3.7,18.5,200,"P6","P95"
"19","D3989","6_a","P9","C3","P11","A1","P8","P10",16.197,"B10","D3916-D4011",12.3,9.9,200,"P6","P95"
"20","D3990","6_a","P9","D3","P11","A1","P8","P10",63.981,"C10","D3916-D4011",3.1,19.1,200,"P6","P95"
"21","D3991","6_a","P9","E3","P11","A1","P8","P10",10.8,"D10","D3916-D4011",18.5,3.7,200,"P6","P95"
"22","D3992","6_a","P9","F3","P11","A1","P8","P10",16.766,"E10","D3916-D4011",11.9,10.3,200,"P6","P95"
"23","D3993","6_a","P9","G3","P11","A1","P8","P10",12.393,"F10","D3916-D4011",16.1,6.1,200,"P6","P95"
"24","D3994","6_a","P9","H3","P11","A1","P8","P10",36.069,"G10","D3916-D4011",5.5,16.7,200,"P6","P95"
"25","D3995","6_a","P9","A4","P11","A1","P8","P10",10.245,"H10","D3916-D4011",19.5,2.7,200,"P6","P95"
"26","D3996","6_a","P9","B4","P11","A1","P8","P10",13.214,"A11","D3916-D4011",15.1,7.1,200,"P6","P95"
"27","D3997","6_a","P9","C4","P11","A1","P8","P10",21.781,"B11","D3916-D4011",9.2,13,200,"P6","P95"
"28","D3998","6_a","P9","D4","P11","A1","P8","P10",97.327,"C11","D3916-D4011",2.1,20.1,200,"P6","P95"
"29","D3999","6_a","P9","E4","P11","A1","P8","P10",21.835,"D11","D3916-D4011",9.2,13,200,"P6","P95"
"30","D4000","6_a","P9","F4","P11","A1","P8","P10",23.048,"E11","D3916-D4011",8.7,13.5,200,"P6","P95"
"31","D4001","6_a","P9","G4","P11","A1","P8","P10",38.427,"F11","D3916-D4011",5.2,17,200,"P6","P95"
"32","D4002","6_a","P9","H4","P11","A1","P8","P10",34.811,"G11","D3916-D4011",5.7,16.5,200,"P6","P95"
"33","D4003","6_a","P9","A5","P11","A1","P8","P10",21.634,"H11","D3916-D4011",9.2,13,200,"P6","P95"
"34","D4005","6_a","P9","B5","P11","A1","P8","P10",41.228,"B12","D3916-D4011",4.9,17.3,200,"P6","P95"
"35","D4006","6_a","P9","C5","P11","A1","P8","P10",23.679,"C12","D3916-D4011",8.4,13.8,200,"P6","P95"
"36","D4007","6_a","P9","D5","P11","A1","P8","P10",21.89,"D12","D3916-D4011",9.1,13.1,200,"P6","P95"
"37","D4008","6_a","P9","E5","P11","A1","P8","P10",84.09,"E12","D3916-D4011",2.4,19.8,200,"P6","P95"
"38","D4010","6_a","P9","F5","P11","A1","P8","P10",55.274,"G12","D3916-D4011",3.6,18.6,200,"P6","P95"
"39","D4011","6_a","P9","G5","P11","A1","P8","P10",42.526,"H12","D3916-D4011",4.7,17.5,200,"P6","P95"
"40","D4013","6_a","P9","H5","P11","A1","P8","P10",10.536,"B1","D4012-D4107",19,3.2,200,"P7","P95"
"41","D4014","6_a","P9","A6","P11","A1","P8","P10",18.524,"C1","D4012-D4107",10.8,11.4,200,"P7","P95"
"42","D4018","6_a","P9","B6","P11","A1","P8","P10",10.63,"G1","D4012-D4107",18.8,3.4,200,"P7","P95"
"43","D4024","6_a","P9","C6","P11","A1","P8","P10",10.448,"E2","D4012-D4107",19.1,3.1,200,"P7","P95"
"44","D4025","6_a","P9","D6","P11","A1","P8","P10",22.793,"F2","D4012-D4107",8.8,13.4,200,"P7","P95"
"45","D4026","6_a","P9","E6","P11","A1","P8","P10",25.049,"G2","D4012-D4107",8,14.2,200,"P7","P95"
"46","D4027","6_a","P9","F6","P11","A1","P8","P10",14.581,"H2","D4012-D4107",13.7,8.5,200,"P7","P95"
"47","D4028","6_a","P9","G6","P11","A1","P8","P10",24.133,"A3","D4012-D4107",8.3,13.9,200,"P7","P95"
"48","D4029","6_a","P9","H6","P11","A1","P8","P10",30.761,"B3","D4012-D4107",6.5,15.7,200,"P7","P95"
"49","D4597","6_a","P9","A7","P11","A1","P8","P10",29.79,"A2","D4588-D4613",6.7,15.5,200,"P5","P96"
"50","D4030","6_a","P9","B7","P11","A1","P8","P10",106.849,"C3","D4012-D4107",1.9,20.3,200,"P7","P96"
"51","D4031","6_a","P9","C7","P11","A1","P8","P10",13.058,"D3","D4012-D4107",15.3,6.9,200,"P7","P96"
"52","D4032","6_a","P9","D7","P11","A1","P8","P10",14.763,"E3","D4012-D4107",13.5,8.7,200,"P7","P96"
"53","D4033","6_a","P9","E7","P11","A1","P8","P10",90.287,"F3","D4012-D4107",2.2,20,200,"P7","P96"
"54","D4035","6_a","P9","F7","P11","A1","P8","P10",12.384,"H3","D4012-D4107",16.1,6.1,200,"P7","P96"
"55","D4037","6_a","P9","G7","P11","A1","P8","P10",33.952,"B4","D4012-D4107",5.9,16.3,200,"P7","P96"
"56","D4039","6_a","P9","H7","P11","A1","P8","P10",49.795,"D4","D4012-D4107",4,18.2,200,"P7","P96"
"57","D4040","6_a","P9","A8","P11","A1","P8","P10",72.671,"E4","D4012-D4107",2.8,19.4,200,"P7","P96"
"58","D4041","6_a","P9","B8","P11","A1","P8","P10",34.184,"F4","D4012-D4107",5.9,16.3,200,"P7","P96"
"59","D4042","6_a","P9","C8","P11","A1","P8","P10",24.303,"G4","D4012-D4107",8.2,14,200,"P7","P96"
"60","D4043","6_a","P9","D8","P11","A1","P8","P10",10.733,"H4","D4012-D4107",18.6,3.6,200,"P7","P96"
"61","D4045","6_a","P9","E8","P11","A1","P8","P10",28.622,"B5","D4012-D4107",7,15.2,200,"P7","P96"
"62","D4046","6_a","P9","F8","P11","A1","P8","P10",51.257,"C5","D4012-D4107",3.9,18.3,200,"P7","P96"
"63","D4047","6_a","P9","G8","P11","A1","P8","P10",58.932,"D5","D4012-D4107",3.4,18.8,200,"P7","P96"
"64","D4048","6_a","P9","H8","P11","A1","P8","P10",55.609,"E5","D4012-D4107",3.6,18.6,200,"P7","P96"
"65","D4049","6_a","P9","A9","P11","A1","P8","P10",15.4,"F5","D4012-D4107",13,9.2,200,"P7","P96"
"66","D4050","6_a","P9","B9","P11","A1","P8","P10",9.085,"G5","D4012-D4107",22,0.2,200,"P7","P96"
"67","D4052","6_a","P9","C9","P11","A1","P8","P10",9.958,"A6","D4012-D4107",20.1,2.1,200,"P7","P96"
"68","D4054","6_a","P9","D9","P11","A1","P8","P10",9.044,"C6","D4012-D4107",22.1,0.1,200,"P7","P96"
"69","D4055","6_a","P9","E9","P11","A1","P8","P10",11.648,"D6","D4012-D4107",17.2,5,200,"P7","P96"
"70","D4056","6_a","P9","F9","P11","A1","P8","P10",20.983,"E6","D4012-D4107",9.5,12.7,200,"P7","P96"
"71","D4057","6_a","P9","G9","P11","A1","P8","P10",48.932,"F6","D4012-D4107",4.1,18.1,200,"P7","P96"
"72","D4059","6_a","P9","H9","P11","A1","P8","P10",22.755,"H6","D4012-D4107",8.8,13.4,200,"P7","P96"
"73","D4060","6_a","P9","A10","P11","A1","P8","P10",57.981,"A7","D4012-D4107",3.4,18.8,200,"P7","P96"
"74","D4061","6_a","P9","B10","P11","A1","P8","P10",29.115,"B7","D4012-D4107",6.9,15.3,200,"P7","P96"
"75","D4063","6_a","P9","C10","P11","A1","P8","P10",17.211,"D7","D4012-D4107",11.6,10.6,200,"P7","P96"
"76","D4064","6_a","P9","D10","P11","A1","P8","P10",80.938,"E7","D4012-D4107",2.5,19.7,200,"P7","P96"
"77","D4065","6_a","P9","E10","P11","A1","P8","P10",38.62,"F7","D4012-D4107",5.2,17,200,"P7","P96"
"78","D4066","6_a","P9","F10","P11","A1","P8","P10",21.757,"G7","D4012-D4107",9.2,13,200,"P7","P96"
"79","D4067","6_a","P9","G10","P11","A1","P8","P10",17.858,"H7","D4012-D4107",11.2,11,200,"P7","P96"
"80","D4068","6_a","P9","H10","P11","A1","P8","P10",91.772,"A8","D4012-D4107",2.2,20,200,"P7","P96"
"81","D4069","6_a","P9","A11","P11","A1","P8","P10",18.537,"B8","D4012-D4107",10.8,11.4,200,"P7","P96"
"82","D4070","6_a","P9","B11","P11","A1","P8","P10",18.624,"C8","D4012-D4107",10.7,11.5,200,"P7","P96"
"83","D4071","6_a","P9","C11","P11","A1","P8","P10",37.702,"D8","D4012-D4107",5.3,16.9,200,"P7","P96"
"84","D4073","6_a","P9","D11","P11","A1","P8","P10",26.308,"F8","D4012-D4107",7.6,14.6,200,"P7","P96"
"85","D4074","6_a","P9","E11","P11","A1","P8","P10",60.391,"G8","D4012-D4107",3.3,18.9,200,"P7","P96"
"86","D4075","6_a","P9","F11","P11","A1","P8","P10",21.785,"H8","D4012-D4107",9.2,13,200,"P7","P96"
"87","D4076","6_a","P9","G11","P11","A1","P8","P10",21.706,"A9","D4012-D4107",9.2,13,200,"P7","P96"
"88","D4078","6_a","P9","H11","P11","A1","P8","P10",11.112,"C9","D4012-D4107",18,4.2,200,"P7","P96"
"89","D4079","6_a","P9","A12","P11","A1","P8","P10",21.322,"D9","D4012-D4107",9.4,12.8,200,"P7","P96"
"90","D4080","6_a","P9","B12","P11","A1","P8","P10",84.857,"E9","D4012-D4107",2.4,19.8,200,"P7","P96"
"91","D4081","6_a","P9","C12","P11","A1","P8","P10",26.165,"F9","D4012-D4107",7.6,14.6,200,"P7","P96"
"92","D4082","6_a","P9","D12","P11","A1","P8","P10",11.813,"G9","D4012-D4107",16.9,5.3,200,"P7","P96"
"93","D4083","6_a","P9","E12","P11","A1","P8","P10",11.862,"H9","D4012-D4107",16.9,5.3,200,"P7","P96"
"94","D4084","6_a","P9","F12","P11","A1","P8","P10",15.356,"A10","D4012-D4107",13,9.2,200,"P7","P96"
"95","D4085","6_a","P9","G12","P11","A1","P8","P10",29.699,"B10","D4012-D4107",6.7,15.5,200,"P7","P96"
"96","D4086","6_a","P9","H12","P11","A1","P8","P10",9.733,"C10","D4012-D4107",20.5,1.7,200,"P7","P96"
