"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D3673","19_c","P9","B10","P11","A1","P8","P10",5.549,"F6","D3628-D3723",18,4.2,100,"P5","P122"
"2","D3690","19_c","P9","C10","P11","A1","P8","P10",4.847,"G8","D3628-D3723",20.6,1.6,100,"P5","P122"
"3","D3693","19_c","P9","D10","P11","A1","P8","P10",6.057,"B9","D3628-D3723",16.5,5.7,100,"P5","P122"
"4","D3707","19_c","P9","E10","P11","A1","P8","P10",5.349,"H10","D3628-D3723",18.7,3.5,100,"P5","P122"
"5","D3769","19_c","P9","F10","P11","A1","P8","P10",5.549,"F6","D3724-D3819",18,4.2,100,"P6","P122"
"6","D3786","19_c","P9","G10","P11","A1","P8","P10",4.847,"G8","D3724-D3819",20.6,1.6,100,"P6","P122"
"7","D3789","19_c","P9","H10","P11","A1","P8","P10",6.057,"B9","D3724-D3819",16.5,5.7,100,"P6","P122"
"8","D3803","19_c","P9","A11","P11","A1","P8","P10",5.349,"H10","D3724-D3819",18.7,3.5,100,"P6","P122"
"9","D3922","19_c","P9","B11","P11","A1","P8","P10",5.14,"G1","D3916-D4011",19.5,2.7,100,"P7","P122"
"10","D3938","19_c","P9","C11","P11","A1","P8","P10",5.875,"G3","D3916-D4011",17,5.2,100,"P7","P122"
"11","D3951","19_c","P9","D11","P11","A1","P8","P10",6.673,"D5","D3916-D4011",15,7.2,100,"P7","P122"
"12","D3953","19_c","P9","E11","P11","A1","P8","P10",6.52,"F5","D3916-D4011",15.3,6.9,100,"P7","P122"
"13","D3955","19_c","P9","F11","P11","A1","P8","P10",4.961,"H5","D3916-D4011",20.2,2,100,"P7","P122"
"14","D3956","19_c","P9","G11","P11","A1","P8","P10",6.701,"A6","D3916-D4011",14.9,7.3,100,"P7","P122"
"15","D3957","19_c","P9","H11","P11","A1","P8","P10",5.863,"B6","D3916-D4011",17.1,5.1,100,"P7","P122"
"16","D3965","19_c","P9","A12","P11","A1","P8","P10",6.72,"B7","D3916-D4011",14.9,7.3,100,"P7","P122"
"17","D3968","19_c","P9","B12","P11","A1","P8","P10",4.546,"E7","D3916-D4011",22,0.2,100,"P7","P122"
"18","D3971","19_c","P9","C12","P11","A1","P8","P10",4.92,"H7","D3916-D4011",20.3,1.9,100,"P7","P122"
"19","D4004","19_c","P9","D12","P11","A1","P8","P10",6.661,"A12","D3916-D4011",15,7.2,100,"P7","P122"
"20","D4017","19_c","P9","E12","P11","A1","P8","P10",5.126,"F1","D4012-D4107",19.5,2.7,100,"P12","P122"
"21","D4022","19_c","P9","F12","P11","A1","P8","P10",5.223,"C2","D4012-D4107",19.1,3.1,100,"P12","P122"
"22","D4034","19_c","P9","G12","P11","A1","P8","P10",6.19,"G3","D4012-D4107",16.2,6,100,"P12","P122"
"23","D4053","19_c","P9","H12","P11","A1","P8","P10",4.587,"B6","D4012-D4107",21.8,0.4,100,"P12","P122"
