"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4601","2_a","P9","A1","P11","A1","P8","P10",11.131,"D2","D4588-D4613",18,4.2,200,"P5","P87"
"2","D3479","2_a","P9","B1","P11","A1","P8","P10",10.102,"D6","D3436-D3531",19.8,2.4,200,"P6","P87"
"3","D3484","2_a","P9","C1","P11","A1","P8","P10",9.492,"A7","D3436-D3531",21.1,1.1,200,"P6","P87"
"4","D3485","2_a","P9","D1","P11","A1","P8","P10",21.579,"B7","D3436-D3531",9.3,12.9,200,"P6","P87"
"5","D3486","2_a","P9","E1","P11","A1","P8","P10",20.336,"C7","D3436-D3531",9.8,12.4,200,"P6","P87"
"6","D3488","2_a","P9","F1","P11","A1","P8","P10",28.283,"E7","D3436-D3531",7.1,15.1,200,"P6","P87"
"7","D3489","2_a","P9","G1","P11","A1","P8","P10",18.502,"F7","D3436-D3531",10.8,11.4,200,"P6","P87"
"8","D3490","2_a","P9","H1","P11","A1","P8","P10",14.881,"G7","D3436-D3531",13.4,8.8,200,"P6","P87"
"9","D3491","2_a","P9","A2","P11","A1","P8","P10",16.523,"H7","D3436-D3531",12.1,10.1,200,"P6","P87"
"10","D3493","2_a","P9","B2","P11","A1","P8","P10",23.492,"B8","D3436-D3531",8.5,13.7,200,"P6","P87"
"11","D3494","2_a","P9","C2","P11","A1","P8","P10",19.424,"C8","D3436-D3531",10.3,11.9,200,"P6","P87"
"12","D3495","2_a","P9","D2","P11","A1","P8","P10",20.218,"D8","D3436-D3531",9.9,12.3,200,"P6","P87"
"13","D3497","2_a","P9","E2","P11","A1","P8","P10",35.151,"F8","D3436-D3531",5.7,16.5,200,"P6","P87"
"14","D3498","2_a","P9","F2","P11","A1","P8","P10",26.661,"G8","D3436-D3531",7.5,14.7,200,"P6","P87"
"15","D3499","2_a","P9","G2","P11","A1","P8","P10",20.227,"H8","D3436-D3531",9.9,12.3,200,"P6","P87"
"16","D3500","2_a","P9","H2","P11","A1","P8","P10",70.098,"A9","D3436-D3531",2.9,19.3,200,"P6","P87"
"17","D3501","2_a","P9","A3","P11","A1","P8","P10",51.932,"B9","D3436-D3531",3.9,18.3,200,"P6","P87"
"18","D3502","2_a","P9","B3","P11","A1","P8","P10",33.235,"C9","D3436-D3531",6,16.2,200,"P6","P87"
"19","D3503","2_a","P9","C3","P11","A1","P8","P10",20.925,"D9","D3436-D3531",9.6,12.6,200,"P6","P87"
"20","D3505","2_a","P9","D3","P11","A1","P8","P10",46.772,"F9","D3436-D3531",4.3,17.9,200,"P6","P87"
"21","D3507","2_a","P9","E3","P11","A1","P8","P10",27.273,"H9","D3436-D3531",7.3,14.9,200,"P6","P87"
"22","D3508","2_a","P9","F3","P11","A1","P8","P10",53.087,"A10","D3436-D3531",3.8,18.4,200,"P6","P87"
"23","D3509","2_a","P9","G3","P11","A1","P8","P10",22.164,"B10","D3436-D3531",9,13.2,200,"P6","P87"
"24","D3510","2_a","P9","H3","P11","A1","P8","P10",33.576,"C10","D3436-D3531",6,16.2,200,"P6","P87"
"25","D3514","2_a","P9","A4","P11","A1","P8","P10",15.613,"G10","D3436-D3531",12.8,9.4,200,"P6","P87"
"26","D3515","2_a","P9","B4","P11","A1","P8","P10",35.923,"H10","D3436-D3531",5.6,16.6,200,"P6","P87"
"27","D3516","2_a","P9","C4","P11","A1","P8","P10",28.464,"A11","D3436-D3531",7,15.2,200,"P6","P87"
