"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D3567","22_c","P9","D8","P11","A1","P8","P10",3.205,"D5","D3532-D3627",15.6,6.6,50,"P5","P128"
"2","D3577","22_c","P9","E8","P11","A1","P8","P10",3.026,"F6","D3532-D3627",16.5,5.7,50,"P5","P128"
"3","D3626","22_c","P9","F8","P11","A1","P8","P10",2.496,"G12","D3532-D3627",20,2.2,50,"P5","P128"
"4","D3629","22_c","P9","G8","P11","A1","P8","P10",2.705,"B1","D3628-D3723",18.5,3.7,50,"P6","P128"
"5","D3655","22_c","P9","H8","P11","A1","P8","P10",2.713,"D4","D3628-D3723",18.4,3.8,50,"P6","P128"
"6","D3672","22_c","P9","A9","P11","A1","P8","P10",2.692,"E6","D3628-D3723",18.6,3.6,50,"P6","P128"
"7","D3685","22_c","P9","B9","P11","A1","P8","P10",3.112,"B8","D3628-D3723",16.1,6.1,50,"P6","P128"
"8","D3751","22_c","P9","C9","P11","A1","P8","P10",2.713,"D4","D3724-D3819",18.4,3.8,50,"P7","P128"
"9","D3768","22_c","P9","D9","P11","A1","P8","P10",2.692,"E6","D3724-D3819",18.6,3.6,50,"P7","P128"
"10","D3781","22_c","P9","E9","P11","A1","P8","P10",3.112,"B8","D3724-D3819",16.1,6.1,50,"P7","P128"
"11","D4020","22_c","P9","F9","P11","A1","P8","P10",2.35,"A2","D4012-D4107",21.3,0.9,50,"P12","P128"
"12","D4091","22_c","P9","G9","P11","A1","P8","P10",2.734,"H10","D4012-D4107",18.3,3.9,50,"P12","P128"
"13","D4093","22_c","P9","H9","P11","A1","P8","P10",2.873,"B11","D4012-D4107",17.4,4.8,50,"P12","P128"
"14","D4104","22_c","P9","A10","P11","A1","P8","P10",2.699,"E12","D4012-D4107",18.5,3.7,50,"P12","P128"
