"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","notes","uL_in","water","DNA","source_loc","pool"
"1","D3628","1_a","P12","A1","P11","A1","P8","P10",29.849,"A1","D3628-D3723",NA,6.7,4.4,200,"P5","P75"
"2","D3630","1_a","P12","B1","P11","A1","P8","P10",44.79,"C1","D3628-D3723",NA,4.5,6.6,200,"P5","P75"
"3","D3631","1_a","P12","C1","P11","A1","P8","P10",30.799,"D1","D3628-D3723",NA,6.5,4.6,200,"P5","P75"
"4","D3632","1_a","P12","D1","P11","A1","P8","P10",26.82,"E1","D3628-D3723",NA,7.5,3.6,200,"P5","P75"
"5","D3636","1_a","P12","E1","P11","A1","P8","P10",19.965,"A2","D3628-D3723",NA,10,1.1,200,"P5","P75"
"6","D3638","1_a","P12","F1","P11","A1","P8","P10",25.003,"C2","D3628-D3723",NA,8,3.1,200,"P5","P75"
"7","D3641","1_a","P12","G1","P11","A1","P8","P10",20.399,"F2","D3628-D3723",NA,9.8,1.3,200,"P5","P75"
"8","D3642","1_a","P12","H1","P11","A1","P8","P10",33.69,"G2","D3628-D3723",NA,5.9,5.2,200,"P5","P75"
"9","D3644","1_a","P12","A2","P11","A1","P8","P10",37.11,"A3","D3628-D3723",NA,5.4,5.7,200,"P5","P75"
"10","D3645","1_a","P12","B2","P11","A1","P8","P10",78.542,"B3","D3628-D3723",NA,2.5,8.6,200,"P5","P75"
"11","D3646","1_a","P12","C2","P11","A1","P8","P10",51.965,"C3","D3628-D3723",NA,3.8,7.3,200,"P5","P75"
"12","D3647","1_a","P12","D2","P11","A1","P8","P10",30.038,"D3","D3628-D3723",NA,6.7,4.4,200,"P5","P75"
"13","D3650","1_a","P12","E2","P11","A1","P8","P10",44.736,"G3","D3628-D3723",NA,4.5,6.6,200,"P5","P75"
"14","D3651","1_a","P12","F2","P11","A1","P8","P10",44.445,"H3","D3628-D3723",NA,4.5,6.6,200,"P5","P75"
"15","D3652","1_a","P12","G2","P11","A1","P8","P10",40.894,"A4","D3628-D3723",NA,4.9,6.2,200,"P5","P75"
"16","D3654","1_a","P12","H2","P11","A1","P8","P10",35.458,"C4","D3628-D3723",NA,5.6,5.5,200,"P5","P75"
"17","D3656","1_a","P12","A3","P11","A1","P8","P10",26.81,"E4","D3628-D3723",NA,7.5,3.6,200,"P5","P75"
"18","D3658","1_a","P12","B3","P11","A1","P8","P10",19.179,"G4","D3628-D3723",NA,10.4,0.7,200,"P5","P75"
"19","D3660","1_a","P12","C3","P11","A1","P8","P10",57.014,"A5","D3628-D3723",NA,3.5,7.6,200,"P5","P75"
"20","D3661","1_a","P12","D3","P11","A1","P8","P10",43.593,"B5","D3628-D3723",NA,4.6,6.5,200,"P5","P75"
"21","D3664","1_a","P12","E3","P11","A1","P8","P10",32.741,"E5","D3628-D3723",NA,6.1,5,200,"P5","P75"
"22","D3666","1_a","P12","F3","P11","A1","P8","P10",31.327,"G5","D3628-D3723",NA,6.4,4.7,200,"P5","P75"
"23","D3667","1_a","P12","G3","P11","A1","P8","P10",35.406,"H5","D3628-D3723",NA,5.6,5.5,200,"P5","P75"
"24","D3670","1_a","P12","H3","P11","A1","P8","P10",19.804,"C6","D3628-D3723",NA,10.1,1,200,"P5","P75"
"25","D3676","1_a","P12","A4","P11","A1","P8","P10",19.337,"A7","D3628-D3723",NA,10.3,0.8,200,"P5","P75"
"26","D3677","1_a","P12","B4","P11","A1","P8","P10",21.281,"B7","D3628-D3723",NA,9.4,1.7,200,"P5","P75"
"27","D3681","1_a","P12","C4","P11","A1","P8","P10",18.822,"F7","D3628-D3723",NA,10.6,0.5,200,"P5","P75"
"28","D3683","1_a","P12","D4","P11","A1","P8","P10",34.763,"H7","D3628-D3723",NA,5.8,5.3,200,"P5","P75"
"29","D3684","1_a","P12","E4","P11","A1","P8","P10",57.174,"A8","D3628-D3723",NA,3.5,7.6,200,"P5","P75"
"30","D3686","1_a","P12","F4","P11","A1","P8","P10",23.607,"C8","D3628-D3723",NA,8.5,2.6,200,"P5","P75"
"31","D3691","1_a","P12","G4","P11","A1","P8","P10",40.022,"H8","D3628-D3723",NA,5,6.1,200,"P5","P75"
"32","D3692","1_a","P12","H4","P11","A1","P8","P10",32.504,"A9","D3628-D3723",NA,6.2,4.9,200,"P5","P75"
"33","D3694","1_a","P12","A5","P11","A1","P8","P10",22.986,"C9","D3628-D3723",NA,8.7,2.4,200,"P5","P75"
"34","D3695","1_a","P12","B5","P11","A1","P8","P10",24.596,"D9","D3628-D3723",NA,8.1,3,200,"P5","P75"
"35","D3699","1_a","P12","C5","P11","A1","P8","P10",20.55,"H9","D3628-D3723",NA,9.7,1.4,200,"P5","P75"
"36","D3700","1_a","P12","D5","P11","A1","P8","P10",38.058,"A10","D3628-D3723",NA,5.3,5.8,200,"P5","P75"
"37","D3702","1_a","P12","E5","P11","A1","P8","P10",18.546,"C10","D3628-D3723",NA,10.8,0.3,200,"P5","P75"
"38","D3708","1_a","P12","F5","P11","A1","P8","P10",30.968,"A11","D3628-D3723",NA,6.5,4.6,200,"P5","P75"
"39","D3711","1_a","P12","G5","P11","A1","P8","P10",68.02,"D11","D3628-D3723","Requantified on 12-04-2017, original quant was 0.47",2.9,8.2,200,"P5","P75"
"40","D3717","1_a","P12","H5","P11","A1","P8","P10",23.082,"B12","D3628-D3723",NA,8.7,2.4,200,"P5","P75"
"41","D3718","1_a","P12","A6","P11","A1","P8","P10",31.643,"C12","D3628-D3723",NA,6.3,4.8,200,"P5","P75"
"42","D4667","1_a","P12","B6","P11","A1","P8","P10",85.8,"B9","D4614-D4697",NA,2.3,8.8,200,"P6","P75"
"43","D4668","1_a","P12","C6","P11","A1","P8","P10",112.8,"C9","D4614-D4697",NA,1.8,9.3,200,"P6","P75"
"44","D4672","1_a","P12","D6","P11","A1","P8","P10",52.2,"G9","D4614-D4697",NA,3.8,7.3,200,"P6","P75"
"45","D4676","1_a","P12","E6","P11","A1","P8","P10",88.2,"C10","D4614-D4697",NA,2.3,8.8,200,"P6","P75"
"46","D4681","1_a","P12","F6","P11","A1","P8","P10",56.2,"H10","D4614-D4697",NA,3.6,7.5,200,"P6","P75"
"47","D4690","1_a","P12","G6","P11","A1","P8","P10",82.8,"A12","D4614-D4697",NA,2.4,8.7,200,"P6","P75"
"48","D4702","1_a","P12","H6","P11","A1","P8","P10",23.2,"E1","D4698-D4793",NA,8.6,2.5,200,"P7","P75"
"49","D4707","1_a","P12","A7","P11","A1","P8","P10",19.94,"B2","D4698-D4793",NA,10,1.1,200,"P7","P76"
