"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D4602","7_a","P9","A1","P11","A1","P8","P10",31.553,"E2","D4588-D4613",6.3,15.9,200,"P5","P97"
"2","D4087","7_a","P9","B1","P11","A1","P8","P10",47.018,"D10","D4012-D4107",4.3,17.9,200,"P6","P97"
"3","D4088","7_a","P9","C1","P11","A1","P8","P10",9.851,"E10","D4012-D4107",20.3,1.9,200,"P6","P97"
"4","D4089","7_a","P9","D1","P11","A1","P8","P10",14.649,"F10","D4012-D4107",13.7,8.5,200,"P6","P97"
"5","D4090","7_a","P9","E1","P11","A1","P8","P10",42.774,"G10","D4012-D4107",4.7,17.5,200,"P6","P97"
"6","D4094","7_a","P9","F1","P11","A1","P8","P10",14.007,"C11","D4012-D4107",14.3,7.9,200,"P6","P97"
"7","D4096","7_a","P9","G1","P11","A1","P8","P10",34.647,"E11","D4012-D4107",5.8,16.4,200,"P6","P97"
"8","D4097","7_a","P9","H1","P11","A1","P8","P10",31.348,"F11","D4012-D4107",6.4,15.8,200,"P6","P97"
"9","D4098","7_a","P9","A2","P11","A1","P8","P10",10.197,"G11","D4012-D4107",19.6,2.6,200,"P6","P97"
"10","D4099","7_a","P9","B2","P11","A1","P8","P10",48.486,"H11","D4012-D4107",4.1,18.1,200,"P6","P97"
"11","D4100","7_a","P9","C2","P11","A1","P8","P10",89.965,"A12","D4012-D4107",2.2,20,200,"P6","P97"
"12","D4101","7_a","P9","D2","P11","A1","P8","P10",16.507,"B12","D4012-D4107",12.1,10.1,200,"P6","P97"
"13","D4102","7_a","P9","E2","P11","A1","P8","P10",24.455,"C12","D4012-D4107",8.2,14,200,"P6","P97"
"14","D4103","7_a","P9","F2","P11","A1","P8","P10",23.302,"D12","D4012-D4107",8.6,13.6,200,"P6","P97"
"15","D4105","7_a","P9","G2","P11","A1","P8","P10",35.465,"F12","D4012-D4107",5.6,16.6,200,"P6","P97"
"16","D4106","7_a","P9","H2","P11","A1","P8","P10",33.537,"G12","D4012-D4107",6,16.2,200,"P6","P97"
"17","D4107","7_a","P9","A3","P11","A1","P8","P10",13.255,"H12","D4012-D4107",15.1,7.1,200,"P6","P97"
"18","D4108","7_a","P9","B3","P11","A1","P8","P10",39.374,"A1","D4108-D4203",5.1,17.1,200,"P7","P97"
"19","D4109","7_a","P9","C3","P11","A1","P8","P10",46.989,"B1","D4108-D4203",4.3,17.9,200,"P7","P97"
"20","D4110","7_a","P9","D3","P11","A1","P8","P10",35.604,"C1","D4108-D4203",5.6,16.6,200,"P7","P97"
"21","D4111","7_a","P9","E3","P11","A1","P8","P10",27.534,"D1","D4108-D4203",7.3,14.9,200,"P7","P97"
"22","D4113","7_a","P9","F3","P11","A1","P8","P10",33.381,"F1","D4108-D4203",6,16.2,200,"P7","P97"
"23","D4114","7_a","P9","G3","P11","A1","P8","P10",12.399,"G1","D4108-D4203",16.1,6.1,200,"P7","P97"
"24","D4116","7_a","P9","H3","P11","A1","P8","P10",139.907,"A2","D4108-D4203",1.4,20.8,200,"P7","P97"
"25","D4118","7_a","P9","A4","P11","A1","P8","P10",16.912,"C2","D4108-D4203",11.8,10.4,200,"P7","P97"
"26","D4120","7_a","P9","B4","P11","A1","P8","P10",139.298,"E2","D4108-D4203",1.4,20.8,200,"P7","P97"
"27","D4122","7_a","P9","C4","P11","A1","P8","P10",39.343,"G2","D4108-D4203",5.1,17.1,200,"P7","P97"
"28","D4123","7_a","P9","D4","P11","A1","P8","P10",37.369,"H2","D4108-D4203",5.4,16.8,200,"P7","P97"
"29","D4124","7_a","P9","E4","P11","A1","P8","P10",11.79,"A3","D4108-D4203",17,5.2,200,"P7","P97"
