"","digest_id","round","dest_loc","dest_well","water_loc","water_well","tip1_loc","tip2_loc","quant","source_well","source_plate","uL_in","water","DNA","source_loc","pool"
"1","D3485","1_a","P12","A1","P11","A1","P8","P10",21.579,"B7","D3436-D3531",9.3,1.8,200,"P5","P75"
"2","D3486","1_a","P12","B1","P11","A1","P8","P10",20.336,"C7","D3436-D3531",9.8,1.3,200,"P5","P75"
"3","D3488","1_a","P12","C1","P11","A1","P8","P10",28.283,"E7","D3436-D3531",7.1,4,200,"P5","P75"
"4","D3489","1_a","P12","D1","P11","A1","P8","P10",18.502,"F7","D3436-D3531",10.8,0.3,200,"P5","P75"
"5","D3493","1_a","P12","E1","P11","A1","P8","P10",23.492,"B8","D3436-D3531",8.5,2.6,200,"P5","P75"
"6","D3494","1_a","P12","F1","P11","A1","P8","P10",19.424,"C8","D3436-D3531",10.3,0.8,200,"P5","P75"
"7","D3495","1_a","P12","G1","P11","A1","P8","P10",20.218,"D8","D3436-D3531",9.9,1.2,200,"P5","P75"
"8","D3497","1_a","P12","H1","P11","A1","P8","P10",35.151,"F8","D3436-D3531",5.7,5.4,200,"P5","P75"
"9","D3498","1_a","P12","A2","P11","A1","P8","P10",26.661,"G8","D3436-D3531",7.5,3.6,200,"P5","P75"
"10","D3499","1_a","P12","B2","P11","A1","P8","P10",20.227,"H8","D3436-D3531",9.9,1.2,200,"P5","P75"
"11","D3500","1_a","P12","C2","P11","A1","P8","P10",70.098,"A9","D3436-D3531",2.9,8.2,200,"P5","P75"
"12","D3501","1_a","P12","D2","P11","A1","P8","P10",51.932,"B9","D3436-D3531",3.9,7.2,200,"P5","P75"
"13","D3502","1_a","P12","E2","P11","A1","P8","P10",33.235,"C9","D3436-D3531",6,5.1,200,"P5","P75"
"14","D3503","1_a","P12","F2","P11","A1","P8","P10",20.925,"D9","D3436-D3531",9.6,1.5,200,"P5","P75"
"15","D3505","1_a","P12","G2","P11","A1","P8","P10",46.772,"F9","D3436-D3531",4.3,6.8,200,"P5","P75"
"16","D3507","1_a","P12","H2","P11","A1","P8","P10",27.273,"H9","D3436-D3531",7.3,3.8,200,"P5","P75"
"17","D3508","1_a","P12","A3","P11","A1","P8","P10",53.087,"A10","D3436-D3531",3.8,7.3,200,"P5","P75"
"18","D3509","1_a","P12","B3","P11","A1","P8","P10",22.164,"B10","D3436-D3531",9,2.1,200,"P5","P75"
"19","D3510","1_a","P12","C3","P11","A1","P8","P10",33.576,"C10","D3436-D3531",6,5.1,200,"P5","P75"
"20","D3515","1_a","P12","D3","P11","A1","P8","P10",35.923,"H10","D3436-D3531",5.6,5.5,200,"P5","P75"
"21","D3516","1_a","P12","E3","P11","A1","P8","P10",28.464,"A11","D3436-D3531",7,4.1,200,"P5","P75"
"22","D3517","1_a","P12","F3","P11","A1","P8","P10",53.6,"B11","D3436-D3531",3.7,7.4,200,"P5","P75"
"23","D3518","1_a","P12","G3","P11","A1","P8","P10",24.405,"C11","D3436-D3531",8.2,2.9,200,"P5","P75"
"24","D3519","1_a","P12","H3","P11","A1","P8","P10",18.468,"D11","D3436-D3531",10.8,0.3,200,"P5","P75"
"25","D3520","1_a","P12","A4","P11","A1","P8","P10",60.906,"E11","D3436-D3531",3.3,7.8,200,"P5","P75"
"26","D3521","1_a","P12","B4","P11","A1","P8","P10",37.785,"F11","D3436-D3531",5.3,5.8,200,"P5","P75"
"27","D3522","1_a","P12","C4","P11","A1","P8","P10",41.327,"G11","D3436-D3531",4.8,6.3,200,"P5","P75"
"28","D3524","1_a","P12","D4","P11","A1","P8","P10",22.447,"A12","D3436-D3531",8.9,2.2,200,"P5","P75"
"29","D3535","1_a","P12","E4","P11","A1","P8","P10",26.125,"D1","D3532-D3627",7.7,3.4,200,"P6","P75"
"30","D3536","1_a","P12","F4","P11","A1","P8","P10",25.748,"E1","D3532-D3627",7.8,3.3,200,"P6","P75"
"31","D3538","1_a","P12","G4","P11","A1","P8","P10",29.952,"G1","D3532-D3627",6.7,4.4,200,"P6","P75"
