"","Second.Sample_ID","First.Sample_ID","Second.Extraction_ID","First.Extraction_ID","Second.Digest_ID","First.Digest_ID","Second.ID","First.ID","Loci.typed","Loci.typed.1","Matching.loci","Mismatching.loci","pID","pIDsib","Status","Mismatch.prop","First.Lat","First.Lon","First.Date","First.Size","Second.Lat","Second.Lon","Second.Date","Second.Size","date_eval","distkm","disteval"
"1","APCL12_022","APCL13_018","E1687","E0144","D1821","D0796","L1733","L0465",725,809,699,26,0,0,"Fuzzy match",0.0358620689655172,NA,NA,2013-05-22,NA,10.744037,124.786275,2012-05-06,10.6,NA,NA,NA
"2","APCL12_026","APCL14_005","E1691","E0790","D2266","D1038","L2463","L0721",809,809,798,11,0,0,"Fuzzy match",0.0135970333745365,10.743582,124.786624,2014-06-07,11,10.743827,124.786353,2012-05-06,11.5,NA,0.040232409930591,NA
"3","APCL12_029","APCL14_003","E1694","E0788","D2269","D1036","L2554","L0719",803,808,788,15,0,0,"Fuzzy match",0.0186799501867995,10.743886,124.786347,2014-06-07,9.9,10.744037,124.786275,2012-05-06,10.4,NA,0.0185415709545387,NA
"4","APCL12_029","APCL13_510","E1694","E0633","D2269","D1934","L2554","L2238",774,808,759,15,0,0,"Fuzzy match",0.0193798449612403,10.74427,124.786506,2013-06-01,10.4,10.744037,124.786275,2012-05-06,10.4,NA,0.0361674829104613,NA
"5","APCL12_062","APCL13_244","E1727","E0367","D2524","D0580","L2415","L0277",806,754,714,37,0,0,"Fuzzy match",0.0492676431424767,10.874275,124.710654,2013-05-27,8.7,10.874088,124.710568,2012-05-09,7.1,NA,0.0228156996469717,NA
"6","APCL12_063","APCL13_252","E1728","E0375","D2525","D0588","L2563","L0285",809,808,804,4,0,0,"Fuzzy match",0.00495049504950495,10.874096,124.710724,2013-05-27,7.5,10.874088,124.710568,2012-05-09,3.4,NA,0.0170580001223692,NA
"7","APCL12_068","APCL13_199","E1733","E0322","D2530","D0535","L2472","L1624",794,808,777,17,0,0,"Fuzzy match",0.0214105793450882,10.873672,124.711505,2013-05-27,4,10.87375,124.711281,2012-05-09,3,NA,0.0259526087994752,NA
"8","APCL12_077","APCL13_462","E1742","E0585","D2537","D0798","L2265","L1268",808,721,687,33,0,0,"Fuzzy match",0.0458333333333333,10.873783,124.710859,2013-05-31,9.7,10.873966,124.710988,2012-05-09,8,NA,0.0247488146375045,NA
"9","APCL12_078","APCL13_188","E1743","E0312","D2538","D0525","L2364","L1622",807,798,783,15,0,0,"Fuzzy match",0.018796992481203,10.87405,124.711052,2013-05-27,5.3,NA,NA,NA,NA,NA,NA,NA
"10","APCL12_096","APCL13_471","E1761","E0594","D2544","D0807","L2268","L0655",804,784,746,34,0,0,"Fuzzy match",0.0435897435897436,10.873162,124.711683,2013-05-31,10.3,10.873054,124.711572,2012-05-09,7.4,NA,0.0170627546711879,NA
"11","APCL12_098","APCL13_484","E1763","E0607","D1845","D0820","L2213","L1311",809,768,750,18,0,0,"Fuzzy match",0.0234375,10.873114,124.711957,2013-05-31,10.5,10.87332,124.712191,2012-05-09,10.3,NA,0.0343164511355498,NA
"12","APCL12_100","APCL13_283","E1765","E0406","D2546","D0619","L2269","L0315",808,776,755,20,0,0,"Fuzzy match",0.0258064516129032,10.871764,124.713877,2013-05-28,8.7,10.871839,124.713874,2012-05-09,6.4,NA,0.00834621122260811,NA
"13","APCL12_105","APCL13_278","E1770","E0401","D1849","D0614","L1766","L0311",807,802,793,9,0,0,"Fuzzy match",0.0112219451371571,10.87184,124.713809,2013-05-28,9.7,10.871856,124.713827,2012-05-09,9.6,NA,0.00265309764892233,NA
"14","APCL12_112","APCL13_315","E1777","E0438","D2549","D0651","L2368","L0346",809,808,801,7,0,0,"Fuzzy match",0.00866336633663366,10.871531,124.714122,2013-05-28,7.9,10.871794,124.713933,2012-05-09,3.8,NA,0.0357935031203972,NA
"15","APCL12_128","APCL12_080","E1793","E1745","D2553","D2540","L2421","L2420",809,778,754,24,0,0,"Fuzzy match",0.0308483290488432,10.873701,124.711422,2012-05-09,4.7,10.855198,124.726995,2012-05-10,5.4,NA,2.66928831192558,"FAIL"
"16","APCL12_132","APCL13_377","E1797","E0500","D2557","D0713","L2273","L0390",798,719,665,44,0,0,"Fuzzy match",0.0620592383638928,10.856276,124.725792,2013-05-29,10.2,10.856315,124.725846,2012-05-10,9.1,NA,0.00731987470557897,NA
"17","APCL12_133","APCL13_375","E1798","E0498","D2558","D0711","L2372","L0388",804,802,781,16,0,0,"Fuzzy match",0.0200752823086575,10.856276,124.725792,2013-05-29,9.2,10.856315,124.725846,2012-05-10,8.3,NA,0.00731987470557897,NA
"18","APCL12_134","APCL13_365","E1799","E0488","D2559","D0701","L2373","L0379",808,788,762,25,0,0,"Fuzzy match",0.0317662007623888,10.85624,124.725881,2013-05-29,8.2,10.856315,124.725846,2012-05-10,7,NA,0.00917440494856333,NA
"19","APCL12_139","APCL14_204","E1804","E0970","D2563","D1071","L2374","L0930",798,802,714,77,0,0,"Fuzzy match",0.0973451327433628,10.856591,124.725692,2014-06-18,10.2,10.85654,124.725675,2012-05-10,9.8,NA,0.00596734617484047,NA
"20","APCL12_141","APCL13_379","E1806","E0502","D2565","D0715","L2375","L0391",809,798,781,17,0,0,"Fuzzy match",0.0213032581453634,10.856486,124.725728,2013-05-29,8.5,10.856714,124.725494,2012-05-10,8.5,NA,0.0359966308382352,NA
"21","APCL12_142","APCL13_384","E1807","E0507","D2566","D0720","L2476","L0395",808,806,791,14,0,0,"Fuzzy match",0.0173913043478261,10.856657,124.725367,2013-05-29,9,10.856732,124.725421,2012-05-10,8.2,NA,0.0102142616091225,NA
"22","APCL12_167","APCL13_355","E1831","E0478","D1873","D0691","L2226","L0372",808,775,753,21,0,0,"Fuzzy match",0.0271317829457364,10.858404,124.724475,2013-05-29,9.3,10.85841,124.724353,2012-05-10,5.6,NA,0.0133393384139683,NA
"23","APCL12_168","APCL13_356","E1832","E0479","D2586","D0692","L2481","L0373",809,809,808,1,0,0,"Fuzzy match",0.00123609394313968,10.85842,124.724361,2013-05-29,9.5,10.858395,124.724367,2012-05-10,5.1,NA,0.00285438094218417,NA
