full
dDocent_Contig_80
dDocent_Contig_435
dDocent_Contig_769
dDocent_Contig_1670
dDocent_Contig_1777
dDocent_Contig_1915
dDocent_Contig_4000
dDocent_Contig_4453
dDocent_Contig_4921
dDocent_Contig_5045
dDocent_Contig_5518
dDocent_Contig_5565
dDocent_Contig_6510
dDocent_Contig_7704
dDocent_Contig_8079
dDocent_Contig_9042
dDocent_Contig_10330
dDocent_Contig_10873
dDocent_Contig_13352
dDocent_Contig_13832
dDocent_Contig_13839
dDocent_Contig_15113
dDocent_Contig_15484
dDocent_Contig_15794
dDocent_Contig_16626
dDocent_Contig_16821
dDocent_Contig_17218
dDocent_Contig_17864
dDocent_Contig_18459
dDocent_Contig_18661
dDocent_Contig_20874
dDocent_Contig_21093
dDocent_Contig_21251
dDocent_Contig_25266
dDocent_Contig_25815
dDocent_Contig_26949
dDocent_Contig_27908
dDocent_Contig_28201
dDocent_Contig_28206
dDocent_Contig_28296
dDocent_Contig_30125
dDocent_Contig_31150
dDocent_Contig_31926
dDocent_Contig_33093
dDocent_Contig_34439
dDocent_Contig_35065
dDocent_Contig_35104
dDocent_Contig_37987
dDocent_Contig_42508
dDocent_Contig_44754
dDocent_Contig_46015
dDocent_Contig_46536
dDocent_Contig_49682
dDocent_Contig_51980
dDocent_Contig_52659
dDocent_Contig_52795
dDocent_Contig_53323
dDocent_Contig_54558
dDocent_Contig_57781
dDocent_Contig_58694
dDocent_Contig_58695
dDocent_Contig_58785
dDocent_Contig_59685
dDocent_Contig_64323
dDocent_Contig_64949
dDocent_Contig_67441
dDocent_Contig_68546
dDocent_Contig_71541
dDocent_Contig_71594
dDocent_Contig_72976
dDocent_Contig_76942
dDocent_Contig_80177
dDocent_Contig_81044
dDocent_Contig_83511
dDocent_Contig_89052
dDocent_Contig_94416
dDocent_Contig_101691
dDocent_Contig_102136
dDocent_Contig_128570
dDocent_Contig_128923
dDocent_Contig_136285
dDocent_Contig_147903
dDocent_Contig_153252
dDocent_Contig_166364
dDocent_Contig_171664
dDocent_Contig_179113
dDocent_Contig_191291
dDocent_Contig_196327
dDocent_Contig_207875
dDocent_Contig_265137
