"Plot Title: 10637793 Visca 5"
"#","Date Time, GMT+08:00","Temp, °F (LGR S/N: 10637793, SEN S/N: 10637793)","Coupler Detached (LGR S/N: 10637793)","Coupler Attached (LGR S/N: 10637793)","Host Connected (LGR S/N: 10637793)","Stopped (LGR S/N: 10637793)","End Of File (LGR S/N: 10637793)"
1,05/11/16 02:15:00 PM,86.891,Logged,,,,
2,05/11/16 02:45:00 PM,88.855,,,,,
3,05/11/16 03:15:00 PM,91.636,,,,,
4,05/11/16 03:45:00 PM,86.527,,,,,
5,05/11/16 04:15:00 PM,85.442,,,,,
6,05/11/16 04:45:00 PM,86.211,,,,,
7,05/11/16 05:15:00 PM,85.172,,,,,
8,05/11/16 05:45:00 PM,86.029,,,,,
9,05/11/16 06:15:00 PM,86.211,,,,,
10,05/11/16 06:45:00 PM,86.301,,,,,
11,05/11/16 07:15:00 PM,86.346,,,,,
12,05/11/16 07:45:00 PM,86.391,,,,,
13,05/11/16 08:15:00 PM,86.346,,,,,
14,05/11/16 08:45:00 PM,86.437,,,,,
15,05/11/16 09:15:00 PM,86.391,,,,,
16,05/11/16 09:45:00 PM,86.391,,,,,
17,05/11/16 10:15:00 PM,86.301,,,,,
18,05/11/16 10:45:00 PM,86.256,,,,,
19,05/11/16 11:15:00 PM,86.211,,,,,
20,05/11/16 11:45:00 PM,86.256,,,,,
21,05/12/16 12:15:00 AM,86.119,,,,,
22,05/12/16 12:45:00 AM,85.757,,,,,
23,05/12/16 01:15:00 AM,85.802,,,,,
24,05/12/16 01:45:00 AM,85.352,,,,,
25,05/12/16 02:15:00 AM,85.757,,,,,
26,05/12/16 02:45:00 AM,85.712,,,,,
27,05/12/16 03:15:00 AM,85.532,,,,,
28,05/12/16 03:45:00 AM,84.990,,,,,
29,05/12/16 04:15:00 AM,84.900,,,,,
30,05/12/16 04:45:00 AM,85.442,,,,,
31,05/12/16 05:15:00 AM,85.577,,,,,
32,05/12/16 05:45:00 AM,84.542,,,,,
33,05/12/16 06:15:00 AM,84.677,,,,,
34,05/12/16 06:45:00 AM,84.945,,,,,
35,05/12/16 07:15:00 AM,84.677,,,,,
36,05/12/16 07:45:00 AM,84.945,,,,,
37,05/12/16 08:15:00 AM,85.487,,,,,
38,05/12/16 08:45:00 AM,85.577,,,,,
39,05/12/16 09:15:00 AM,85.622,,,,,
40,05/12/16 09:45:00 AM,85.622,,,,,
41,05/12/16 10:15:00 AM,85.577,,,,,
42,05/12/16 10:45:00 AM,84.722,,,,,
43,05/12/16 11:15:00 AM,84.587,,,,,
44,05/12/16 11:45:00 AM,85.082,,,,,
45,05/12/16 12:15:00 PM,84.272,,,,,
46,05/12/16 12:45:00 PM,83.959,,,,,
47,05/12/16 01:15:00 PM,85.352,,,,,
48,05/12/16 01:45:00 PM,85.082,,,,,
49,05/12/16 02:15:00 PM,84.722,,,,,
50,05/12/16 02:45:00 PM,84.452,,,,,
51,05/12/16 03:15:00 PM,84.407,,,,,
52,05/12/16 03:45:00 PM,85.127,,,,,
53,05/12/16 04:15:00 PM,83.959,,,,,
54,05/12/16 04:45:00 PM,84.990,,,,,
55,05/12/16 05:15:00 PM,84.767,,,,,
56,05/12/16 05:45:00 PM,85.172,,,,,
57,05/12/16 06:15:00 PM,84.587,,,,,
58,05/12/16 06:45:00 PM,85.442,,,,,
59,05/12/16 07:15:00 PM,85.397,,,,,
60,05/12/16 07:45:00 PM,84.452,,,,,
61,05/12/16 08:15:00 PM,84.272,,,,,
62,05/12/16 08:45:00 PM,83.914,,,,,
63,05/12/16 09:15:00 PM,85.127,,,,,
64,05/12/16 09:45:00 PM,85.127,,,,,
65,05/12/16 10:15:00 PM,85.172,,,,,
66,05/12/16 10:45:00 PM,85.307,,,,,
67,05/12/16 11:15:00 PM,85.397,,,,,
68,05/12/16 11:45:00 PM,85.262,,,,,
69,05/13/16 12:15:00 AM,85.262,,,,,
70,05/13/16 12:45:00 AM,85.035,,,,,
71,05/13/16 01:15:00 AM,84.900,,,,,
72,05/13/16 01:45:00 AM,84.812,,,,,
73,05/13/16 02:15:00 AM,85.127,,,,,
74,05/13/16 02:45:00 AM,85.035,,,,,
75,05/13/16 03:15:00 AM,84.812,,,,,
76,05/13/16 03:45:00 AM,84.587,,,,,
77,05/13/16 04:15:00 AM,84.362,,,,,
78,05/13/16 04:45:00 AM,84.497,,,,,
79,05/13/16 05:15:00 AM,84.407,,,,,
80,05/13/16 05:45:00 AM,84.362,,,,,
81,05/13/16 06:15:00 AM,84.362,,,,,
82,05/13/16 06:45:00 AM,84.542,,,,,
83,05/13/16 07:15:00 AM,84.677,,,,,
84,05/13/16 07:45:00 AM,84.722,,,,,
85,05/13/16 08:15:00 AM,84.722,,,,,
86,05/13/16 08:45:00 AM,84.767,,,,,
87,05/13/16 09:15:00 AM,84.945,,,,,
88,05/13/16 09:45:00 AM,84.497,,,,,
89,05/13/16 10:15:00 AM,84.812,,,,,
90,05/13/16 10:45:00 AM,85.172,,,,,
91,05/13/16 11:15:00 AM,85.217,,,,,
92,05/13/16 11:45:00 AM,84.857,,,,,
93,05/13/16 12:15:00 PM,84.767,,,,,
94,05/13/16 12:45:00 PM,84.272,,,,,
95,05/13/16 01:15:00 PM,84.227,,,,,
96,05/13/16 01:45:00 PM,84.227,,,,,
97,05/13/16 02:15:00 PM,85.127,,,,,
98,05/13/16 02:45:00 PM,84.542,,,,,
99,05/13/16 03:15:00 PM,84.945,,,,,
100,05/13/16 03:45:00 PM,84.182,,,,,
101,05/13/16 04:15:00 PM,84.094,,,,,
102,05/13/16 04:45:00 PM,84.049,,,,,
103,05/13/16 05:15:00 PM,83.779,,,,,
104,05/13/16 05:45:00 PM,83.824,,,,,
105,05/13/16 06:15:00 PM,84.362,,,,,
106,05/13/16 06:45:00 PM,84.812,,,,,
107,05/13/16 07:15:00 PM,85.035,,,,,
108,05/13/16 07:45:00 PM,84.722,,,,,
109,05/13/16 08:15:00 PM,84.317,,,,,
110,05/13/16 08:45:00 PM,84.677,,,,,
111,05/13/16 09:15:00 PM,84.182,,,,,
112,05/13/16 09:45:00 PM,84.812,,,,,
113,05/13/16 10:15:00 PM,84.227,,,,,
114,05/13/16 10:45:00 PM,84.362,,,,,
115,05/13/16 11:15:00 PM,84.587,,,,,
116,05/13/16 11:45:00 PM,84.137,,,,,
117,05/14/16 12:15:00 AM,84.542,,,,,
118,05/14/16 12:45:00 AM,84.094,,,,,
119,05/14/16 01:15:00 AM,83.869,,,,,
120,05/14/16 01:45:00 AM,83.064,,,,,
121,05/14/16 02:15:00 AM,83.959,,,,,
122,05/14/16 02:45:00 AM,84.317,,,,,
123,05/14/16 03:15:00 AM,83.332,,,,,
124,05/14/16 03:45:00 AM,83.287,,,,,
125,05/14/16 04:15:00 AM,84.452,,,,,
126,05/14/16 04:45:00 AM,84.407,,,,,
127,05/14/16 05:15:00 AM,84.587,,,,,
128,05/14/16 05:45:00 AM,84.632,,,,,
129,05/14/16 06:15:00 AM,84.587,,,,,
130,05/14/16 06:45:00 AM,84.542,,,,,
131,05/14/16 07:15:00 AM,84.722,,,,,
132,05/14/16 07:45:00 AM,84.677,,,,,
133,05/14/16 08:15:00 AM,83.869,,,,,
134,05/14/16 08:45:00 AM,84.497,,,,,
135,05/14/16 09:15:00 AM,84.407,,,,,
136,05/14/16 09:45:00 AM,85.172,,,,,
137,05/14/16 10:15:00 AM,85.622,,,,,
138,05/14/16 10:45:00 AM,85.712,,,,,
139,05/14/16 11:15:00 AM,85.532,,,,,
140,05/14/16 11:45:00 AM,85.667,,,,,
141,05/14/16 12:15:00 PM,85.757,,,,,
142,05/14/16 12:45:00 PM,86.301,,,,,
143,05/14/16 01:15:00 PM,85.939,,,,,
144,05/14/16 01:45:00 PM,86.164,,,,,
145,05/14/16 02:15:00 PM,86.256,,,,,
146,05/14/16 02:45:00 PM,86.482,,,,,
147,05/14/16 03:15:00 PM,86.527,,,,,
148,05/14/16 03:45:00 PM,86.346,,,,,
149,05/14/16 04:15:00 PM,86.211,,,,,
150,05/14/16 04:45:00 PM,85.939,,,,,
151,05/14/16 05:15:00 PM,85.532,,,,,
