Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
L2552,809,L0913,809,809,26,-1.38079864521779E+0002,-1.38079864521779E+0002,*,L0994,809,809,11,-6.26091636413831E+0001,-6.26091636413831E+0001,*,809,37,-2.02092796522410E+0002,-2.02092796522410E+0002,-,
L2552,809,L0994,809,809,11,-6.26091636413831E+0001,-6.26091636413831E+0001,*,L1671,789,789,34,-1.77231903047383E+0002, 0.00000000000000E+0000,,809,45,-2.36631383596789E+0002, 0.00000000000000E+0000,,
L2555,809,L0886,809,809,28,-1.42025049174586E+0002, 0.00000000000000E+0000,,L0994,809,809,8,-3.93605416310898E+0001,-3.93605416310898E+0001,*,809,37,-1.88264571043485E+0002,-1.88264571043485E+0002,-,
L2555,809,L0913,809,809,25,-1.31171116169162E+0002,-1.31171116169162E+0002,*,L0994,809,809,8,-3.93605416310898E+0001,-3.93605416310898E+0001,*,809,36,-1.89091684730847E+0002, 0.00000000000000E+0000,,
L2406,808,L0886,809,808,23,-1.19362190619932E+0002,-1.19362190619932E+0002,*,L0994,809,808,15,-8.24287954416908E+0001,-8.24287954416908E+0001,*,808,38,-2.02699882119097E+0002,-2.02699882119097E+0002,-,
L2406,808,L0984,807,806,24,-1.25165915994279E+0002, 0.00000000000000E+0000,,L0994,809,808,15,-8.24287954416908E+0001,-8.24287954416908E+0001,*,808,39,-2.05348530125652E+0002, 0.00000000000000E+0000,,
L2361,782,L0994,809,782,9,-5.74684966521962E+0001,-5.74684966521962E+0001,*,L2500,710,684,33,-1.78273125919426E+0002, 0.00000000000000E+0000,,782,39,-2.16828022793813E+0002,-2.16828022793813E+0002,-,
L2361,782,L0886,809,782,31,-1.77175742152402E+0002,-1.77175742152402E+0002,-,L0994,809,782,9,-5.74684966521962E+0001,-5.74684966521962E+0001,*,782,43,-2.51812951890836E+0002, 0.00000000000000E+0000,,
L2470,791,L0913,809,791,19,-9.40525430394835E+0001,-9.40525430394835E+0001,*,L0994,809,791,12,-7.61174015806588E+0001,-7.61174015806588E+0001,*,791,32,-1.76245008314990E+0002,-1.76245008314990E+0002,-,
L2470,791,L0886,809,791,25,-1.40701737443502E+0002, 0.00000000000000E+0000,,L0994,809,791,12,-7.61174015806588E+0001,-7.61174015806588E+0001,*,791,37,-2.13966611540026E+0002, 0.00000000000000E+0000,,
L2562,806,L0984,807,804,34,-1.81714810260078E+0002,-1.81714810260078E+0002,-,L0994,809,806,12,-7.63686438438587E+0001,-7.63686438438587E+0001,*,806,48,-2.67084372721386E+0002,-2.67084372721386E+0002,-,
L2562,806,L0913,809,806,32,-1.93454669544417E+0002, 0.00000000000000E+0000,,L0994,809,806,12,-7.63686438438587E+0001,-7.63686438438587E+0001,*,806,46,-2.79166315853259E+0002, 0.00000000000000E+0000,,
L2362,684,L0994,809,684,9,-5.60853806391179E+0001,-5.60853806391179E+0001,*,L1671,789,666,34,-1.88471788824487E+0002, 0.00000000000000E+0000,,684,42,-2.38126668256795E+0002,-2.38126668256795E+0002,-,
L2362,684,L0994,809,684,9,-5.60853806391179E+0001,-5.60853806391179E+0001,*,L2500,710,597,32,-1.77081788027371E+0002,-1.77081788027371E+0002,-,684,42,-2.40768434346784E+0002, 0.00000000000000E+0000,,
L2414,778,L0886,809,778,22,-1.18250579546799E+0002,-1.18250579546799E+0002,*,L0994,809,778,8,-5.01509785592257E+0001,-5.01509785592257E+0001,*,778,33,-1.85567402053213E+0002,-1.85567402053213E+0002,-,
L2414,778,L0994,809,778,8,-5.01509785592257E+0001,-5.01509785592257E+0001,*,L1671,789,760,29,-1.58971598199053E+0002, 0.00000000000000E+0000,,778,39,-2.17075460420523E+0002, 0.00000000000000E+0000,,
L2563,0
L2262,664,L0886,809,664,25,-1.36793589911542E+0002,-1.36793589911542E+0002,*,L0994,809,664,6,-3.31838311980348E+0001,-3.31838311980348E+0001,*,664,34,-1.88528235683227E+0002,-1.88528235683227E+0002,-,
L2262,664,L0913,809,664,27,-1.52649689352291E+0002, 0.00000000000000E+0000,,L0994,809,664,6,-3.31838311980348E+0001,-3.31838311980348E+0001,*,664,34,-1.92784182172567E+0002, 0.00000000000000E+0000,,
L2471,808,L0913,809,808,24,-1.31455589926327E+0002,-1.31455589926327E+0002,*,L0994,809,808,10,-6.83648035581532E+0001,-6.83648035581532E+0001,*,808,37,-2.16458018071898E+0002,-2.16458018071898E+0002,-,
L2471,808,L0994,809,808,10,-6.83648035581532E+0001,-6.83648035581532E+0001,*,L2500,710,709,34,-1.84164307194219E+0002, 0.00000000000000E+0000,,808,41,-2.34509754258382E+0002, 0.00000000000000E+0000,,
L2472,808,L0913,809,808,30,-1.66244220692842E+0002,-1.66244220692842E+0002,-,L0994,809,808,7,-3.56389770222455E+0001,-3.56389770222455E+0001,*,808,39,-2.13093367237410E+0002,-2.13093367237410E+0002,-,
L2472,808,L0816,809,808,33,-1.83092600345366E+0002, 0.00000000000000E+0000,,L0994,809,808,7,-3.56389770222455E+0001,-3.56389770222455E+0001,*,808,41,-2.25163017393874E+0002, 0.00000000000000E+0000,,
L2418,807,L0994,809,807,8,-4.38938835798049E+0001,-4.38938835798049E+0001,*,L1607,809,807,29,-1.62059135298320E+0002,-1.62059135298320E+0002,-,807,40,-2.22890675249026E+0002,-2.22890675249026E+0002,-,
L2418,807,L0994,809,807,8,-4.38938835798049E+0001,-4.38938835798049E+0001,*,L2500,710,708,32,-1.72924924480456E+0002, 0.00000000000000E+0000,,807,43,-2.34299636798711E+0002, 0.00000000000000E+0000,,
L2473,809,L0886,809,809,36,-2.03458394174781E+0002, 0.00000000000000E+0000,,L0994,809,809,13,-7.43914578400919E+0001,-7.43914578400919E+0001,*,809,48,-2.74830554644430E+0002,-2.74830554644430E+0002,-,
L2473,809,L0984,807,807,36,-1.97114500696490E+0002, 0.00000000000000E+0000,,L0994,809,809,13,-7.43914578400919E+0001,-7.43914578400919E+0001,*,809,50,-2.75181604543939E+0002, 0.00000000000000E+0000,,
