Offspring ID,Loci typed,First candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Second candidate ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair top LOD,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio top LOD,Trio confidence
APCL_13001L0447,957,APCL_13196L1169,448,422,51,-2.89923004718373E+0002, 0.00000000000000E+0000,,APCL_14158L0909,853,774,21,-1.84538644525477E+0002,-1.84538644525477E+0002,*,852,100,-6.02273748840204E+0002,-6.02273748840204E+0002,-,
APCL_13002L0448,805,APCL_13216L1178,470,372,62,-3.57193388500417E+0002, 0.00000000000000E+0000,,APCL_14158L0909,853,652,20,-1.81145327476231E+0002,-1.81145327476231E+0002,*,724,102,-6.18621824586909E+0002,-6.18621824586909E+0002,-,
APCL_13002L1672,0
APCL_13003L0449,700,APCL_13196L1169,448,322,47,-2.72597270303943E+0002, 0.00000000000000E+0000,,APCL_14158L0909,853,570,29,-2.14155160978763E+0002,-2.14155160978763E+0002,*,630,92,-5.57038028605774E+0002,-5.57038028605774E+0002,-,
APCL_13003L1673,1059,
APCL_13005L0455,738,APCL_13461L1676,1060,738,1, 3.93661715030636E+0002, 3.93661715030636E+0002,*,APCL_14158L0909,853,592,18,-1.68071153475470E+0002,-1.68071153475470E+0002,*,738,33, 1.48601716619189E+0002, 1.48601716619189E+0002,*,
APCL_13005L1675,1060,
APCL_13006L0456,981,APCL_13196L1169,448,420,58,-3.38110097710332E+0002, 0.00000000000000E+0000,,APCL_14158L0909,853,792,29,-2.61252881253625E+0002,-2.61252881253625E+0002,+,866,116,-7.22432510940305E+0002,-7.22432510940305E+0002,-,
APCL_13010L0460,925,
APCL_13014L0464,959,APCL_13217L1179,527,502,63,-3.57462134311374E+0002, 0.00000000000000E+0000,,APCL_14158L0909,853,774,21,-2.06519869244322E+0002,-2.06519869244322E+0002,*,861,113,-6.92029930230823E+0002,-6.92029930230823E+0002,-,
APCL_13019L0480,1050,APCL_13217L1179,527,524,58,-3.25237281280701E+0002, 0.00000000000000E+0000,,APCL_14158L0909,853,844,18,-2.19367845646623E+0002,-2.19367845646623E+0002,*,934,114,-7.14223441357417E+0002,-7.14223441357417E+0002,-,
APCL_13020L0481,1016,APCL_13196L1169,448,435,54,-3.06307792136018E+0002, 0.00000000000000E+0000,,APCL_14158L0909,853,817,21,-2.08367827191824E+0002,-2.08367827191824E+0002,*,897,101,-6.25688453291194E+0002,-6.25688453291194E+0002,-,
APCL_13022L0482,982,
APCL_13023L0483,928,
APCL_13025L0484,1005,APCL_13196L1169,448,437,64,-3.77786923062176E+0002, 0.00000000000000E+0000,,APCL_14158L0909,853,804,16,-1.86452177159720E+0002,-1.86452177159720E+0002,*,885,112,-7.09882423606435E+0002,-7.09882423606435E+0002,-,
APCL_13026L1255,0
