Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
11:34:50 AM,2013-12-18 11:34:50 AM,0.364,µg/ml,,,dsDNA BR,,,405.25,51534.07,,BLUE,5146.87,
11:34:40 AM,2013-12-18 11:34:40 AM,0.370,µg/ml,,,dsDNA BR,,,405.25,51534.07,,BLUE,5228.53,
11:34:33 AM,2013-12-18 11:34:33 AM,0.176,µg/ml,,,dsDNA BR,,,405.25,51534.07,,BLUE,2729.93,
11:34:25 AM,2013-12-18 11:34:25 AM,0.293,µg/ml,,,dsDNA BR,,,405.25,51534.07,,BLUE,4240.52,
11:34:17 AM,2013-12-18 11:34:17 AM,0.245,µg/ml,,,dsDNA BR,,,405.25,51534.07,,BLUE,3626.26,
11:34:09 AM,2013-12-18 11:34:09 AM,0.124,µg/ml,,,dsDNA BR,,,405.25,51534.07,,BLUE,2048.49,
11:34:01 AM,2013-12-18 11:34:01 AM,0.124,µg/ml,,,dsDNA BR,,,405.25,51534.07,,BLUE,2047.77,
11:33:52 AM,2013-12-18 11:33:52 AM,0.266,µg/ml,,,dsDNA BR,,,405.25,51534.07,,BLUE,3899.39,
11:33:40 AM,2013-12-18 11:33:40 AM,0.220,µg/ml,,,dsDNA BR,,,405.25,51534.07,,BLUE,3299.74,
11:33:32 AM,2013-12-18 11:33:32 AM,0.312,µg/ml,,,dsDNA BR,,,405.25,51534.07,,BLUE,4490.43,
