Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
_13,2013-12-17 2:42:10 PM,0.370,µg/ml,,,dsDNA BR,,,427.59,52482.08,,BLUE,5340.98,
_12,2013-12-17 2:42:02 PM,0.237,µg/ml,,,dsDNA BR,,,427.59,52482.08,,BLUE,3599.77,
_11,2013-12-17 2:41:49 PM,0.300,µg/ml,,,dsDNA BR,,,427.59,52482.08,,BLUE,4427.25,
_10,2013-12-17 2:41:39 PM,0.158,µg/ml,,,dsDNA BR,,,427.59,52482.08,,BLUE,2551.76,
_9,2013-12-17 2:41:29 PM,0.0168,µg/ml,,,dsDNA BR,,,427.59,52482.08,,BLUE,655.37,
_8,2013-12-17 2:41:19 PM,0.0894,µg/ml,,,dsDNA BR,,,427.59,52482.08,,BLUE,1633.77,
_7,2013-12-17 2:41:09 PM,0.174,µg/ml,,,dsDNA BR,,,427.59,52482.08,,BLUE,2767.04,
_6,2013-12-17 2:40:52 PM,0.171,µg/ml,17.1,ng/µL,dsDNA BR,2,100.00,427.59,52482.08,,BLUE,2723.47,
_5,2013-12-17 2:40:42 PM,<0.010,µg/ml,,,dsDNA BR,,,427.59,52482.08,,BLUE,492.15,
_4,2013-12-17 2:40:31 PM,<0.010,µg/ml,,,dsDNA BR,,,427.59,52482.08,,BLUE,456.54,
_3,2013-12-17 2:40:19 PM,<0.010,µg/ml,,,dsDNA BR,,,427.59,52482.08,,BLUE,439.77,
_2,2013-12-17 2:39:06 PM,<0.010,µg/ml,,,dsDNA BR,,,427.59,52482.08,,BLUE,456.61,
_1,2013-12-17 2:38:20 PM,0.0141,µg/ml,1.41,ng/µL,dsDNA BR,2,100.00,427.59,52482.08,,BLUE,618.64,
