QD1.1,2013-12-13 12:08:50 PM,0.184,µg/ml,18.4,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"2,518.66",
QD1.2,2013-12-13 12:09:45 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,482.24,
blank,2013-12-13 12:09:55 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,6.83,
QD2.1,2013-12-13 12:10:02 PM,0.356,µg/ml,35.6,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"4,466.86",
QD2.2,2013-12-13 12:10:23 PM,0.0157,µg/ml,1.57,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,568.73,
QD3.1,2013-12-13 12:10:43 PM,0.281,µg/ml,28.1,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"3,623.35",
QD3.2,2013-12-13 12:10:59 PM,0.0293,µg/ml,2.93,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,727.8,
QD4.1,2013-12-13 12:11:14 PM,0.265,µg/ml,26.5,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"3,443.14",
QD4.2,2013-12-13 12:11:28 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,496.83,
QD5.1,2013-12-13 12:11:39 PM,0.272,µg/ml,27.2,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"3,515.99",
QD5.2,2013-12-13 12:12:05 PM,0.018,µg/ml,1.8,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,595.58,
QP1,2013-12-13 12:12:23 PM,0.0195,µg/ml,1.95,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,613.58,
QP2,2013-12-13 12:12:35 PM,0.101,µg/ml,10.1,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"1,556.98",
QP3,2013-12-13 12:12:50 PM,0.0689,µg/ml,6.89,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"1,188.78",
QP4,2013-12-13 12:13:04 PM,0.0261,µg/ml,2.61,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,690.56,
QP5,2013-12-13 12:13:41 PM,0.044,µg/ml,4.4,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,899.42,
32,2013-12-13 12:14:01 PM,0.0678,µg/ml,6.78,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"1,175.51",
33,2013-12-13 12:14:13 PM,0.0806,µg/ml,8.06,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"1,324.52",
34,2013-12-13 12:14:25 PM,0.0389,µg/ml,3.89,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,839.71,
35,2013-12-13 12:14:36 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,477.28,
36,2013-12-13 12:14:46 PM,0.138,µg/ml,13.8,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"1,991.66",
37,2013-12-13 12:14:57 PM,0.296,µg/ml,29.6,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"3,787.58",
38,2013-12-13 12:15:09 PM,0.112,µg/ml,11.2,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"1,692.44",
39,2013-12-13 12:15:22 PM,0.659,µg/ml,65.9,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"7,798.86",
40,2013-12-13 12:15:32 PM,0.301,µg/ml,30.1,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"3,841.42",
41,2013-12-13 12:15:44 PM,0.219,µg/ml,21.9,ng/µL,dsDNA BR,2,100,385.61,"45,298.41",,BLUE,"2,914.19",
7,2013-12-13 12:15:56 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,423.5,
8,2013-12-13 12:16:06 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,465.55,
9,2013-12-13 12:16:16 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,410.25,
10,2013-12-13 12:16:24 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,457.35,
42,2013-12-13 12:16:33 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,489.87,
43,2013-12-13 12:16:42 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,424.54,
44,2013-12-13 12:16:49 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,408.92,
45,2013-12-13 12:16:56 PM,<0.010,µg/ml,,,dsDNA BR,,,385.61,"45,298.41",,BLUE,485.38,
Name,Date/Time,Assay Conc.,Units,Stock Conc.,Units,Assay Type,Sample Vol (µL),Dilution Factor,Std 1 RFU,Std 2 RFU,Std 3 RFU,Excitation,Green RFU,Far Red RFU
